Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	4.0	['F#4', 'A4', 'C#5']
4.0	2	1.0	1.0	1.0	['F#4', 'A4', 'C#5']
5.0	2	2.0	0.25	0.5	['F#4', 'A4', 'C#5']
5.5	2	2.5	0.125	0.5	['C#4', 'F#4', 'A4', 'C#5']
6.0	2	3.0	0.5	0.5	['C#4', 'F#4', 'A4', 'C#5']
6.5	2	3.5	0.125	0.5	['C#4', 'F#4', 'A4', 'C#5']
7.0	2	4.0	0.25	0.5	['C#4', 'F#4', 'A4', 'C#5']
7.5	2	4.5	0.125	0.5	['C#4', 'F#4', 'A4', 'C#5']
8.0	3	1.0	1.0	1.0	['F#4', 'A4', 'C#5']
9.0	3	2.0	0.25	0.5	['F#4', 'A4', 'C#5']
9.5	3	2.5	0.125	0.5	['F#4', 'A4', 'C#5']
10.0	3	3.0	0.5	0.5	['F#4', 'A4', 'C#5']
10.5	3	3.5	0.125	0.5	['F#4', 'A4', 'C#5']
11.0	3	4.0	0.25	0.75	['F#4', 'A4', 'C#5']
11.75	3	4.75	0.0625	0.25	['F#4', 'A4', 'C#5']
12.0	4	1.0	1.0	4.0	['D1', 'D2', 'D4', 'F#4', 'A4', 'D5']
16.0	5	1.0	1.0	2.0	['D1', 'D2', 'D4', 'F#4', 'A4', 'D5']
18.0	5	3.0	0.5	0.25	['D1', 'D2', 'D4', 'F#4', 'A4', 'D5']
18.25	5	3.25	0.0625	0.25	['D1', 'D2', 'F#4', 'A4', 'D5']
18.5	5	3.5	0.125	0.5	['D1', 'D2', 'F#4', 'A4', 'D5']
19.0	5	4.0	0.25	0.5	['D1', 'D2', 'F#4', 'A4', 'D5']
19.5	5	4.5	0.125	0.5	['D1', 'D2', 'F#4', 'A4', 'D5']
20.0	6	1.0	1.0	4.0	['D1', 'D2', 'F#4', 'A4', 'D5']
24.0	7	1.0	1.0	1.0	['D1', 'D2', 'F#4', 'A4', 'D5']
25.0	7	2.0	0.25	1.0	['D1', 'D2', 'F#4', 'A4', 'D5']
26.0	7	3.0	0.5	1.5	['D1', 'D2', 'E4', 'F#4', 'A4', 'D5']
27.5	7	4.5	0.125	0.5	['D1', 'D2', 'D4', 'F#4', 'A4', 'D5']
28.0	8	1.0	1.0	1.0	['A0', 'E4', 'A4', 'C#5', 'E5']
29.0	8	2.0	0.25	1.0	['A1', 'E4', 'A4', 'C#5', 'E5']
30.0	8	3.0	0.5	0.33	['A0', 'E4', 'A4', 'C#5', 'E5']
30.33	8	3.33	0.0625	0.33	['A0', 'E4', 'A4', 'C#5', 'E5']
30.67	8	3.67	0.0625	0.33	['A0', 'E4', 'A4', 'C#5', 'E5']
31.0	8	4.0	0.25	0.33	['A1', 'A4', 'C#5', 'E5']
31.33	8	4.33	0.0625	0.33	['A1', 'A4', 'C#5', 'E5']
31.67	8	4.67	0.0625	0.33	['A1', 'A4', 'C#5', 'E5']
32.0	9	1.0	1.0	1.0	['A0', 'A4', 'C#5', 'E5']
33.0	9	2.0	0.25	0.5	['A1', 'A4', 'C#5', 'E5']
33.5	9	2.5	0.125	0.5	['A1', 'E4', 'A4', 'C#5', 'E5']
34.0	9	3.0	0.5	0.5	['A0', 'E4', 'A4', 'C#5', 'E5']
34.5	9	3.5	0.125	0.5	['A0', 'E4', 'A4', 'C#5', 'E5']
35.0	9	4.0	0.25	0.5	['A1', 'E4', 'A4', 'C#5', 'E5']
35.5	9	4.5	0.125	0.5	['A1', 'E4', 'A4', 'C#5', 'E5']
36.0	10	1.0	1.0	1.0	['A0', 'A1', 'C#4', 'B4', 'C#5', 'G5', 'B5']
37.0	10	2.0	0.25	1.0	['C#4', 'B4', 'C#5', 'G5', 'B5']
38.0	10	3.0	0.5	1.0	['E3', 'A3', 'C#4', 'E4', 'A4', 'C#5', 'G5', 'A5']
39.0	10	4.0	0.25	0.5	['A4', 'C#5', 'G5', 'A5']
39.5	10	4.5	0.125	0.5	['C#4', 'A4', 'C#5', 'G5', 'A5']
40.0	11	1.0	1.0	1.0	['A1', 'A2', 'G4', 'B4', 'C#5', 'G5', 'B5']
41.0	11	2.0	0.25	1.0	['G4', 'B4', 'C#5', 'G5', 'B5']
42.0	11	3.0	0.5	0.5	['E3', 'A3', 'C#4', 'E4', 'G4', 'A4', 'C#5', 'G5', 'A5']
42.5	11	3.5	0.125	0.5	['E3', 'A3', 'C#4', 'E4', 'G4', 'A4', 'C#5', 'G5', 'A5']
43.0	11	4.0	0.25	0.5	['G4', 'A4', 'C#5', 'G5', 'A5']
43.5	11	4.5	0.125	0.5	['G4', 'A4', 'C#5', 'G5', 'A5']
44.0	12	1.0	1.0	1.0	['A-1', 'A-2', 'G-4', 'B-4', 'C5', 'G-5', 'B-5']
45.0	12	2.0	0.25	1.0	['G-4', 'B-4', 'C5', 'G-5', 'B-5']
46.0	12	3.0	0.5	1.0	['E-3', 'A-3', 'C4', 'E-4', 'G-4', 'A-4', 'C5', 'G-5', 'A-5']
47.0	12	4.0	0.25	1.0	['A-4', 'C5', 'G-5', 'A-5']
48.0	13	1.0	1.0	1.0	['A-1', 'A-2', 'B-4', 'C5', 'G-5', 'B-5']
49.0	13	2.0	0.25	1.0	['B-4', 'C5', 'G-5', 'B-5']
50.0	13	3.0	0.5	0.67	['E-3', 'A-3', 'C4', 'E-4', 'A-4', 'C5', 'G-5', 'A-5']
50.67	13	3.67	0.0625	0.33	['E-3', 'A-3', 'C4', 'E-4', 'A-4', 'C5', 'G-5', 'A-5']
51.0	13	4.0	0.25	0.33	['E-4', 'A-4', 'C5', 'G-5', 'A-5']
51.33	13	4.33	0.0625	0.67	['G-4', 'A-4', 'C5', 'G-5', 'A-5']
52.0	14	1.0	1.0	1.0	['A-1', 'A-2', 'B-4', 'D-5', 'G-5', 'D-6']
53.0	14	2.0	0.25	1.0	['B-4', 'D-5', 'G-5', 'D-6']
54.0	14	3.0	0.5	0.67	['E-3', 'A-3', 'C4', 'E-4', 'G-4', 'C5', 'G-5', 'C6']
54.67	14	3.67	0.0625	0.33	['E-3', 'A-3', 'C4', 'E-4', 'C5', 'G-5', 'C6']
55.0	14	4.0	0.25	0.67	['C4', 'C5', 'G-5', 'C6']
55.67	14	4.67	0.0625	0.33	['B-4', 'C5', 'G-5', 'C6']
