Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['A-3', 'D-4', 'F4', 'A-4', 'D-5', 'F5', 'A-5']
1.0	1	1.67	0.25	0.5	
1.5	1	2.0	0.5	1.0	['A-4', 'D-5', 'F5', 'A-5', 'D-6', 'F6', 'A-6']
2.5	1	2.67	0.25	0.5	
3.0	2	1.0	1.0	0.25	['C4', 'E-4', 'F4', 'A4', 'A5']
3.25	2	1.17	0.125	0.25	['C4', 'E-4', 'F4', 'A4', 'F5']
3.5	2	1.33	0.25	0.25	['C4', 'E-4', 'F4', 'A4', 'E-5']
3.75	2	1.5	0.125	0.25	['C4', 'E-4', 'F4', 'A4', 'C5']
4.0	2	1.67	0.25	0.25	['C4', 'E-4', 'F4', 'A4', 'A5']
4.25	2	1.83	0.125	0.25	['C4', 'E-4', 'F4', 'A4']
4.5	2	2.0	0.5	0.25	['C4', 'E-4', 'F4', 'A4', 'A6']
4.75	2	2.17	0.125	0.25	['C4', 'E-4', 'F4', 'A4', 'F6']
5.0	2	2.33	0.25	0.25	['C4', 'E-4', 'F4', 'A4', 'E-6']
5.25	2	2.5	0.125	0.25	['C4', 'E-4', 'F4', 'A4', 'C6']
5.5	2	2.67	0.25	0.25	['A6']
5.75	2	2.83	0.125	0.25	
6.0	3	1.0	1.0	1.0	['A-3', 'D-4', 'F4', 'A-4', 'D-5', 'F5', 'A-5']
7.0	3	1.67	0.25	0.5	
7.5	3	2.0	0.5	1.0	['A-4', 'D-5', 'F5', 'A-5', 'D-6', 'F6', 'A-6']
8.5	3	2.67	0.25	0.5	
9.0	4	1.0	1.0	0.25	['D4', 'F4', 'G4', 'B4', 'B5']
9.25	4	1.17	0.125	0.25	['D4', 'F4', 'G4', 'B4', 'G5']
9.5	4	1.33	0.25	0.25	['D4', 'F4', 'G4', 'B4', 'F5']
9.75	4	1.5	0.125	0.25	['D4', 'F4', 'G4', 'B4', 'D5']
10.0	4	1.67	0.25	0.25	['D4', 'F4', 'G4', 'B4', 'B5']
10.25	4	1.83	0.125	0.25	['D4', 'F4', 'G4', 'B4']
10.5	4	2.0	0.5	0.25	['D4', 'F4', 'G4', 'B4', 'B6']
10.75	4	2.17	0.125	0.25	['D4', 'F4', 'G4', 'B4', 'G6']
11.0	4	2.33	0.25	0.25	['D4', 'F4', 'G4', 'B4', 'F6']
11.25	4	2.5	0.125	0.25	['D4', 'F4', 'G4', 'B4', 'D6']
11.5	4	2.67	0.25	0.25	['B6']
11.75	4	2.83	0.125	0.25	
12.0	5	1.0	1.0	1.0	['A-3', 'D-4', 'F4', 'A-4', 'D-5', 'F5', 'A-5']
13.0	5	1.67	0.25	0.5	
13.5	5	2.0	0.5	1.0	['A-4', 'D-5', 'F5', 'A-5', 'D-6', 'F6', 'A-6']
14.5	5	2.67	0.25	0.5	
15.0	6	1.0	1.0	0.25	['E4', 'F#4', 'A#4', 'C#5', 'C#6']
15.25	6	1.17	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'A#5']
15.5	6	1.33	0.25	0.25	['E4', 'F#4', 'A#4', 'C#5', 'F#5']
15.75	6	1.5	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'E5']
16.0	6	1.67	0.25	0.25	['E4', 'F#4', 'A#4', 'C#5', 'C#6']
16.25	6	1.83	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5']
16.5	6	2.0	0.5	0.25	['E4', 'F#4', 'A#4', 'C#5', 'C#7']
16.75	6	2.17	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'A#6']
17.0	6	2.33	0.25	0.25	['E4', 'F#4', 'A#4', 'C#5', 'F#6']
17.25	6	2.5	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'E6']
17.5	6	2.67	0.25	0.25	['C#7']
17.75	6	2.83	0.125	0.25	
18.0	7	1.0	1.0	0.25	['E4', 'F#4', 'A#4', 'C#5', 'C#6']
18.25	7	1.17	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'A#5']
18.5	7	1.33	0.25	0.25	['E4', 'F#4', 'A#4', 'C#5', 'F#5']
18.75	7	1.5	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'E5']
19.0	7	1.67	0.25	0.25	['E4', 'F#4', 'A#4', 'C#5', 'C#6']
19.25	7	1.83	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5']
19.5	7	2.0	0.5	0.25	['E4', 'F#4', 'A#4', 'C#5', 'C#7']
19.75	7	2.17	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'A#6']
20.0	7	2.33	0.25	0.25	['E4', 'F#4', 'A#4', 'C#5', 'F#6']
20.25	7	2.5	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'E6']
20.5	7	2.67	0.25	0.25	['C#7']
20.75	7	2.83	0.125	0.25	
21.0	8	1.0	1.0	0.25	['E4', 'F#4', 'A#4', 'C#5', 'C#6']
21.25	8	1.17	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'A#5']
21.5	8	1.33	0.25	0.25	['E4', 'F#4', 'A#4', 'C#5', 'F#5']
21.75	8	1.5	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'E5']
22.0	8	1.67	0.25	0.25	['E4', 'F#4', 'A#4', 'C#5', 'C#6']
22.25	8	1.83	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5']
22.5	8	2.0	0.5	0.25	['E4', 'F#4', 'A#4', 'C#5', 'C#7']
22.75	8	2.17	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'A#6']
23.0	8	2.33	0.25	0.25	['E4', 'F#4', 'A#4', 'C#5', 'F#6']
23.25	8	2.5	0.125	0.25	['E4', 'F#4', 'A#4', 'C#5', 'E6']
23.5	8	2.67	0.25	0.25	['C#7']
23.75	8	2.83	0.125	0.25	
24.0	9	1.0	1.0	0.25	['C4', 'G4', 'B-4', 'D5', 'D6']
24.25	9	1.17	0.125	0.25	['C4', 'G4', 'B-4', 'D5', 'B-5']
24.5	9	1.33	0.25	0.25	['C4', 'G4', 'B-4', 'D5', 'G5']
24.75	9	1.5	0.125	0.25	['C4', 'G4', 'B-4', 'D5', 'E5']
25.0	9	1.67	0.25	0.25	['C4', 'G4', 'B-4', 'D5', 'D6']
25.25	9	1.83	0.125	0.25	['C4', 'G4', 'B-4', 'D5']
25.5	9	2.0	0.5	0.25	['C4', 'G4', 'B-4', 'C5', 'C7']
25.75	9	2.17	0.125	0.25	['C4', 'G4', 'B-4', 'C5', 'B-6']
26.0	9	2.33	0.25	0.25	['C4', 'G4', 'B-4', 'C5', 'G6']
26.25	9	2.5	0.125	0.25	['C4', 'G4', 'B-4', 'C5', 'E6']
