Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['A-2']
0.5	1	1.5	0.125	0.5	['A-2', 'E-4', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6']
1.0	1	2.0	0.25	1.0	['A-2', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6', 'A-6']
2.0	1	3.0	0.5	0.5	['A-2', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6', 'A-6']
2.5	1	3.5	0.125	0.5	['A-2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6', 'F6']
3.0	1	4.0	0.25	0.5	['A-2', 'B-3', 'D-4', 'F4', 'B-4', 'D-5', 'F5', 'B-5', 'D-6']
3.5	1	4.5	0.125	0.5	['A-2', 'E-4', 'G4', 'B-4', 'E-5', 'G5', 'B-5', 'D-6', 'E-6']
4.0	2	1.0	1.0	0.5	['A-2']
4.5	2	1.5	0.125	0.5	['A-2', 'E-4', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6']
5.0	2	2.0	0.25	1.0	['A-2', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6', 'A-6']
6.0	2	3.0	0.5	0.5	['A-2', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6', 'A-6']
6.5	2	3.5	0.125	0.5	['A-2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6', 'F6']
7.0	2	4.0	0.25	0.5	['A-2', 'B-3', 'D-4', 'F4', 'B-4', 'D-5', 'F5', 'B-5', 'D-6']
7.5	2	4.5	0.125	0.5	['A-2', 'E-4', 'G4', 'B-4', 'E-5', 'G5', 'B-5', 'D-6', 'E-6']
8.0	3	1.0	1.0	0.5	['A-2', 'A-4']
8.5	3	1.5	0.125	0.5	['A-2', 'E-4', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6']
9.0	3	2.0	0.25	1.0	['A-2', 'E-4', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6', 'A-6']
10.0	3	3.0	0.5	0.5	['A-2', 'E-4', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6', 'A-6']
10.5	3	3.5	0.125	0.5	['A-2', 'E-4', 'A-4', 'C5', 'E-5', 'A-5', 'C6', 'E-6']
11.0	3	4.0	0.25	0.33	['A-2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6', 'F6']
11.33	3	4.33	0.0625	0.17	['A-2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6', 'F6']
11.5	3	4.5	0.125	0.17	['A-2', 'C4', 'F4', 'A-4', 'C5', 'A-5', 'C6', 'F6', 'A-6']
