Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['D-5', 'F5', 'A-5', 'D-6']
1.0	1	1.67	0.25	0.5	['D-5', 'F5', 'A-5', 'D-6']
1.5	1	2.0	0.5	1.0	['C5', 'F5', 'A-5', 'C6']
2.5	1	2.67	0.25	0.5	['A-4', 'F5', 'A-5', 'C6']
3.0	2	1.0	1.0	0.75	['B-4', 'D-5', 'F5', 'B-5']
3.75	2	1.5	0.125	0.25	['C5', 'D-5', 'F5', 'B-5']
4.0	2	1.67	0.25	0.5	['B-4', 'D-5', 'F5', 'B-5']
4.5	2	2.0	0.5	0.25	['A-4', 'D-5', 'F5', 'A-5']
4.75	2	2.17	0.125	0.25	['D-5', 'F5', 'A-5']
5.0	2	2.33	0.25	0.5	['D-4', 'D-5', 'F5', 'A-5']
5.5	2	2.67	0.25	0.5	['E-4', 'D-5', 'F5', 'A-5']
6.0	3	1.0	1.0	0.5	['F4', 'D-5', 'F5', 'A-5']
6.5	3	1.33	0.25	0.5	['G-4', 'D-5', 'F5', 'A-5']
7.0	3	1.67	0.25	0.5	['A-4', 'D-5', 'F5', 'A-5']
7.5	3	2.0	0.5	1.5	['A-3', 'E-4', 'C5', 'G-5', 'A-5']
9.0	4	1.0	1.0	1.0	['D-4', 'F4', 'D-5', 'F5', 'A-5']
10.0	4	1.67	0.25	0.5	['D-4', 'F4', 'D-5', 'F5', 'A-5']
10.5	4	2.0	0.5	1.0	['D-2', 'D-4', 'F4', 'D-5', 'F5', 'A-5']
11.5	4	2.67	0.25	0.5	['D-5', 'F5', 'A-5']
12.0	5	1.0	1.0	1.0	['D-5', 'F5', 'A-5', 'D-6']
13.0	5	1.67	0.25	0.5	['D-5', 'F5', 'A-5', 'D-6']
13.5	5	2.0	0.5	1.0	['C5', 'F5', 'A-5', 'C6']
14.5	5	2.67	0.25	0.5	['A-4', 'F5', 'A-5', 'C6']
15.0	6	1.0	1.0	0.75	['B-4', 'D-5', 'F5', 'B-5']
15.75	6	1.5	0.125	0.25	['C5', 'D-5', 'F5', 'B-5']
16.0	6	1.67	0.25	0.5	['B-4', 'D-5', 'F5', 'B-5']
16.5	6	2.0	0.5	0.25	['A-4', 'D-5', 'F5', 'A-5']
16.75	6	2.17	0.125	0.25	['D-5', 'F5', 'A-5']
17.0	6	2.33	0.25	0.5	['D-4', 'D-5', 'F5', 'A-5']
17.5	6	2.67	0.25	0.5	['E-4', 'D-5', 'F5', 'A-5']
18.0	7	1.0	1.0	0.5	['F4', 'D-5', 'F5', 'A-5']
18.5	7	1.33	0.25	0.5	['G-4', 'D-5', 'F5', 'A-5']
19.0	7	1.67	0.25	0.5	['A-4', 'D-5', 'F5', 'A-5']
19.5	7	2.0	0.5	1.5	['A-3', 'E-4', 'C5', 'G-5', 'A-5']
21.0	8	1.0	1.0	1.0	['D-4', 'D-5', 'F5', 'A-5']
22.0	8	1.67	0.25	0.5	['D-4', 'D-5', 'F5', 'A-5']
22.5	8	2.0	0.5	1.0	['D-2', 'D-4', 'D-5', 'F5', 'A-5']
23.5	8	2.67	0.25	0.5	
