Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['C#2', 'C#3', 'G#3', 'B4', 'D5', 'E#5', 'B5']
1.0	1	2.0	0.5	0.5	['C#2', 'C#3', 'A3', 'A4', 'D5', 'E#5', 'A5']
1.5	1	2.5	0.25	0.5	['C#2', 'C#3', 'B3', 'G#4', 'D5', 'E#5', 'G#5']
2.0	1	3.0	0.5	0.33	['C#3', 'G#3', 'B4', 'D5', 'E#5', 'B5']
2.33	1	3.33	0.0625	0.33	['C#3', 'A3', 'A4', 'D5', 'E#5', 'A5']
2.67	1	3.67	0.0625	0.33	['C#3', 'B3', 'G#4', 'D5', 'E#5', 'G#5']
3.0	2	1.0	1.0	0.75	['C#3', 'G#3', 'B4', 'D5', 'E#5', 'B5']
3.75	2	1.75	0.125	0.25	['C#3', 'B3', 'D5', 'E#5', 'G#5', 'D6']
4.0	2	2.0	0.5	1.0	['C#3', 'B3', 'D5', 'E#5', 'G#5', 'D6']
5.0	2	3.0	0.5	0.25	['C#3', 'A3', 'C#5', 'F#5', 'A5', 'C#6']
5.25	2	3.25	0.125	0.25	['C#3']
5.5	2	3.5	0.25	0.5	['B3', 'B4', 'F#5', 'B5']
6.0	3	1.0	1.0	0.33	['F#3', 'A4', 'F#5', 'A5']
6.33	3	1.33	0.0625	0.33	['G#3', 'B4', 'F#5', 'B5']
6.67	3	1.67	0.0625	0.33	['A3', 'C#5', 'F#5', 'C#6']
7.0	3	2.0	0.5	1.0	['E3', 'G#4', 'C#5', 'E5', 'G#5']
8.0	3	3.0	0.5	1.0	['A3', 'F#4', 'C#5', 'F#5']
9.0	4	1.0	1.0	0.33	['G#3', 'E4', 'G#4', 'C#5', 'E5']
9.33	4	1.33	0.0625	0.33	['A#3', 'D#4', 'F##4', 'C#5', 'D#5']
9.67	4	1.67	0.0625	0.33	['A#3', 'C#4', 'F##4', 'C#5']
10.0	4	2.0	0.5	1.0	['G#2', 'A3', 'D#4', 'F#4', 'D#5']
11.0	4	3.0	0.5	0.5	['G#2', 'G#3', 'D#4', 'F#4', 'D#5']
11.5	4	3.5	0.25	0.5	
12.0	5	1.0	1.0	0.5	['C#2', 'C#3', 'C#4', 'E4', 'C#5']
12.5	5	1.5	0.25	0.5	['C#2', 'C#3', 'C#4', 'E4', 'G#4']
13.0	5	2.0	0.5	0.5	['B1', 'B2', 'D#4', 'B4']
13.5	5	2.5	0.25	0.5	['B1', 'B2', 'D#4', 'A4']
14.0	5	3.0	0.5	0.33	['B#1', 'B#2', 'D#4', 'G#4']
14.33	5	3.33	0.0625	0.33	['B#1', 'B#2', 'D#4', 'F#4']
14.67	5	3.67	0.0625	0.33	['B#1', 'B#2', 'D#4', 'G#4']
15.0	6	1.0	1.0	0.75	['C#2', 'C#3', 'C#4', 'E4']
15.75	6	1.75	0.125	0.25	['G#1', 'G#2', 'B3', 'D#4']
16.0	6	2.0	0.5	1.0	['A1', 'A2', 'A3', 'D#4']
17.0	6	3.0	0.5	0.33	['A1', 'A2', 'A3', 'C#4']
17.33	6	3.33	0.0625	0.33	['A1', 'A2', 'A3', 'C#4']
17.67	6	3.67	0.0625	0.33	['A1', 'A2', 'A3', 'C#4']
18.0	7	1.0	1.0	0.67	['E2', 'E3', 'G#3', 'B3']
18.67	7	1.67	0.0625	0.17	['E2', 'E3', 'G#3', 'B3', 'E4']
18.83	7	1.83	0.0625	0.17	['E2', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
19.0	7	2.0	0.5	1.0	['E2', 'E3', 'G#3', 'B3', 'E4', 'G#4']
20.0	7	3.0	0.5	1.0	['E2', 'E3', 'G#3', 'B3', 'E4', 'B4']
21.0	8	1.0	1.0	0.33	['C#2', 'C#3', 'G#3', 'C#4', 'E4']
21.33	8	1.33	0.0625	0.33	['C#2', 'C#3', 'G#3', 'C#4', 'D#4', 'E4']
