Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.25	['E4', 'E5']
0.25	1	1.25	0.125	0.25	['G3', 'E4', 'G4', 'E5']
0.5	1	1.5	0.25	0.25	['G3', 'E4', 'G4', 'E5']
0.75	1	1.75	0.125	0.25	['E3', 'E4', 'E5']
1.0	1	2.0	0.5	0.25	['E3', 'E4', 'E5']
1.25	1	2.25	0.125	0.25	['G3', 'E4', 'G4', 'E5']
1.5	1	2.5	0.25	0.25	['G3', 'G4']
1.75	1	2.75	0.125	0.25	['E4', 'E5']
2.0	2	1.0	1.0	0.25	['D4', 'D5']
2.25	2	1.25	0.125	0.25	['G3', 'D4', 'G4', 'D5']
2.5	2	1.5	0.25	0.25	['G3', 'D4', 'G4', 'D5']
2.75	2	1.75	0.125	0.25	['D3', 'D4', 'D5']
3.0	2	2.0	0.5	0.25	['D3', 'D4', 'D5']
3.25	2	2.25	0.125	0.25	['G3', 'D4', 'G4', 'D5']
3.5	2	2.5	0.25	0.25	['G3', 'G4']
3.75	2	2.75	0.125	0.25	['D4', 'D5']
4.0	3	1.0	1.0	0.25	['F4', 'F5']
4.25	3	1.25	0.125	0.25	['G3', 'F4', 'G4', 'F5']
4.5	3	1.5	0.25	0.25	['G3', 'F4', 'G4', 'F5']
4.75	3	1.75	0.125	0.25	['F3', 'F4', 'F5']
5.0	3	2.0	0.5	0.25	['F3', 'F4', 'F5']
5.25	3	2.25	0.125	0.25	['G3', 'F4', 'G4', 'F5']
5.5	3	2.5	0.25	0.25	['G3', 'G4']
5.75	3	2.75	0.125	0.25	['F4', 'F5']
6.0	4	1.0	1.0	0.25	['E4', 'E5']
6.25	4	1.25	0.125	0.25	['G3', 'E4', 'G4', 'E5']
6.5	4	1.5	0.25	0.25	['G3', 'E4', 'G4', 'E5']
6.75	4	1.75	0.125	0.25	['E3', 'E4', 'E5']
7.0	4	2.0	0.5	0.25	['E3', 'E4', 'E5']
7.25	4	2.25	0.125	0.25	['G3', 'E4', 'G4', 'E5']
7.5	4	2.5	0.25	0.25	['G3', 'G4']
7.75	4	2.75	0.125	0.25	['E4', 'E5']
8.0	5	1.0	1.0	0.25	['G4', 'G5']
8.25	5	1.25	0.125	0.25	['E4', 'G4', 'E5', 'G5']
8.5	5	1.5	0.25	0.25	['E4', 'G4', 'E5', 'G5']
8.75	5	1.75	0.125	0.25	['G3', 'G4', 'G5']
9.0	5	2.0	0.5	0.25	['G3', 'G4', 'G5']
9.25	5	2.25	0.125	0.25	['E4', 'G4', 'E5', 'G5']
9.5	5	2.5	0.25	0.25	['E4', 'G4', 'E5', 'G5']
9.75	5	2.75	0.125	0.25	['G4', 'G5']
10.0	6	1.0	1.0	0.25	['G4', 'G5']
10.25	6	1.25	0.125	0.25	['G4', 'G5', 'E6']
10.5	6	1.5	0.25	0.25	['G4', 'G5', 'E6']
10.75	6	1.75	0.125	0.25	['G4', 'G5', 'G6']
11.0	6	2.0	0.5	0.5	['G4', 'G5', 'G6']
11.5	6	2.5	0.25	0.25	
11.75	6	2.75	0.125	0.25	['E3', 'E4']
12.0	7	1.0	1.0	0.25	['G3', 'G4']
12.25	7	1.25	0.125	0.25	['E3', 'G3', 'E4', 'G4']
12.5	7	1.5	0.25	0.25	['E3', 'G3', 'E4', 'G4']
12.75	7	1.75	0.125	0.25	['G2', 'G3', 'G4']
13.0	7	2.0	0.5	0.25	['G2', 'G3', 'G4']
13.25	7	2.25	0.125	0.25	['E3', 'G3', 'E4', 'G4']
13.5	7	2.5	0.25	0.25	['E3', 'G3', 'E4', 'G4']
13.75	7	2.75	0.125	0.25	['G3', 'G4']
14.0	8	1.0	1.0	0.25	['G3', 'G4']
14.25	8	1.25	0.125	0.25	['G3', 'G4', 'E5']
14.5	8	1.5	0.25	0.25	['G3', 'G4', 'E5']
14.75	8	1.75	0.125	0.25	['G3', 'G4', 'G5']
15.0	8	2.0	0.5	0.5	['G3', 'G4', 'G5']
15.5	8	2.5	0.25	0.5	
16.0	9	1.0	1.0	0.25	['G#3', 'G#4']
16.25	9	1.25	0.125	0.25	['G#3', 'C4', 'G#4', 'C5']
16.5	9	1.5	0.25	0.25	['G#3', 'C4', 'G#4', 'C5']
16.75	9	1.75	0.125	0.25	['G#3', 'E4', 'G#4', 'E5']
17.0	9	2.0	0.5	0.25	['G#3', 'E4', 'G#4', 'E5']
17.25	9	2.25	0.125	0.25	['G#3', 'C4', 'G#4', 'C5']
17.5	9	2.5	0.25	0.25	['C4', 'G#4', 'C5']
17.75	9	2.75	0.125	0.25	['G#3', 'G#4']
18.0	10	1.0	1.0	0.25	['A3', 'A4']
18.25	10	1.25	0.125	0.25	['A3', 'C4', 'A4', 'C5']
18.5	10	1.5	0.25	0.25	['A3', 'C4', 'A4', 'C5']
18.75	10	1.75	0.125	0.25	['A3', 'E4', 'A4', 'E5']
19.0	10	2.0	0.5	0.25	['F#3', 'E4', 'F#4', 'E5']
19.25	10	2.25	0.125	0.25	['F#3', 'C4', 'F#4', 'C5']
19.5	10	2.5	0.25	0.25	['F#3', 'C4', 'F#4', 'C5']
19.75	10	2.75	0.125	0.25	['F#3', 'F#4']
20.0	11	1.0	1.0	0.25	['G3', 'G4']
20.25	11	1.25	0.125	0.25	['G3', 'C4', 'G4', 'C5']
20.5	11	1.5	0.25	0.25	['G3', 'C4', 'G4', 'C5']
20.75	11	1.75	0.125	0.25	['G3', 'E4', 'G4', 'E5']
21.0	11	2.0	0.5	0.25	['G3', 'E4', 'G4', 'E5']
21.25	11	2.25	0.125	0.25	['G3', 'C4', 'G4', 'C5']
21.5	11	2.5	0.25	0.25	['C4', 'G4', 'C5']
21.75	11	2.75	0.125	0.25	['G3', 'G4']
22.0	12	1.0	1.0	0.25	['E3', 'E4']
22.25	12	1.25	0.125	0.25	['E3', 'G3', 'E4', 'G4']
22.5	12	1.5	0.25	0.25	['E3', 'G3', 'E4', 'G4']
22.75	12	1.75	0.125	0.25	['E3', 'C4', 'E4', 'C5']
23.0	12	2.0	0.5	0.25	['D3', 'C4', 'D4', 'C5']
23.25	12	2.25	0.125	0.25	['D3', 'G3', 'D4', 'G4']
23.5	12	2.5	0.25	0.25	['D3', 'G3', 'D4', 'G4']
23.75	12	2.75	0.125	0.25	['D3', 'D4']
24.0	13	1.0	1.0	0.25	['C3', 'C4']
24.25	13	1.25	0.125	0.25	['C3', 'G3', 'C4', 'G4']
24.5	13	1.5	0.25	0.25	['C3', 'G3', 'C4', 'G4']
24.75	13	1.75	0.125	0.25	['C3', 'C4', 'C5']
25.0	13	2.0	0.5	0.25	['C3', 'C4', 'C5']
25.25	13	2.25	0.125	0.25	['C3', 'C4', 'G5']
25.5	13	2.5	0.25	0.25	['C3', 'C4', 'G5']
25.75	13	2.75	0.125	0.25	['C3', 'C4', 'C6']
26.0	14	1.0	1.0	0.25	['B3', 'D4', 'G4']
26.25	14	1.25	0.125	0.25	['B3', 'D4', 'G4', 'D5']
26.5	14	1.5	0.25	0.25	['B3', 'D4', 'G4', 'D5']
26.75	14	1.75	0.125	0.25	['B3', 'D4', 'G4']
27.0	14	2.0	0.5	0.25	['B3', 'D4', 'G4']
27.25	14	2.25	0.125	0.25	['B3', 'D4', 'G4', 'D5']
27.5	14	2.5	0.25	0.25	['B3', 'D4', 'G4', 'D5']
27.75	14	2.75	0.125	0.25	['B3', 'D4', 'G4', 'G5']
28.0	15	1.0	1.0	0.25	['A3', 'C4', 'G4']
28.25	15	1.25	0.125	0.25	['A3', 'C4', 'G4', 'C5']
28.5	15	1.5	0.25	0.25	['A3', 'C4', 'G4', 'C5']
28.75	15	1.75	0.125	0.25	['A3', 'C4', 'G4']
29.0	15	2.0	0.5	0.25	['A3', 'C4', 'G4']
29.25	15	2.25	0.125	0.25	['A3', 'C4', 'G4', 'C5']
29.5	15	2.5	0.25	0.25	['A3', 'C4', 'G4', 'C5']
29.75	15	2.75	0.125	0.25	['A3', 'C4', 'G4', 'G5']
30.0	16	1.0	1.0	0.25	['E4', 'G4', 'C5']
30.25	16	1.25	0.125	0.25	['E4', 'G4', 'C5', 'G5']
30.5	16	1.5	0.25	0.25	['E4', 'G4', 'C5', 'G5']
30.75	16	1.75	0.125	0.25	['E4', 'G4', 'C5']
31.0	16	2.0	0.5	0.25	['D4', 'G4', 'B4']
31.25	16	2.25	0.125	0.25	['D4', 'G4', 'B4', 'G5']
31.5	16	2.5	0.25	0.25	['D4', 'G4', 'B4', 'G5']
31.75	16	2.75	0.125	0.25	['B4', 'B5']
32.0	17	1.0	1.0	0.25	['C4', 'E4', 'B4', 'E6']
32.25	17	1.25	0.125	0.25	['C4', 'E4', 'B4', 'B5', 'E6']
32.5	17	1.5	0.25	0.25	['C4', 'E4', 'B4', 'B5', 'E6']
32.75	17	1.75	0.125	0.25	['C4', 'E4', 'B4', 'E5', 'E6']
33.0	17	2.0	0.5	0.25	['C4', 'E4', 'B4', 'B5']
33.25	17	2.25	0.125	0.25	['C4', 'E4', 'B4', 'E5', 'B5']
33.5	17	2.5	0.25	0.25	['C4', 'E4', 'B4', 'E5', 'B5']
33.75	17	2.75	0.125	0.25	['C4', 'E4', 'B4', 'B5']
34.0	18	1.0	1.0	0.25	['C4', 'E4', 'A4', 'E6']
34.25	18	1.25	0.125	0.25	['C4', 'E4', 'A4', 'A5', 'E6']
34.5	18	1.5	0.25	0.25	['C4', 'E4', 'A4', 'A5', 'E6']
34.75	18	1.75	0.125	0.25	['C4', 'E4', 'A4', 'E5', 'E6']
35.0	18	2.0	0.5	0.25	['C#4', 'E4', 'A#4', 'G5']
35.25	18	2.25	0.125	0.25	['C#4', 'E4', 'A#4', 'E5', 'G5']
35.5	18	2.5	0.25	0.25	['C#4', 'E4', 'A#4', 'E5', 'G5']
35.75	18	2.75	0.125	0.25	['C#4', 'E4', 'G4', 'A#4', 'G5']
36.0	19	1.0	1.0	0.25	['B3', 'E4', 'G#4', 'B4', 'G#5', 'G#6']
36.25	19	1.25	0.125	0.25	['B3', 'E4', 'G#4', 'B4', 'E6', 'G#6']
36.5	19	1.5	0.25	0.25	['B3', 'E4', 'G#4', 'B4', 'E6', 'G#6']
36.75	19	1.75	0.125	0.25	['B3', 'E4', 'G#4', 'B4', 'G#5', 'G#6']
37.0	19	2.0	0.5	0.25	['B3', 'E4', 'G#4', 'B4', 'B5']
37.25	19	2.25	0.125	0.25	['B3', 'G#4', 'B4', 'G#5']
37.5	19	2.5	0.25	0.25	['B3', 'G#4', 'B4', 'G#5']
37.75	19	2.75	0.125	0.25	['B3', 'B4']
38.0	20	1.0	1.0	0.25	['B3', 'G#4', 'B4', 'G#5']
38.25	20	1.25	0.125	0.25	['B3', 'G#4', 'B4', 'E5']
38.5	20	1.5	0.25	0.25	['B3', 'G#4', 'E5']
38.75	20	1.75	0.125	0.25	['B3', 'G#4']
39.0	20	2.0	0.5	0.25	['C#3', 'G#3', 'C#4', 'E4']
39.25	20	2.25	0.125	0.25	['C#3', 'G#3', 'C#4', 'E4', 'C#5']
39.5	20	2.5	0.25	0.25	['C#3', 'G#3', 'C#4', 'E4', 'C#5']
39.75	20	2.75	0.125	0.25	['C#3', 'G#3', 'C#4', 'E4', 'E5']
40.0	21	1.0	1.0	0.25	['A2', 'E3', 'G3', 'C#4', 'E4', 'E5']
40.25	21	1.25	0.125	0.25	['A2', 'E3', 'G3', 'C#4', 'E4', 'C#5']
40.5	21	1.5	0.25	0.25	['A2', 'E3', 'G3', 'C#4', 'E4', 'C#5']
40.75	21	1.75	0.125	0.25	['A2', 'E3', 'G3', 'C#4', 'E4']
41.0	21	2.0	0.5	0.25	['A2', 'E3', 'G3', 'C#4', 'E4']
41.25	21	2.25	0.125	0.25	['A2', 'E3', 'G3', 'C#4', 'E4']
41.5	21	2.5	0.25	0.25	['A2', 'E3', 'G3', 'C#4', 'E4']
41.75	21	2.75	0.125	0.12	['B2', 'E3', 'G3', 'C#4', 'E4']
41.88	21	2.88	0.0625	0.12	['C#3', 'E3', 'G3', 'C#4', 'E4']
42.0	22	1.0	1.0	0.25	['E-3', 'G3', 'B-3', 'E-4', 'E-5']
42.25	22	1.25	0.125	0.25	['B-2', 'G3', 'B-3', 'E-4', 'E-5']
42.5	22	1.5	0.25	0.25	['B-2', 'G3', 'B-3', 'E-4', 'E-5']
42.75	22	1.75	0.125	0.25	['E-2', 'G3', 'B-3', 'E-4', 'E-5']
43.0	22	2.0	0.5	0.5	['E-2', 'E-3', 'E-4', 'E-5']
43.5	22	2.5	0.25	0.25	['E-2', 'B-2', 'E-3', 'E-5', 'G5', 'B-5', 'E-6']
43.75	22	2.75	0.125	0.25	['E-2', 'B-2', 'E-3', 'E-5', 'G5', 'B-5', 'E-6']
44.0	23	1.0	1.0	0.25	['D-2', 'A-2', 'D-3', 'D-5', 'F5', 'A-5', 'D-6', 'F6']
44.25	23	1.25	0.125	0.25	['D-2', 'D-5', 'F5', 'A-5', 'D-6']
44.5	23	1.5	0.25	0.25	['D-2', 'D-5', 'A-5']
44.75	23	1.75	0.125	0.25	['D-2', 'D-5', 'F5']
45.0	23	2.0	0.5	0.25	['A-2', 'D-5', 'F5']
45.25	23	2.25	0.125	0.25	['A-2', 'A-4', 'D-5', 'F5']
45.5	23	2.5	0.25	0.25	['A-2', 'D-4', 'A-4', 'F5']
45.75	23	2.75	0.125	0.25	['A-2', 'D-4', 'F4', 'F5']
46.0	24	1.0	1.0	0.75	['F3', 'B-3', 'D-4', 'F4']
