Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	
1.0	1	1.67	0.25	0.5	['D#4']
1.5	1	2.0	0.5	0.5	['E#4']
2.0	1	2.33	0.25	0.5	['G4']
2.5	1	2.67	0.25	0.5	['A4']
3.0	2	1.0	1.0	3.0	['A4']
6.0	3	1.0	1.0	1.0	['A4']
7.0	3	1.67	0.25	0.5	['D#4']
7.5	3	2.0	0.5	0.5	['E#4']
8.0	3	2.33	0.25	0.5	['G4']
8.5	3	2.67	0.25	0.5	['A4']
9.0	4	1.0	1.0	3.0	['A4']
12.0	5	1.0	1.0	0.5	['A2', 'A4']
12.5	5	1.33	0.25	0.5	['E3', 'E5']
13.0	5	1.67	0.25	0.5	['A3', 'E4', 'E5']
13.5	5	2.0	0.5	0.5	['C4', 'F4', 'E5']
14.0	5	2.33	0.25	0.5	['A3', 'G4']
14.5	5	2.67	0.25	0.5	['E3', 'A4']
15.0	6	1.0	1.0	0.5	['A2', 'A4']
15.5	6	1.5	0.25	0.5	['F3', 'D#5']
16.0	6	2.0	0.5	0.5	['A3', 'D#4', 'D#5']
16.5	6	2.5	0.25	0.5	['B3', 'E#4', 'A4', 'D#5']
17.0	6	1.0	1.0	0.5	['A3', 'G4']
17.5	6	1.5	0.25	0.5	['F3', 'A4']
17.0	7	1.0	1.0	0.5	['A2', 'A4', 'C5']
17.5	7	1.5	0.25	0.5	['E3', 'C5', 'E5']
18.0	7	2.0	0.5	0.5	['A3', 'E4', 'C5', 'E5']
18.5	7	2.5	0.25	0.5	['C4', 'F4', 'A4', 'E5']
19.0	7	1.0	1.0	0.5	['A3', 'G4']
19.5	7	1.5	0.25	0.5	['E3', 'A4']
19.0	8	1.0	1.0	0.5	['A2', 'A4']
19.5	8	1.5	0.25	0.5	['F3', 'A4', 'D#5']
20.0	8	2.0	0.5	0.5	['A3', 'D#4', 'A4', 'D#5']
20.5	8	2.5	0.25	0.5	['B3', 'E#4', 'A4', 'D#5']
21.0	8	1.0	1.0	0.5	['A3', 'G4']
21.5	8	1.5	0.25	0.5	['F3', 'A4']
21.0	9	1.0	1.0	0.5	['A2', 'E4', 'A4']
21.5	9	1.5	0.25	0.5	['E3', 'E4', 'E5']
22.0	9	2.0	0.5	0.5	['A3', 'E4', 'E5']
22.5	9	2.5	0.25	0.5	['C4', 'E4', 'F4', 'E5']
23.0	9	1.0	1.0	0.5	['A3', 'G4']
23.5	9	1.5	0.25	0.5	['E3', 'A4']
23.0	10	1.0	1.0	0.5	['A2', 'F4', 'A4']
23.5	10	1.5	0.25	0.5	['F3', 'F4', 'D#5']
24.0	10	2.0	0.5	0.5	['A3', 'D#4', 'F4', 'D#5']
24.5	10	2.5	0.25	0.25	['B3', 'E#4', 'F4', 'D#5']
24.75	10	2.75	0.125	0.25	['B3', 'E#4', 'F4', 'D#5']
25.0	10	1.0	1.0	0.5	['A3', 'G4']
25.5	10	1.5	0.25	0.5	['F3', 'A4']
25.0	11	1.0	1.0	0.5	['A2', 'E4', 'A4']
25.5	11	1.5	0.25	0.5	['E3', 'E4', 'E5']
26.0	11	2.0	0.5	0.5	['A3', 'E4', 'E5']
26.5	11	2.5	0.25	0.5	['C4', 'E4', 'F4', 'E5']
27.0	11	1.0	1.0	0.5	['A3', 'G4']
27.5	11	1.5	0.25	0.5	['E3', 'A4']
27.0	12	1.0	1.0	0.5	['A2', 'A4']
27.5	12	1.5	0.25	0.5	['E3', 'E5']
