Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	2.67	0.25	0.5	['G2', 'D3', 'G3', 'D4', 'B4', 'D5']
0.5	1	1.0	1.0	0.5	['F#2', 'D4', 'C5', 'D5']
1.0	1	1.33	0.25	0.5	['A3']
1.5	1	1.67	0.25	0.5	['D3', 'D4', 'C5', 'D5']
2.0	1	2.0	0.5	0.5	['F#2', 'D4', 'C5', 'D5']
2.5	1	2.33	0.25	0.5	['A3']
3.0	1	2.67	0.25	0.5	['D3', 'D4', 'C5', 'D5']
3.5	2	1.0	1.0	0.5	['G2', 'D4', 'B4', 'D5']
4.0	2	1.33	0.25	0.25	['G3', 'D4', 'B4', 'D5']
4.25	2	1.5	0.125	0.25	['G3', 'D4', 'A4', 'D5']
4.5	2	1.67	0.25	0.25	['D3', 'D4', 'G4', 'D5']
4.75	2	1.83	0.125	0.25	['D3', 'D4', 'A4', 'D5']
5.0	2	2.0	0.5	0.5	['G2', 'G4', 'B4', 'G5']
5.5	2	2.33	0.25	0.5	['G3']
6.0	2	2.67	0.25	0.5	['D3', 'D4', 'B4', 'D5']
6.5	3	1.0	1.0	0.5	['F#2', 'D4', 'C5', 'D5']
7.0	3	1.33	0.25	0.5	['A3']
7.5	3	1.67	0.25	0.5	['D3', 'D4', 'C5', 'D5']
8.0	3	2.0	0.5	0.5	['F#2', 'D4', 'C5', 'D5']
8.5	3	2.33	0.25	0.5	['A3']
9.0	3	2.67	0.25	0.5	['D3', 'D4', 'C5', 'D5']
9.5	4	1.0	1.0	0.5	['G2', 'D4', 'B4', 'D5']
10.0	4	1.33	0.25	0.25	['G3', 'D4', 'B4', 'D5']
10.25	4	1.5	0.125	0.25	['G3', 'D4', 'A4', 'D5']
10.5	4	1.67	0.25	0.25	['D3', 'D4', 'G4', 'D5']
10.75	4	1.83	0.125	0.25	['D3', 'D4', 'A4', 'D5']
11.0	4	2.0	0.5	0.5	['G2', 'G4', 'B4', 'G5']
11.5	4	2.33	0.25	0.5	['G3']
12.0	4	2.67	0.25	0.5	['B3', 'D#4', 'A4', 'B4', 'F#5']
12.5	5	1.0	1.0	0.5	['E3', 'B3', 'D4', 'G#4', 'B4', 'E5']
13.0	5	1.33	0.25	0.5	
13.5	5	1.67	0.25	0.5	['E3', 'G#3', 'E4', 'B4', 'D5']
14.0	5	2.0	0.5	0.75	['A2', 'E3', 'A3', 'E4', 'A4', 'D5']
14.75	5	2.5	0.125	0.25	['A2', 'E3', 'A3', 'E4', 'A4', 'C5']
15.0	5	2.67	0.25	0.25	['D2', 'D3', 'C4', 'F#4', 'A4']
