Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.5	['A1', 'A2']
1.5	1	2.0	0.25	1.5	['A1', 'A2']
3.0	1	3.0	0.5	3.0	['A1', 'A2']
6.0	2	1.0	1.0	1.5	['A2', 'E3']
7.5	2	2.0	0.25	1.5	['A2', 'E3']
9.0	2	3.0	0.5	3.0	['A2', 'E3']
12.0	3	1.0	1.0	1.5	['A2', 'E3', 'A3']
13.5	3	2.0	0.25	0.5	['A2', 'E3', 'B3']
14.0	3	2.33	0.125	0.5	['A2', 'E3', 'A3']
14.5	3	2.67	0.125	0.5	['A2', 'E3', 'B3']
15.0	3	3.0	0.5	0.75	['A2', 'E3', 'C4']
15.75	3	3.5	0.0625	0.25	['A2', 'E3', 'D4']
16.0	3	3.67	0.125	0.25	['A2', 'E3', 'C4']
16.25	3	3.83	0.0625	0.25	['A2', 'E3', 'B3']
16.5	3	4.0	0.25	1.0	['A2', 'E3', 'C4']
17.5	3	4.67	0.125	0.25	['A2', 'E3', 'B3']
17.75	3	4.83	0.0625	0.25	['A2', 'E3', 'A3']
18.0	4	1.0	1.0	0.75	['A2', 'E3', 'B3']
18.75	4	1.5	0.0625	0.25	['A2', 'E3', 'A3']
19.0	4	1.67	0.125	0.5	['A2', 'E3', 'B3']
19.5	4	2.0	0.25	1.0	['A2', 'E3', 'C4']
20.5	4	2.67	0.125	0.25	['A2', 'E3', 'B3']
20.75	4	2.83	0.0625	0.25	['A2', 'E3', 'A3']
21.0	4	3.0	0.5	0.25	['A2', 'E3', 'B3']
21.25	4	3.17	0.0625	0.25	['A2', 'E3', 'A3']
21.5	4	3.33	0.125	1.0	['A2', 'E3', 'B3']
22.5	4	4.0	0.25	1.5	['A2', 'E3', 'A3']
24.0	5	1.0	1.0	1.5	['A2', 'E3', 'C4', 'A4']
25.5	5	2.0	0.25	0.5	['A3', 'D4', 'B4']
26.0	5	2.33	0.125	0.5	['A3', 'C4', 'A4']
26.5	5	2.67	0.125	0.5	['A3', 'D4', 'B4']
27.0	5	3.0	0.5	0.75	['A3', 'E4', 'C5']
27.75	5	3.5	0.0625	0.25	['A3', 'F4', 'D5']
28.0	5	3.67	0.125	0.25	['A3', 'E4', 'C5']
28.25	5	3.83	0.0625	0.25	['A3', 'D4', 'B4']
28.5	5	4.0	0.25	1.0	['A3', 'E4', 'C5']
29.5	5	4.67	0.125	0.25	['A3', 'D4', 'B4']
29.75	5	4.83	0.0625	0.25	['A3', 'C4', 'A4']
30.0	6	1.0	1.0	0.75	['A3', 'D4', 'B4']
30.75	6	1.5	0.0625	0.25	['A3', 'C4', 'A4']
31.0	6	1.67	0.125	0.5	['A3', 'D4', 'B4']
31.5	6	2.0	0.25	1.0	['A3', 'E4', 'C5']
32.5	6	2.67	0.125	0.25	['A3', 'D4', 'B4']
32.75	6	2.83	0.0625	0.25	['A3', 'C4', 'A4']
33.0	6	3.0	0.5	0.25	['A3', 'D4', 'B4']
33.25	6	3.17	0.0625	0.25	['A3', 'C4', 'A4']
33.5	6	3.33	0.125	1.0	['A3', 'D4', 'B4']
34.5	6	4.0	0.25	1.5	['A3', 'C4', 'A4']
36.0	7	1.0	1.0	1.5	['A1', 'E2', 'A2', 'A3', 'C4', 'E4', 'A4']
37.5	7	2.0	0.25	0.5	['A3', 'D4', 'E4', 'B4']
38.0	7	2.33	0.125	0.5	['A3', 'C4', 'E4', 'A4']
38.5	7	2.67	0.125	0.5	['A3', 'D4', 'E4', 'B4']
39.0	7	3.0	0.5	0.75	['A3', 'E4', 'C5']
39.75	7	3.5	0.0625	0.25	['A3', 'F4', 'D5']
40.0	7	3.67	0.125	0.25	['A3', 'E4', 'C5']
40.25	7	3.83	0.0625	0.25	['A3', 'D4', 'B4']
40.5	7	4.0	0.25	1.0	['A3', 'E4', 'C5']
41.5	7	4.67	0.125	0.25	['A3', 'D4', 'B4']
41.75	7	4.83	0.0625	0.25	['A3', 'C4', 'A4']
42.0	8	1.0	1.0	0.75	['E3', 'D4', 'E4', 'G#4', 'B4']
42.75	8	1.5	0.0625	0.25	['E3', 'C4', 'E4', 'G#4', 'A4']
43.0	8	1.67	0.125	0.5	['E3', 'D4', 'B4']
43.5	8	2.0	0.25	1.0	['E3', 'E4', 'C5']
44.5	8	2.67	0.125	0.25	['E3', 'D4', 'B4']
44.75	8	2.83	0.0625	0.25	['E3', 'C4', 'A4']
45.0	8	3.0	0.5	0.25	['E3', 'D4', 'E4', 'G#4', 'B4']
45.25	8	3.17	0.0625	0.25	['E3', 'C4', 'E4', 'G#4', 'A4']
45.5	8	3.33	0.125	0.5	['E3', 'D4', 'E4', 'G#4', 'B4']
46.0	8	3.67	0.125	0.5	['E3', 'D4', 'B4']
46.5	8	4.0	0.25	1.5	['A2', 'E3', 'C4', 'A4']
48.0	9	1.0	1.0	0.5	['A2', 'A4', 'C5']
48.5	9	1.33	0.125	0.5	['E3', 'E4', 'A4']
49.0	9	1.67	0.125	0.5	['A3', 'C4', 'A4']
49.5	9	2.0	0.25	0.5	['A2', 'A4', 'C5']
50.0	9	2.33	0.125	0.5	['E3', 'E4', 'A4']
50.5	9	2.67	0.125	0.5	['A3', 'C4', 'A4']
51.0	9	3.0	0.5	0.5	['G2', 'C5', 'E5']
51.5	9	3.33	0.125	0.5	['C3', 'B-4', 'C5']
52.0	9	3.67	0.125	0.5	['G3', 'E4', 'C5']
52.5	9	4.0	0.25	0.5	['G2', 'C5', 'E5']
53.0	9	4.33	0.125	0.5	['C3', 'B-4', 'C5']
53.5	9	4.67	0.125	0.5	['G3', 'E4', 'C5']
54.0	10	1.0	1.0	0.5	['F2', 'F4', 'F5', 'A5']
54.5	10	1.33	0.125	0.5	['C3', 'F4', 'C5']
55.0	10	1.67	0.125	0.5	['F3', 'F4', 'A4']
55.5	10	2.0	0.25	0.5	['F2', 'F4', 'F5', 'A5']
56.0	10	2.33	0.125	0.5	['C3', 'F4', 'C5']
56.5	10	2.67	0.125	0.5	['F3', 'F4', 'A4']
57.0	10	3.0	0.5	0.5	['F2', 'C5', 'E-5']
57.5	10	3.33	0.125	0.5	['C3', 'A4']
58.0	10	3.67	0.125	0.5	['F3', 'E-4']
58.5	10	4.0	0.25	0.5	['F2', 'C5', 'E-5']
59.0	10	4.33	0.125	0.5	['C3', 'A4']
59.5	10	4.67	0.125	0.5	['F3', 'E-4']
60.0	11	1.0	1.0	0.5	['E2', 'A4', 'C#5', 'E5']
60.5	11	1.33	0.125	0.5	['A2', 'A4']
61.0	11	1.67	0.125	0.5	['E3', 'E4', 'A4']
61.5	11	2.0	0.25	0.5	['E2', 'A4', 'C#5', 'E5']
62.0	11	2.33	0.125	0.5	['A2', 'A4']
62.5	11	2.67	0.125	0.5	['E3', 'E4']
63.0	11	3.0	0.5	0.5	['E2', 'B4', 'D5']
63.5	11	3.33	0.125	0.5	['B2', 'G#4', 'B4']
64.0	11	3.67	0.125	0.5	['E3', 'E4', 'B4']
64.5	11	4.0	0.25	0.5	['E2', 'E4', 'B4', 'D5']
65.0	11	4.33	0.125	0.5	['B2', 'E4', 'G#4']
65.5	11	4.67	0.125	0.5	['E3', 'E4']
66.0	12	1.0	1.0	0.5	['A2', 'A4', 'C#5']
66.5	12	1.33	0.125	0.5	['E3', 'E4', 'C#5']
67.0	12	1.67	0.125	0.5	['A3', 'C#4', 'C#5']
67.5	12	2.0	0.25	0.5	['A2', 'A4', 'C#5']
68.0	12	2.33	0.125	0.5	['E3', 'E4', 'C#5']
68.5	12	2.67	0.125	0.5	['A3', 'C#4', 'C#5']
69.0	12	3.0	0.5	0.5	['A2', 'A4', 'C#5']
69.5	12	3.33	0.125	0.5	['E3', 'G4', 'C#5']
70.0	12	3.67	0.125	0.5	['A3', 'E4', 'C#5']
70.5	12	4.0	0.25	0.5	['A2', 'A4', 'C#5']
71.0	12	4.33	0.125	0.5	['E3', 'G4', 'C#5']
71.5	12	4.67	0.125	0.5	['A3', 'E4', 'C#5']
72.0	13	1.0	1.0	0.5	['D2', 'A4', 'D5']
72.5	13	1.33	0.125	0.5	['A2', 'F4', 'D5']
73.0	13	1.67	0.125	0.5	['D3', 'D4', 'D5']
73.5	13	2.0	0.25	0.5	['D2', 'B-4', 'C#5']
74.0	13	2.33	0.125	0.5	['B-2', 'G4', 'C#5']
74.5	13	2.67	0.125	0.5	['D3', 'E4', 'C#5']
75.0	13	3.0	0.5	0.5	['D2', 'D5']
75.5	13	3.33	0.125	0.5	['A2', 'A4', 'D5']
76.0	13	3.67	0.125	0.5	['D3', 'F4', 'D5']
76.5	13	4.0	0.25	0.5	['D2', 'A4', 'D5']
77.0	13	4.33	0.125	0.5	['A2', 'A4']
77.5	13	4.67	0.125	0.5	['D3', 'F4', 'A4']
78.0	14	1.0	1.0	0.5	['B1', 'F4', 'A-4', 'D5']
78.5	14	1.33	0.125	0.5	['B2', 'F4']
79.0	14	1.67	0.125	0.5	['B1', 'D4', 'F4']
