Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	3.0	0.5	1.0	['C5']
1.0	1	1.0	1.0	0.25	['F2', 'F3', 'C5']
1.25	1	1.25	0.125	0.25	['C5', 'F5', 'A5']
1.5	1	1.5	0.25	0.25	['A4', 'C5']
1.75	1	1.75	0.125	0.25	['C4', 'F4', 'C5']
2.0	1	2.0	0.5	0.25	['F3', 'C5']
2.25	1	2.25	0.125	0.25	['C5', 'F5', 'A5']
2.5	1	2.5	0.25	0.25	['A4', 'C5']
2.75	1	2.75	0.125	0.25	['C4', 'F4', 'C5']
3.0	1	3.0	0.5	0.25	['F3', 'C5']
3.25	1	3.25	0.125	0.25	['C5', 'F5', 'A5']
3.5	1	3.5	0.25	0.25	['A4', 'C5']
3.75	1	3.75	0.125	0.25	['C4', 'F4', 'C5']
4.0	2	1.0	1.0	0.25	['F3', 'D-5']
4.25	2	1.25	0.125	0.25	['D-5', 'F5', 'A-5']
4.5	2	1.5	0.25	0.25	['A-4', 'D-5']
4.75	2	1.75	0.125	0.25	['D-4', 'F4', 'D-5']
5.0	2	2.0	0.5	0.25	['F3', 'D-5']
5.25	2	2.25	0.125	0.25	['D-5', 'F5', 'A-5']
5.5	2	2.5	0.25	0.25	['A-4', 'D-5']
5.75	2	2.75	0.125	0.25	['D-4', 'F4', 'D-5']
6.0	2	3.0	0.5	0.25	['F3', 'B-4']
6.25	2	3.25	0.125	0.25	['B-4', 'F5', 'B-5']
6.5	2	3.5	0.25	0.25	['B-4', 'D-5']
6.75	2	3.75	0.125	0.25	['D-4', 'F4', 'B-4']
7.0	3	1.0	1.0	0.25	['F3', 'C5']
7.25	3	1.25	0.125	0.25	['C5', 'F5', 'A5']
7.5	3	1.5	0.25	0.25	['A4', 'C5']
7.75	3	1.75	0.125	0.25	['C4', 'F4', 'C5']
8.0	3	2.0	0.5	0.25	['F3', 'C5']
8.25	3	2.25	0.125	0.25	['C5', 'F5', 'A5']
8.5	3	2.5	0.25	0.25	['A4', 'C5']
8.75	3	2.75	0.125	0.25	['C4', 'F4', 'C5']
9.0	3	3.0	0.5	0.25	['F3', 'C5']
9.25	3	3.25	0.125	0.25	['C5', 'F5', 'A5']
9.5	3	3.5	0.25	0.25	['A4', 'C5']
9.75	3	3.75	0.125	0.25	['F3', 'C4', 'C5']
10.0	4	1.0	1.0	0.25	['D3', 'F5']
10.25	4	1.25	0.125	0.25	['F5', 'A5']
10.5	4	1.5	0.25	0.25	['A4', 'D5', 'F5']
10.75	4	1.75	0.125	0.25	['A3', 'F5']
11.0	4	2.0	0.5	0.25	['D3', 'F5']
11.25	4	2.25	0.125	0.25	['E5', 'F5', 'A5']
11.5	4	2.5	0.25	0.25	['A4', 'D5', 'F5']
11.75	4	2.75	0.125	0.25	['A3', 'F5']
12.0	4	3.0	0.5	0.25	['B2', 'E5']
12.25	4	3.25	0.125	0.25	['E5', 'F5', 'A-5']
12.5	4	3.5	0.25	0.25	['A-4', 'D5']
12.75	4	3.75	0.125	0.25	['B3', 'D5']
13.0	5	1.0	1.0	0.25	['C3', 'C5']
13.25	5	1.25	0.125	0.25	['C5', 'F5', 'A5']
13.5	5	1.5	0.25	0.25	['A4', 'C5']
13.75	5	1.75	0.125	0.25	['C4', 'C5']
14.0	5	2.0	0.5	0.25	['C3', 'C5']
14.25	5	2.25	0.125	0.25	['C5', 'F5', 'A5']
14.5	5	2.5	0.25	0.25	['A4', 'C5']
14.75	5	2.75	0.125	0.25	['C4', 'C5']
15.0	5	3.0	0.5	0.25	['C3', 'B-4']
15.25	5	3.25	0.125	0.25	['B-4', 'F5', 'A5']
