Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	2.67	0.25	0.5	['D4']
0.5	1	1.0	1.0	0.25	['G1', 'G2', 'G4', 'G5']
0.75	1	1.17	0.125	0.25	['G1', 'G2', 'G4', 'A5']
1.0	1	1.33	0.25	0.25	['D4', 'G4', 'B-4', 'G5']
1.25	1	1.5	0.125	0.25	['D4', 'G4', 'B-4', 'D5']
1.5	1	1.67	0.25	0.25	['D4', 'G4', 'A4', 'B-4', 'G5']
1.75	1	1.83	0.125	0.25	['D4', 'G4', 'A4', 'B-4', 'A5']
2.0	1	2.0	0.5	0.25	['G3', 'B-4', 'B-5']
2.25	1	2.17	0.125	0.25	['G3', 'B-4', 'C6']
2.5	1	2.33	0.25	0.25	['D4', 'G4', 'B-4', 'B-5']
2.75	1	2.5	0.125	0.25	['D4', 'G4', 'B-4', 'G5']
3.0	1	2.67	0.25	0.25	['D4', 'G4', 'B-4', 'C5', 'B-5']
3.25	1	2.83	0.125	0.25	['D4', 'G4', 'B-4', 'C5', 'C6']
3.5	2	1.0	1.0	0.25	['B-3', 'D5', 'D6']
3.75	2	1.17	0.125	0.25	['B-3', 'D5', 'E-6']
4.0	2	1.33	0.25	0.25	['D4', 'G4', 'B-4', 'D5', 'D6']
4.25	2	1.5	0.125	0.25	['D4', 'G4', 'B-4', 'D5', 'C6']
4.5	2	1.67	0.25	0.25	['D4', 'G4', 'B-4', 'D5', 'B-5']
4.75	2	1.83	0.125	0.25	['D4', 'G4', 'B-4', 'D5', 'A5']
5.0	2	2.0	0.5	0.25	['E-4', 'B-4', 'G5']
5.25	2	2.17	0.125	0.25	['E-4', 'B-4', 'F#5']
5.5	2	2.33	0.25	0.25	['G4', 'B-4', 'G5']
5.75	2	2.5	0.125	0.25	['G4', 'B-4', 'A5']
6.0	2	2.67	0.25	0.25	['G4', 'B-4', 'B-5']
6.25	2	2.83	0.125	0.25	['G4', 'B-4', 'G5']
6.5	3	1.0	1.0	0.25	['C4', 'E-5', 'A5']
6.75	3	1.17	0.125	0.25	['C4', 'E-5', 'B-5']
7.0	3	1.33	0.25	0.25	['E-4', 'G4', 'A4', 'D5', 'C6']
7.25	3	1.5	0.125	0.25	['E-4', 'G4', 'A4', 'D5', 'D6']
7.5	3	1.67	0.25	0.25	['E-4', 'G4', 'A4', 'C5', 'E-6']
7.75	3	1.83	0.125	0.25	['E-4', 'G4', 'A4', 'C5', 'E-5']
8.0	3	2.0	0.5	0.25	['D4', 'C5', 'D5']
8.25	3	2.17	0.125	0.25	['D4', 'C5', 'E5']
8.5	3	2.33	0.25	0.25	['F#4', 'A4', 'B-4', 'C5', 'F#5']
8.75	3	2.5	0.125	0.25	['F#4', 'A4', 'B-4', 'C5', 'G5']
9.0	3	2.67	0.25	0.25	['F#4', 'A4', 'C5', 'A5']
9.25	3	2.83	0.125	0.25	['F#4', 'A4', 'C5', 'B-5']
9.5	4	1.0	1.0	0.25	['G4', 'B-4', 'G5']
9.75	4	1.17	0.125	0.25	['G4', 'B-4', 'D5']
10.0	4	1.33	0.25	0.25	['G4', 'E-5']
10.25	4	1.5	0.125	0.25	['G4', 'D5']
10.5	4	1.67	0.25	0.25	['D4', 'G4', 'C5', 'F#5', 'B-5']
10.75	4	1.83	0.125	0.25	['D4', 'G4', 'C5', 'A5']
11.0	4	2.0	0.5	0.25	['G4', 'B-4', 'G5']
11.25	4	2.17	0.125	0.25	['G4', 'B-4', 'A5']
11.5	4	2.33	0.25	0.25	['G5']
11.75	4	2.5	0.125	0.25	['F5']
12.0	4	2.67	0.25	0.25	['F3', 'E-4', 'F4', 'G5']
12.25	4	2.83	0.125	0.25	['F3', 'E-4', 'F4', 'A5']
12.5	5	1.0	1.0	0.25	['B-3', 'D4', 'B-4', 'B-5']
12.75	5	1.17	0.125	0.25	['B-3', 'D4', 'B-4', 'C6']
13.0	5	1.33	0.25	0.25	['D4', 'F4', 'B-4', 'B-5']
13.25	5	1.5	0.125	0.25	['D4', 'F4', 'B-4', 'F5']
13.5	5	1.67	0.25	0.25	['D4', 'F4', 'C5', 'B-5']
13.75	5	1.83	0.125	0.25	['D4', 'F4', 'C5', 'C6']
14.0	5	2.0	0.5	0.25	['B-3', 'D5', 'D6']
14.25	5	2.17	0.125	0.25	['B-3', 'D5', 'E-6']
14.5	5	2.33	0.25	0.25	['D4', 'F4', 'D5', 'D6']
14.75	5	2.5	0.125	0.25	['D4', 'F4', 'D5', 'B-5']
