Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['F3']
0.5	1	1.5	0.25	0.5	['G3', 'F4', 'A-4', 'C5', 'F5']
1.0	1	2.0	0.5	0.5	['A-3']
1.5	1	2.5	0.25	0.5	['F3', 'F4', 'A-4', 'C5', 'F5']
2.0	1	3.0	0.5	0.5	['B-3']
2.5	1	3.5	0.25	0.5	['D-4', 'F4', 'B-4', 'F5']
3.0	2	1.0	1.0	3.0	['F3', 'C4', 'F4', 'A-4', 'F5']
6.0	3	1.0	1.0	0.5	['F3', 'C5']
6.5	3	1.5	0.25	0.5	['G3', 'F4', 'A-4', 'C5']
7.0	3	2.0	0.5	0.5	['A-3', 'C5']
7.5	3	2.5	0.25	0.5	['F3', 'F4', 'A-4', 'C5']
8.0	3	3.0	0.5	0.5	['G3', 'C5']
8.5	3	3.5	0.25	0.5	['A-3', 'F4', 'A-4', 'C5']
9.0	4	1.0	1.0	0.5	['A3', 'C5']
9.5	4	1.5	0.25	0.5	['B-3', 'F4', 'C5', 'E-5']
10.0	4	2.0	0.5	0.5	['F3', 'D-5']
10.5	4	2.5	0.25	0.5	['D-3', 'F4', 'B-4', 'D-5']
11.0	4	3.0	0.5	0.5	['B-2', 'D-5']
11.5	4	3.5	0.25	0.5	['C3', 'E-4', 'A-4', 'C5']
12.0	5	1.0	1.0	0.5	['D-3', 'C5']
12.5	5	1.5	0.25	0.5	['D3', 'F4', 'A-4', 'C5']
13.0	5	2.0	0.5	0.5	['E-3', 'C5']
13.5	5	2.5	0.25	0.5	['G3', 'E-4', 'B-4']
14.0	5	3.0	0.5	0.5	['F3', 'A-4']
14.5	5	3.5	0.25	0.5	['E-3', 'D-4', 'G4', 'B-4']
15.0	6	1.0	1.0	0.5	['G3', 'B4']
15.5	6	1.5	0.25	0.5	['A-3', 'E-4', 'G4', 'B4']
16.0	6	2.0	0.5	0.5	['E-3', 'C5']
16.5	6	2.5	0.25	0.5	['C3', 'E-4', 'A-4', 'C5']
17.0	6	3.0	0.5	0.5	['D3', 'C5']
17.5	6	3.5	0.25	0.5	['E3', 'C4', 'G4', 'B-4', 'B4']
18.0	7	1.0	1.0	0.5	['F3', 'A-4']
18.5	7	1.5	0.25	0.5	['G3', 'C4', 'F4', 'A-4']
19.0	7	2.0	0.5	0.5	['A-3', 'A-4']
19.5	7	2.5	0.25	0.5	['F3', 'C4', 'F4', 'A-4', 'C5']
20.0	7	3.0	0.5	0.5	['G3', 'C5']
20.5	7	3.5	0.25	0.5	['A-3', 'C4', 'F4', 'C5']
21.0	8	1.0	1.0	0.5	['A3', 'C5']
21.5	8	1.5	0.25	0.5	['B-3', 'E-4', 'C5']
22.0	8	2.0	0.5	0.5	['B-2', 'B-4']
22.5	8	2.5	0.25	0.5	['C3', 'D-4', 'F4', 'B-4']
23.0	8	3.0	0.5	0.5	['D-3', 'F4']
23.5	8	3.5	0.25	0.5	['D3', 'B-3', 'F4', 'A-4']
24.0	9	1.0	1.0	0.5	['E-3', 'G4']
24.5	9	1.5	0.25	0.5	['D3', 'B-3', 'E-4', 'G4']
25.0	9	2.0	0.5	0.5	['E-3', 'F4']
25.5	9	2.5	0.25	0.5	['D-3', 'E-4', 'F4', 'G4', 'B-4']
26.0	9	3.0	0.5	0.5	['C3', 'G4']
26.5	9	3.5	0.25	0.5	['B-2', 'E-4', 'G4', 'D-5']
27.0	10	1.0	1.0	0.5	['A-2', 'A-4']
27.5	10	1.5	0.25	0.5	['A-2', 'E-3', 'B-3', 'A-4', 'C5', 'C6']
28.0	10	2.0	0.5	0.5	['C3', 'A-4', 'A-5']
28.5	10	2.5	0.25	0.5	['C3', 'E-3', 'A-3', 'A-4', 'C5', 'F5']
29.0	10	3.0	0.5	0.5	['E-3', 'E-5']
29.5	10	3.5	0.25	0.5	['E-3', 'G3', 'B-4', 'D-5']
30.0	11	1.0	1.0	0.5	['A-3', 'A-4', 'C5']
30.5	11	1.5	0.25	0.5	['A-3', 'C4', 'E-4', 'G4', 'C5']
31.0	11	2.0	0.5	0.5	['A-3', 'A-4', 'C5']
31.5	11	2.5	0.25	0.5	['A-3', 'C4', 'E-4', 'B-4', 'C5']
32.0	11	3.0	0.5	0.5	['G-3', 'C5']
32.5	11	3.5	0.25	0.5	['G-3', 'C4', 'E-4', 'B-4', 'C5']
33.0	12	1.0	1.0	0.5	['F3', 'A4', 'C5']
33.5	12	1.5	0.25	0.5	['G3', 'C4', 'E-4', 'B-4', 'C5']
34.0	12	2.0	0.5	0.5	['A3', 'C5']
34.5	12	2.5	0.25	0.5	['F3', 'C4', 'E-4', 'A4']
35.0	12	3.0	0.5	0.5	['G3', 'G4', 'B-4']
35.5	12	3.5	0.25	0.5	['A3', 'C4', 'E-4', 'F4', 'C5']
36.0	13	1.0	1.0	0.5	['B-3', 'B-4']
36.5	13	1.5	0.25	0.5	['C4', 'D-4', 'F4', 'B-4']
37.0	13	2.0	0.5	0.5	['D-4', 'B-4']
37.5	13	2.5	0.25	0.5	['C4', 'D-4', 'F4', 'B-4']
38.0	13	3.0	0.5	0.5	['B-3', 'B-4']
38.5	13	3.5	0.25	0.5	['A-3', 'D-4', 'F-4', 'B-4']
39.0	14	1.0	1.0	0.5	['G3', 'E-4', 'B-4']
39.5	14	1.5	0.25	0.5	['A-3', 'E-4', 'B-4']
40.0	14	2.0	0.5	0.5	['B-3', 'E-4', 'B-4']
40.5	14	2.5	0.25	0.5	['E-3', 'E-4', 'G4', 'B-4']
41.0	14	3.0	0.5	0.5	['D3', 'C-4', 'F4', 'A-4']
41.5	14	3.5	0.25	0.5	['E-3', 'B-3', 'E-4', 'G4']
42.0	15	1.0	1.0	1.0	['F-3', 'A-3', 'C-4', 'A-4']
43.0	15	2.0	0.5	1.0	['F-3', 'A-3', 'C-4', 'A-4', 'C-5']
44.0	15	3.0	0.5	1.0	['F-2', 'F-3', 'A-3', 'C-4', 'A-4', 'D-5']
45.0	16	1.0	1.0	2.0	['E-2', 'E-3', 'C4', 'E-4', 'A-4', 'C5', 'E-5']
47.0	16	3.0	0.5	0.5	['E-2', 'E-3', 'C4', 'E-4', 'A-4', 'C5']
47.5	16	3.5	0.25	0.5	['E-2', 'E-3', 'C4', 'E-4', 'A-4']
48.0	17	1.0	1.0	0.5	['E-2', 'E-3', 'B-3', 'D-4', 'E-4', 'A-4']
48.5	17	1.5	0.25	0.5	['E-2', 'E-3', 'B-3', 'D-4', 'E-4', 'A-4']
49.0	17	2.0	0.5	0.5	['E-2', 'E-3', 'B-3', 'D-4', 'E-4', 'G4']
49.5	17	2.5	0.25	0.5	['E-2', 'E-3', 'B-3', 'D-4', 'F4']
50.0	17	3.0	0.5	0.5	['B-3', 'D-4', 'E-4']
50.5	17	3.5	0.25	0.5	['B-3', 'D-4', 'G4']
51.0	18	1.0	1.0	0.5	['A-2', 'A-3', 'C4', 'E-4', 'A-4']
51.5	18	1.5	0.25	0.5	['A-2', 'A-3', 'A-4', 'C6']
52.0	18	2.0	0.5	0.5	['A-2', 'A-3', 'A-4', 'G5']
52.5	18	2.5	0.25	0.5	['A-2', 'A-3', 'A-4', 'A-5']
53.0	18	3.0	0.5	0.5	['F5']
53.5	18	3.5	0.25	0.5	['D5']
54.0	19	1.0	1.0	0.5	['A-3', 'E-4', 'G4', 'B-4', 'D-5', 'E-5']
54.5	19	1.5	0.25	0.5	['A-3', 'E-4', 'G4', 'B-4', 'D-5', 'F-5']
55.0	19	2.0	0.5	0.5	['E-5']
55.5	19	2.5	0.25	0.5	['G5']
56.0	19	3.0	0.5	0.5	['A-3', 'E-4', 'D-5', 'C6']
56.5	19	3.5	0.25	0.5	['A-3', 'E-4', 'D-5', 'G5']
57.0	20	1.0	1.0	0.5	['A-3', 'E-4', 'C5', 'B-5']
57.5	20	1.5	0.25	0.5	['A-3', 'E-4', 'C5', 'A-5']
58.0	20	2.0	0.5	0.5	['G5']
58.5	20	2.5	0.25	0.5	['A-5']
59.0	20	3.0	0.5	0.5	['D3', 'A-4', 'B4', 'F5']
59.5	20	3.5	0.25	0.5	['F3', 'A-4', 'B4', 'D5']
60.0	21	1.0	1.0	0.5	['E-3', 'A-4', 'C5', 'F5']
60.5	21	1.5	0.25	0.5	['E-3', 'A-4', 'C5', 'E-5']
61.0	21	2.0	0.5	0.5	['E-3', 'D5']
61.5	21	2.5	0.25	0.5	['E-3', 'E-5']
62.0	21	3.0	0.5	0.5	['E-3', 'B-3', 'G4', 'D-5']
62.5	21	3.5	0.25	0.5	['E-3', 'D-4', 'G4', 'B-4']
63.0	22	1.0	1.0	0.5	['A-3', 'C4', 'A-4']
63.5	22	1.5	0.25	0.5	['G3', 'C4', 'A-4']
64.0	22	2.0	0.5	0.5	['A-3']
64.5	22	2.5	0.25	0.5	['B-3']
65.0	22	3.0	0.5	0.5	['G-3']
65.5	22	3.5	0.25	0.5	['E-3']
66.0	23	1.0	1.0	2.0	['D-3', 'A-3', 'D-4', 'F4', 'A-4', 'D-5', 'F5']
68.0	23	3.0	0.5	1.0	['D-3', 'A-3', 'D-4', 'F4', 'A-4', 'D-5', 'F5']
69.0	24	1.0	1.0	0.75	['D-3', 'A-3', 'D-4', 'E-4', 'G-4', 'C5', 'E-5']
69.75	24	1.75	0.125	0.25	['D-3', 'A-3', 'D-4', 'E-4', 'G-4', 'C5', 'D-5', 'E-5']
70.0	24	2.0	0.5	1.5	['D-3', 'A-3', 'D-4', 'E-4', 'G-4', 'C5', 'E-5']
71.5	24	3.5	0.25	0.5	['D-3', 'A-3', 'D-4', 'E-4', 'G-4', 'C5', 'E-5']
72.0	25	1.0	1.0	1.0	['D-3', 'D-4', 'F4', 'B-4', 'D-5']
73.0	25	2.0	0.5	1.0	['F4', 'A-4', 'D-5']
74.0	25	3.0	0.5	0.5	['D-3', 'D-4', 'F4', 'D-5']
74.5	25	3.5	0.25	0.5	['C3', 'C4', 'F4', 'D-5']
75.0	26	1.0	1.0	0.75	['B-2', 'B-3', 'F4', 'D-5', 'F5']
75.75	26	1.75	0.125	0.25	['B-2', 'B-3', 'F4', 'C5', 'E-5']
