Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	2.33	0.25	0.5	['E4']
0.5	0	2.67	0.25	0.5	['G#4']
1.0	1	1.0	1.0	0.5	['A3', 'A4']
1.5	1	1.33	0.25	0.5	['C3', 'A4']
2.0	1	1.67	0.25	0.5	['E3']
2.5	1	2.0	0.5	0.5	['A2']
3.0	1	2.33	0.25	0.5	['A2', 'E4']
3.5	1	2.67	0.25	0.5	['G#4']
4.0	2	1.0	1.0	0.5	['A3', 'A4']
4.5	2	1.33	0.25	0.5	['C3', 'A4']
5.0	2	1.67	0.25	0.5	['E3', 'A4']
5.5	2	2.0	0.5	0.5	['A2', 'E4']
6.0	2	2.33	0.25	0.5	['A2', 'E4']
6.5	2	2.67	0.25	0.5	['E4', 'G#4']
7.0	3	1.0	1.0	0.5	['A3', 'A4']
7.5	3	1.33	0.25	0.5	['E3', 'E4', 'A4']
8.0	3	1.67	0.25	0.5	['B3', 'B4']
8.5	3	2.0	0.5	0.5	['C4', 'C5']
9.0	3	2.33	0.25	0.5	['A3', 'A4', 'C5']
9.5	3	2.67	0.25	0.5	['D4', 'D5']
10.0	4	1.0	1.0	0.5	['E4', 'E5', 'G5']
10.5	4	1.33	0.25	0.5	['G#3', 'E5', 'G5']
11.0	4	1.67	0.25	0.5	['B3', 'E5']
11.5	4	2.0	0.5	0.5	['E3', 'B4']
12.0	4	2.33	0.25	0.25	['D3', 'D4', 'B4', 'F5']
12.25	4	2.5	0.125	0.25	['D3', 'D4', 'A4', 'B4']
12.5	4	2.67	0.25	0.25	['D3', 'D4', 'B4', 'F5']
12.75	4	2.83	0.125	0.25	['D3', 'D4', 'A4']
13.0	5	1.0	1.0	0.5	['F3', 'E4', 'G#4', 'B4', 'E5']
13.5	5	1.33	0.25	0.5	['G#3', 'G#4', 'B4', 'E5']
14.0	5	1.67	0.25	0.5	['B3']
14.5	5	2.0	0.5	0.5	['E3', 'B4']
15.0	5	2.33	0.25	0.25	['D3', 'D4', 'B4', 'F5']
15.25	5	2.5	0.125	0.25	['D3', 'D4', 'A4', 'B4']
15.5	5	2.67	0.25	0.25	['D3', 'D4', 'B4', 'F5']
15.75	5	2.83	0.125	0.25	['D3', 'D4', 'A4', 'B4']
16.0	6	1.0	1.0	0.5	['E3', 'E4', 'G#4', 'B4', 'E5']
16.5	6	1.33	0.25	0.5	['G#3', 'G#4', 'B4', 'E5']
17.0	6	1.67	0.25	0.5	['B3', 'B4']
17.5	6	2.0	0.5	0.5	['E3', 'B4']
18.0	6	2.33	0.25	0.25	['D3', 'D4', 'B4', 'F5']
18.25	6	2.5	0.125	0.25	['D3', 'D4', 'A4', 'B4']
18.5	6	2.67	0.25	0.25	['D3', 'D4', 'B4', 'F5']
18.75	6	2.83	0.125	0.25	['D3', 'D4', 'A4', 'B4']
19.0	7	1.0	1.0	0.5	['E3', 'B3', 'G#4', 'E5']
19.5	7	1.33	0.25	0.5	['E3', 'B3', 'E4', 'E5']
20.0	7	1.67	0.25	0.5	['D5']
20.5	7	2.0	0.5	0.5	['E3', 'D4', 'G#4', 'B4']
