Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['F3']
0.5	1	1.5	0.25	0.5	['F3', 'A3', 'E-4', 'F4', 'C5']
1.0	1	2.0	0.5	0.5	['F3', 'B-3', 'E-4', 'F4', 'B-4']
1.5	1	2.5	0.25	0.5	['F3', 'C4', 'E-4', 'F4', 'A4']
2.0	2	1.0	1.0	0.5	['F3']
2.5	2	1.5	0.25	0.5	['F3', 'B-3', 'D-4', 'F4', 'B-4']
3.0	2	2.0	0.5	0.5	['F3', 'B-3', 'D-4', 'F4', 'C5']
3.5	2	2.5	0.25	0.5	['F3', 'B-3', 'D-4', 'F4', 'D-5']
4.0	3	1.0	1.0	0.5	['F3']
4.5	3	1.5	0.25	0.5	['F3', 'B-3', 'E4', 'G4', 'D-5']
5.0	3	2.0	0.5	0.5	['F3', 'B-3', 'E4', 'G4', 'C5']
5.5	3	2.5	0.25	0.5	['F3', 'B-3', 'E4', 'G4', 'B-4']
6.0	4	1.0	1.0	0.5	['F2']
6.5	4	1.5	0.25	0.5	['F2', 'C3', 'A3', 'C4', 'A4']
7.0	4	2.0	0.5	0.5	['F2', 'C3', 'A3', 'C4', 'G4']
7.5	4	2.5	0.25	0.5	['F2', 'C3', 'A3', 'C4', 'F4']
8.0	5	1.0	1.0	0.5	['F2', 'F3']
8.5	5	1.5	0.25	0.5	['F2', 'F3', 'C4', 'E-4', 'C5', 'E-5', 'C6']
9.0	5	2.0	0.5	0.5	['F2', 'F3', 'D-4', 'F4', 'B-4', 'D-5', 'B-5']
9.5	5	2.5	0.25	0.5	['F2', 'F3', 'E-4', 'G-4', 'A4', 'C5', 'A5']
10.0	6	1.0	1.0	0.5	['F2', 'F3']
10.5	6	1.5	0.25	0.5	['F2', 'F3', 'D-4', 'F4', 'B-4', 'D-5', 'B-5']
11.0	6	2.0	0.5	0.5	['F2', 'F3', 'C4', 'E-4', 'C5', 'E-5', 'C6']
11.5	6	2.5	0.25	0.5	['F2', 'F3', 'B-3', 'D-4', 'D-5', 'F5', 'D6']
12.0	7	1.0	1.0	0.5	['F2', 'F3']
12.5	7	1.5	0.25	0.5	['F2', 'F3', 'B-3', 'D-4', 'D-5', 'E5', 'D-6']
13.0	7	2.0	0.5	0.5	['F2', 'F3', 'C4', 'E4', 'C5', 'E5', 'C6']
13.5	7	2.5	0.25	0.5	['F2', 'F3', 'D-4', 'E4', 'B-4', 'D-5', 'B-5']
14.0	8	1.0	1.0	2.0	['F3', 'C4', 'F4', 'A4', 'C5', 'A5']
16.0	9	1.0	1.0	0.5	['C2', 'C3', 'A4']
16.5	9	1.5	0.25	0.5	['C2', 'C3', 'G3', 'B-3', 'C4', 'B-4']
17.0	9	2.0	0.5	0.5	['C2', 'C3', 'G3', 'B-3', 'D-4', 'G4']
17.5	9	2.5	0.25	0.5	['C2', 'C3', 'G3', 'B-3', 'C4', 'E4']
18.0	10	1.0	1.0	0.5	['F2', 'F3', 'G4']
18.5	10	1.5	0.25	0.5	['F2', 'F3', 'A3', 'C4', 'G4']
19.0	10	2.0	0.5	0.5	['F2', 'F3', 'A3', 'E4', 'G4']
19.5	10	2.5	0.25	0.5	['F2', 'F3', 'A3', 'F4']
20.0	11	1.0	1.0	0.5	['F2', 'F3', 'F4']
20.5	11	1.5	0.25	0.5	['F2', 'F3', 'G#3', 'B3', 'F4']
21.0	11	2.0	0.5	0.5	['F2', 'F3', 'G#3', 'B3', 'D4', 'E4']
21.5	11	2.5	0.25	0.5	['F2', 'F3', 'G#3', 'B3', 'D4', 'F4']
22.0	12	1.0	1.0	0.5	['F2', 'F3', 'D4']
22.5	12	1.5	0.25	0.5	['F2', 'F3', 'A3', 'C4']
23.0	12	2.0	0.5	0.5	['F2', 'F3', 'A3', 'C4', 'E4']
23.5	12	2.5	0.25	0.5	['F2', 'F3', 'A3', 'C4', 'F4']
24.0	13	1.0	1.0	0.5	['D3', 'A4']
24.5	13	1.5	0.25	0.5	['D3', 'A3', 'D4', 'F#4', 'A4', 'C5']
25.0	13	2.0	0.5	0.5	['D3', 'A3', 'D4', 'F#4', 'A4', 'C5', 'E-5']
25.5	13	2.5	0.25	0.5	['D3', 'A3', 'D4', 'F#4', 'A4', 'C5', 'D5']
26.0	14	1.0	1.0	0.5	['G3', 'B-4']
