Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	2.67	0.25	0.5	['B3']
0.5	1	1.0	1.0	0.5	['E2', 'E3', 'E4', 'E5']
1.0	1	1.33	0.25	0.25	['E3', 'G3', 'B3', 'E4']
1.25	1	1.5	0.125	0.25	['E3', 'G3', 'B3', 'D#4', 'E4']
1.5	1	1.67	0.25	0.25	['E3', 'G3', 'B3', 'E4']
1.75	1	1.83	0.125	0.25	['E3', 'G3', 'B3', 'E4', 'G4']
2.0	1	2.0	0.5	0.5	['E2', 'E3', 'G4', 'B4']
2.5	1	2.33	0.25	0.25	['E3', 'G3', 'B3', 'G4', 'B4']
2.75	1	2.5	0.125	0.25	['E3', 'G3', 'B3', 'G4', 'A#4']
3.0	1	2.67	0.25	0.25	['E3', 'G3', 'B3', 'G4', 'B4']
3.25	1	2.83	0.125	0.25	['E3', 'G3', 'B3', 'G4', 'E5']
3.5	2	1.0	1.0	0.5	['E2', 'E3', 'B4', 'G5']
4.0	2	1.33	0.25	0.25	['E3', 'G3', 'B3', 'B4', 'G5', 'B5']
4.25	2	1.5	0.125	0.25	['E3', 'G3', 'B3', 'B4', 'C6']
4.5	2	1.67	0.25	0.25	['E3', 'G3', 'B3', 'B4', 'G5', 'B5']
4.75	2	1.83	0.125	0.25	['E3', 'G3', 'B3', 'B4', 'C6']
5.0	2	2.0	0.5	0.5	['E3', 'G3', 'B3', 'B4', 'G5', 'B5']
5.5	2	2.33	0.25	0.5	['B4']
6.0	2	2.67	0.25	0.5	['E3', 'G3', 'B4', 'B5']
6.5	3	1.0	1.0	0.25	['E3', 'A3', 'C5', 'C6']
6.75	3	1.17	0.125	0.25	['E3', 'B3', 'C5', 'B5']
7.0	3	1.33	0.25	0.25	['E3', 'C4', 'B4', 'E5']
7.25	3	1.5	0.125	0.25	['E3', 'B3', 'B4', 'B5']
7.5	3	1.67	0.25	0.5	['E3', 'A3', 'C5', 'C6']
8.0	3	2.0	0.5	0.25	['E3', 'G3', 'B4', 'B5']
8.25	3	2.17	0.125	0.25	['E3', 'A3', 'B4', 'A5']
8.5	3	2.33	0.25	0.25	['E3', 'B3', 'A4', 'E5']
8.75	3	2.5	0.125	0.25	['E3', 'A3', 'A4', 'A5']
9.0	3	2.67	0.25	0.5	['E3', 'G3', 'B4', 'B5']
9.5	4	1.0	1.0	0.25	['E3', 'A3', 'C5', 'C6']
9.75	4	1.17	0.125	0.25	['E3', 'B3', 'C5', 'B5']
10.0	4	1.33	0.25	0.25	['E3', 'C4', 'B4', 'E5']
10.25	4	1.5	0.125	0.25	['E3', 'B3', 'B4', 'B5']
10.5	4	1.67	0.25	0.5	['E3', 'A3', 'C5', 'C6']
11.0	4	2.0	0.5	0.5	['E3', 'G3', 'B4', 'E5', 'G5', 'B5']
11.5	4	2.33	0.25	0.5	['B4']
12.0	4	2.67	0.25	0.5	['D3', 'G3', 'F4', 'G4', 'B4']
12.5	5	1.0	1.0	0.5	['C3', 'G3', 'C4', 'E4', 'G4', 'C5']
13.0	5	1.33	0.25	0.25	['C3', 'G3', 'C4', 'C5']
13.25	5	1.5	0.125	0.25	['C3', 'G3', 'C4', 'B4', 'C5']
13.5	5	1.67	0.25	0.25	['C3', 'G3', 'C4', 'C5']
13.75	5	1.83	0.125	0.25	['C3', 'G3', 'C4', 'C5', 'D5']
14.0	5	2.0	0.5	0.5	['C3', 'G3', 'C4', 'E4', 'E5']
14.5	5	2.33	0.25	0.25	['C3', 'G3', 'C4', 'C5', 'E5']
14.75	5	2.5	0.125	0.25	['C3', 'G3', 'C4', 'C5']
15.0	5	2.67	0.25	0.25	['C3', 'G3', 'C4', 'G4', 'C5']
15.25	5	2.83	0.125	0.25	['C3', 'G3', 'C4', 'E4', 'C5']
15.5	6	1.0	1.0	0.5	['C3', 'F3', 'A-3', 'B3', 'B4', 'F5']
16.0	6	1.33	0.25	0.25	['C3', 'F3', 'A-3', 'B3', 'B4', 'F5']
16.25	6	1.5	0.125	0.25	['C3', 'F3', 'A-3', 'B3', 'C5', 'D5']
16.5	6	1.67	0.25	0.25	['C3', 'F3', 'A-3', 'B3', 'A-4', 'D5']
16.75	6	1.83	0.125	0.25	['C3', 'F3', 'A-3', 'B3', 'F4', 'D5']
17.0	6	2.0	0.5	0.5	['C3', 'G3', 'C4', 'C5', 'E5']
17.5	6	2.33	0.25	0.25	['C3', 'G3', 'C4', 'C5', 'E5']
17.75	6	2.5	0.125	0.25	['C3', 'G3', 'C4', 'C5']
18.0	6	2.67	0.25	0.25	['C3', 'G3', 'C4', 'G4', 'C5']
18.25	6	2.83	0.125	0.25	['C3', 'G3', 'C4', 'E4', 'C5']
18.5	7	1.0	1.0	0.5	['B2', 'B4', 'E5']
19.0	7	1.33	0.25	0.25	['D3', 'G#3', 'B3', 'B4', 'E5']
19.25	7	1.5	0.125	0.25	['D3', 'G#3', 'B3', 'C5', 'D#5']
19.5	7	1.67	0.25	0.25	['D3', 'G#3', 'B3', 'B4', 'E5']
19.75	7	1.83	0.125	0.25	['D3', 'G#3', 'B3', 'B4', 'G#5']
20.0	7	2.0	0.5	0.5	['A2', 'A4', 'A5']
