Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['A2', 'E3']
1.0	1	2.0	0.25	1.0	['F3', 'C4']
2.0	1	3.0	0.5	1.0	['E4', 'C5']
3.0	1	4.0	0.25	1.0	['F4', 'A4', 'C5', 'E5']
4.0	2	1.0	1.0	1.0	['A2', 'E3']
5.0	2	2.0	0.25	1.0	['F3', 'C4']
6.0	2	3.0	0.5	1.0	['E4', 'C5']
7.0	2	4.0	0.25	0.75	['C4', 'F4', 'A4', 'C5', 'E5']
7.75	2	4.75	0.0625	0.25	['D4', 'F4', 'A4', 'C5', 'E5']
8.0	3	1.0	1.0	1.0	['A2', 'E3', 'E4']
9.0	3	2.0	0.25	1.0	['F3', 'C4', 'E4']
10.0	3	3.0	0.5	1.0	['E4', 'C5']
11.0	3	4.0	0.25	0.5	['E4', 'F4', 'A4', 'C5', 'E5']
11.5	3	4.5	0.125	0.5	['E4', 'F4', 'A4', 'C5', 'E5']
12.0	4	1.0	1.0	1.0	['A2', 'E3', 'A4']
13.0	4	2.0	0.25	0.5	['F3', 'C4', 'A4']
13.5	4	2.5	0.125	0.25	['F3', 'C4', 'G4']
13.75	4	2.75	0.0625	0.25	['F3', 'C4', 'F4']
14.0	4	3.0	0.5	1.0	['E4', 'C5']
15.0	4	4.0	0.25	0.5	['C4', 'F4', 'A4', 'C5', 'E5']
15.5	4	4.5	0.125	0.5	['D4', 'F4', 'A4', 'C5', 'E5']
16.0	5	1.0	1.0	1.0	['G2', 'E3', 'E4']
17.0	5	2.0	0.25	1.0	['G3', 'C4', 'E4', 'G4', 'C5', 'E5']
18.0	5	3.0	0.5	0.5	['F#2', 'E3', 'E4']
18.5	5	3.5	0.125	0.5	['F#2', 'E3', 'E4']
19.0	5	4.0	0.25	0.25	['F#3', 'A3', 'C4', 'E4', 'F#4', 'A4', 'C5', 'E5']
19.25	5	4.25	0.0625	0.12	['F#3', 'A3', 'C4', 'E4', 'F#4', 'A4', 'C5', 'E5']
19.38	5	4.38	0.0625	0.12	['F#3', 'A3', 'C4', 'E4', 'F#4', 'A4', 'C5', 'E5']
19.5	5	4.5	0.125	0.25	['F#3', 'A3', 'C4', 'D#4', 'E4', 'F#4', 'A4', 'C5', 'E5']
19.75	5	4.75	0.0625	0.25	['F#3', 'A3', 'C4', 'E4', 'F#4', 'A4', 'C5', 'E5']
20.0	6	1.0	1.0	1.0	['B1', 'B2', 'E5']
21.0	6	2.0	0.25	0.5	['E3', 'F#3', 'A3', 'C4', 'E4', 'F#4', 'A4', 'C5', 'E5']
21.5	6	2.5	0.125	0.25	['E3', 'F#3', 'A3', 'C4', 'E4', 'F#4', 'A4', 'C5']
21.75	6	2.75	0.0625	0.25	['E3', 'F#3', 'A3', 'C4', 'E4', 'F#4', 'A4', 'C5']
22.0	6	3.0	0.5	1.0	['F#3', 'A3', 'C4', 'E4', 'F#4', 'A4', 'C5', 'E5']
23.0	6	4.0	0.25	1.0	['E3', 'F#3', 'A3', 'C4', 'E4', 'F#4', 'A4', 'C5']
24.0	7	1.0	1.0	1.0	['B1', 'B2', 'F#4']
25.0	7	2.0	0.25	0.5	['D3', 'F#3', 'B3', 'D4', 'F#4', 'B4']
25.5	7	2.5	0.125	0.5	['D3', 'F#3', 'B3', 'D4', 'F#4', 'B4', 'D5']
26.0	7	3.0	0.5	0.5	['F#3', 'B3', 'D4', 'F#4', 'B4', 'D5']
26.5	7	3.5	0.125	0.5	['F#3', 'B3', 'D4', 'F#4', 'B4', 'C#5', 'D5']
27.0	7	4.0	0.25	0.5	['D3', 'F#3', 'B3', 'D4', 'F#4', 'B4', 'C#5']
27.5	7	4.5	0.125	0.5	['D3', 'F#3', 'B3', 'D4', 'F#4', 'B4']
28.0	8	1.0	1.0	0.5	['B1', 'B2', 'B4']
28.5	8	1.5	0.125	0.5	['B1', 'B2', 'A4']
29.0	8	2.0	0.25	0.5	['D3', 'F#3', 'B3', 'D4', 'F#4', 'A4', 'B4']
29.5	8	2.5	0.125	0.5	['D3', 'F#3', 'B3', 'D4', 'F#4', 'G#4', 'B4']
30.0	8	3.0	0.5	1.0	['F#3', 'B3', 'D4', 'F#4', 'G#4', 'B4', 'D5']
31.0	8	4.0	0.25	0.33	['B3', 'D4', 'F#4', 'A4']
31.33	8	4.33	0.0625	0.33	['C#4', 'E#4', 'G#4']
31.67	8	4.67	0.0625	0.33	['B3', 'D4', 'F#4', 'A4']
32.0	9	1.0	1.0	1.0	['C#4', 'E#4', 'G#4']
33.0	9	2.0	0.25	0.33	['B3', 'D4', 'F4', 'A4']
33.33	9	2.33	0.0625	0.33	['C#4', 'E#4', 'G#4']
33.67	9	2.67	0.0625	0.33	['B3', 'D4', 'F4', 'A4']
34.0	9	3.0	0.5	1.0	['C#4', 'E#4', 'G#4']
35.0	9	4.0	0.25	0.33	['B3', 'D4', 'F4', 'A4', 'D5']
35.33	9	4.33	0.0625	0.33	['C#4', 'E#4', 'G#4', 'D5']
35.67	9	4.67	0.0625	0.33	['B3', 'D4', 'F4', 'A4', 'D5']
36.0	10	1.0	1.0	1.0	['C#4', 'E#4', 'G#4', 'C#5']
37.0	10	2.0	0.25	1.0	['C#3', 'E#4', 'G#4', 'C#5']
38.0	10	3.0	0.5	1.0	['C#2', 'C#4', 'E#4', 'G#4']
39.0	10	4.0	0.25	1.0	['C#4']
40.0	11	1.0	1.0	1.0	['A2', 'E3', 'A3', 'C#4', 'E4']
41.0	11	2.0	0.25	1.0	['A3', 'C#4', 'E4', 'A4', 'E5']
42.0	11	3.0	0.5	1.0	['G#2', 'E3', 'G#3', 'C#4', 'E4']
43.0	11	4.0	0.25	0.5	['G#3', 'E4', 'G#4', 'E5']
43.5	11	4.5	0.125	0.5	['G#3', 'C#4', 'E4', 'G#4', 'E5']
44.0	12	1.0	1.0	1.0	['F#2', 'E3', 'A3', 'E4']
45.0	12	2.0	0.25	0.75	['F#3', 'D#4', 'E4', 'A4', 'E5']
45.75	12	2.75	0.0625	0.25	['F#3', 'C#4', 'E4', 'A4', 'E5']
46.0	12	3.0	0.5	1.0	['C#4', 'F#4', 'E5', 'A5', 'E6']
47.0	12	4.0	0.25	1.0	['F#3', 'C#4', 'E4', 'A4', 'E5']
48.0	13	1.0	1.0	1.0	['D#3', 'A3', 'C4', 'D#4', 'F#4']
49.0	13	2.0	0.25	1.0	['D#4', 'A4', 'C5', 'D#5', 'F#5']
50.0	13	3.0	0.5	1.0	['E4', 'A4', 'C5', 'E5', 'G5']
51.0	13	4.0	0.25	0.75	['E3', 'A3', 'C4', 'E4', 'G4']
51.75	13	4.75	0.0625	0.25	['E3', 'A3', 'C4', 'E4', 'G4']
52.0	14	1.0	1.0	1.0	['D#3', 'A3', 'C4', 'D#4', 'F#4']
53.0	14	2.0	0.25	1.0	['D#4', 'A4', 'C5', 'D#5', 'F#5']
54.0	14	3.0	0.5	1.0	['E4', 'A4', 'C5', 'E5', 'G5']
55.0	14	4.0	0.25	1.0	['E3', 'A3', 'C4', 'G4', 'E5']
56.0	15	1.0	1.0	1.0	['D#3', 'A3', 'C4', 'F4']
57.0	15	2.0	0.25	1.0	['D#4', 'A4', 'C5', 'F5']
58.0	15	3.0	0.5	1.0	['E4', 'A4', 'C5', 'E5']
59.0	15	4.0	0.25	1.0	['E3', 'A3', 'C4', 'E4']
60.0	16	1.0	1.0	1.0	['D#3', 'A3', 'C4', 'F4']
61.0	16	2.0	0.25	1.0	['D#4', 'A4', 'C5', 'F5']
62.0	16	3.0	0.5	1.0	['E4', 'A4', 'C5', 'E5']
63.0	16	4.0	0.25	1.0	['E3', 'A3', 'C4', 'E4']
