Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['B-3', 'D4', 'F4', 'B-4']
1.0	1	3.0	0.5	0.5	['A-3', 'E-4', 'A-4', 'C5']
1.5	2	1.0	1.0	0.5	['E-3', 'G4', 'B-4', 'E-5']
2.0	2	2.0	0.5	0.5	['F3', 'G4', 'B-4', 'E-5']
2.5	2	3.0	0.5	0.5	['G3', 'F4', 'B-4', 'D5']
3.0	3	1.0	1.0	1.0	['A-3', 'E-4', 'A-4', 'C5']
4.0	3	3.0	0.5	0.5	['G3', 'F4', 'B-4', 'D5']
4.5	4	1.0	1.0	0.5	['F3', 'A-4', 'C5', 'F5']
5.0	4	2.0	0.5	0.5	['G3', 'A-4', 'C5', 'F5']
5.5	4	3.0	0.5	0.5	['A-3', 'G4', 'C5', 'E-5']
6.0	5	1.0	1.0	1.0	['B-3', 'F4', 'B-4', 'D5']
7.0	5	3.0	0.5	0.5	['A-3', 'G4', 'C5', 'E-5']
7.5	6	1.0	1.0	0.5	['G3', 'B-4', 'D5', 'G5']
8.0	6	2.0	0.5	0.5	['G3', 'A-4', 'C5', 'F5']
8.5	6	3.0	0.5	0.5	['A-3', 'G4', 'C5', 'E-5']
9.0	7	1.0	1.0	0.5	['B-3', 'G4', 'B-4', 'E-5']
9.5	7	2.0	0.5	0.5	['B-3', 'A-4', 'B-4', 'F5']
10.0	7	3.0	0.5	0.5	['B-2', 'F4', 'A-4', 'D5']
10.5	8	1.0	1.0	1.5	['E-3', 'E-4', 'G4', 'E-5']
12.0	9	1.0	1.0	0.5	['B-2', 'D3', 'F3', 'B-3', 'B-4']
12.5	9	2.0	0.5	0.5	['B-2', 'D3', 'F3', 'B-3', 'B-4']
13.0	9	3.0	0.5	0.5	['A-2', 'E-3', 'A-3', 'C4', 'C5']
13.5	10	1.0	1.0	1.0	['E-2', 'G3', 'B-3', 'E-4', 'E-5']
14.5	10	3.0	0.5	0.5	['F2', 'F3', 'B-3', 'D4', 'D5']
15.0	11	1.0	1.0	0.5	['G2', 'E-3', 'A-3', 'C4', 'C5']
15.5	11	2.0	0.5	0.5	['G2', 'E-3', 'A-3', 'D4', 'D5']
16.0	11	3.0	0.5	0.5	['G2', 'E-3', 'A-3', 'B-3', 'B-4']
16.5	12	1.0	1.0	0.5	['A-2', 'E-3', 'A-3', 'C4', 'C5']
17.0	12	2.0	0.5	0.5	['B-2', 'E-3', 'A-3', 'C4', 'C5']
17.5	12	3.0	0.5	0.5	['G2', 'E-3', 'A-3', 'C4', 'C5']
18.0	13	1.0	1.0	0.5	['A-2', 'E-3', 'A-3', 'C4']
18.5	13	2.0	0.5	0.5	['A-2', 'D4']
19.0	13	3.0	0.5	0.5	['G2', 'B-3', 'B-4']
19.5	14	1.0	1.0	0.5	['F2', 'E-3', 'A-3', 'C4', 'C5']
