Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	4.0	0.25	0.75	['F#1', 'F#2']
0.75	1	4.75	0.0625	0.25	['F#1', 'F#2']
1.0	2	1.0	1.0	1.0	['B1', 'B2']
2.0	2	2.0	0.25	0.75	['D#3', 'B3']
2.75	2	2.75	0.0625	0.25	['F#3', 'C#4']
3.0	2	3.0	0.5	1.0	['B3', 'D#4']
4.0	2	4.0	0.25	0.75	['F#1', 'F#2']
4.75	2	4.75	0.0625	0.25	['F#1', 'F#2']
5.0	3	1.0	1.0	1.0	['B1', 'B2']
6.0	3	2.0	0.25	0.75	['D#3', 'B3']
6.75	3	2.75	0.0625	0.25	['F#3', 'C#4']
7.0	3	3.0	0.5	1.0	['B3', 'D#4']
8.0	3	4.0	0.25	0.75	['F#1', 'F#2', 'B3', 'D#4']
8.75	3	4.75	0.0625	0.25	['F#1', 'F#2', 'C#4', 'E4']
9.0	4	1.0	1.0	1.0	['B1', 'B2', 'D#4', 'F#4']
10.0	4	2.0	0.25	0.75	['F#1', 'F#2', 'D#4', 'B4']
10.75	4	2.75	0.0625	0.25	['F#1', 'F#2', 'F#4', 'C#5']
11.0	4	3.0	0.5	1.0	['B1', 'B2', 'B4', 'D#5']
12.0	4	4.0	0.25	0.75	['F#1', 'F#2', 'B3', 'D#4']
12.75	4	4.75	0.0625	0.25	['F#1', 'F#2', 'C#4', 'E4']
13.0	5	1.0	1.0	1.0	['B1', 'B2', 'D#4', 'F#4']
14.0	5	2.0	0.25	0.75	['F#1', 'F#2', 'D#4', 'B4']
14.75	5	2.75	0.0625	0.25	['F#1', 'F#2', 'F#4', 'C#5']
15.0	5	3.0	0.5	1.0	['B1', 'B2', 'B4', 'D#5']
16.0	5	4.0	0.25	0.75	['B2', 'D#3', 'B3', 'D#4']
16.75	5	4.75	0.0625	0.25	['B2', 'C#3', 'E3', 'B3', 'C#4', 'E4']
17.0	6	1.0	1.0	0.5	['B2', 'D#3', 'F#3', 'D#4', 'F#4']
17.5	6	1.5	0.125	0.5	['B2', 'D#3', 'F#3', 'B3', 'D#4']
18.0	6	2.0	0.25	0.75	['B1', 'B2', 'D#3', 'B3']
18.75	6	2.75	0.0625	0.25	['B1', 'B2', 'E3', 'G#3']
19.0	6	3.0	0.5	0.5	['B1', 'B2', 'E3', 'G#3']
19.5	6	3.5	0.125	0.5	['B1', 'B2', 'D#3', 'F#3']
20.0	6	4.0	0.25	0.75	['D#3', 'F#3', 'D#4', 'F#4']
20.75	6	4.75	0.0625	0.25	['D#3', 'E#3', 'G#3', 'D#4', 'E#4', 'G#4']
