Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
1.0	1	2.0	0.5	1.0	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
2.0	1	3.0	0.5	1.0	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
3.0	2	1.0	1.0	1.0	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
4.0	2	2.0	0.5	1.0	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
5.0	2	3.0	0.5	0.5	['E2', 'C3', 'G3', 'C4', 'G4']
5.5	2	3.5	0.25	0.5	['E2', 'C3', 'G3', 'C4', 'G4']
6.0	3	1.0	1.0	0.75	['F2', 'E3', 'G#3', 'C4', 'G4', 'G#4']
6.75	3	1.75	0.125	0.25	['F2', 'E3', 'G#3', 'C4', 'G#4']
7.0	3	2.0	0.5	0.5	['F2', 'F3', 'A3', 'C4', 'A4']
7.5	3	2.5	0.25	0.5	['F2', 'F3', 'A3', 'C4', 'F4', 'A4']
8.0	3	3.0	0.5	0.5	['G2', 'D3', 'B3', 'E4', 'G4']
8.5	3	3.5	0.25	0.5	['G2', 'D3', 'D4', 'F4']
9.0	4	1.0	1.0	1.0	['C2', 'B2', 'G3', 'D4', 'F4']
10.0	4	2.0	0.5	0.5	['C2', 'C3', 'G3', 'C4', 'E4']
10.5	4	2.5	0.25	0.5	['C2', 'C3', 'G3', 'E4', 'B-4']
11.0	4	3.0	0.5	0.5	['E2', 'C3', 'C4', 'G4', 'A4', 'B-4', 'C5']
11.5	4	3.5	0.25	0.5	['E2', 'C3', 'C4', 'G4', 'G#4', 'B-4', 'C5']
12.0	5	1.0	1.0	0.75	['F2', 'C3', 'C4', 'F4', 'A4', 'C5']
12.75	5	1.75	0.125	0.25	['F2', 'C3', 'C4', 'F4', 'A4', 'C5']
13.0	5	2.0	0.5	0.5	['A3', 'C4', 'F4', 'F5']
13.5	5	2.5	0.25	0.5	['A3', 'F4', 'A4', 'F5']
14.0	5	3.0	0.5	0.5	['G3', 'B3', 'E4', 'G4', 'E5']
14.5	5	3.5	0.25	0.25	['G3', 'B3', 'D4', 'G4', 'D5']
14.75	5	3.75	0.125	0.25	['G3', 'B3', 'D4', 'F4', 'D5']
15.0	6	1.0	1.0	0.5	['C3', 'C4', 'E4', 'C5']
15.5	6	1.5	0.25	0.5	['G2']
16.0	6	2.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
16.5	6	2.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
17.0	6	3.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
17.5	6	3.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
18.0	7	1.0	1.0	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
18.5	7	1.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'A3', 'C4', 'E4']
19.0	7	2.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'A3', 'C4', 'E4']
19.5	7	2.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
20.0	7	3.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
20.5	7	3.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4']
21.0	8	1.0	1.0	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'E5']
21.5	8	1.5	0.25	0.5	['C2', 'G2', 'A2', 'C3', 'E3', 'G3', 'C4', 'E4', 'E5']
22.0	8	2.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'E5']
22.5	8	2.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'E5']
23.0	8	3.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'C5']
23.5	8	3.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'C5']
24.0	9	1.0	1.0	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'G4']
24.5	9	1.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'A3', 'C4', 'E4', 'G4']
25.0	9	2.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'A3', 'C4', 'E4', 'G4']
25.5	9	2.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'G4']
26.0	9	3.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'C5']
26.5	9	3.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'C5']
27.0	10	1.0	1.0	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'E5']
27.5	10	1.5	0.25	0.5	['C2', 'G2', 'A2', 'C3', 'E3', 'G3', 'C4', 'E4', 'E5']
28.0	10	2.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'E5']
28.5	10	2.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'E5']
29.0	10	3.0	0.5	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'C5']
29.5	10	3.5	0.25	0.5	['C2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'C5']
30.0	11	1.0	1.0	0.5	['D2', 'G2', 'D3', 'G3', 'B3', 'F4', 'G4', 'C5']
30.5	11	1.5	0.25	0.5	['D2', 'G2', 'A2', 'D3', 'G3', 'B3', 'F4', 'G4', 'C5']
31.0	11	2.0	0.5	0.5	['D2', 'G2', 'D3', 'G3', 'B3', 'F4', 'G4', 'C5']
31.5	11	2.5	0.25	0.5	['D2', 'G2', 'D3', 'G3', 'B3', 'F4', 'G4', 'C5']
32.0	11	3.0	0.5	0.5	['D2', 'G2', 'D3', 'G3', 'B3', 'F4', 'G4', 'B4']
32.5	11	3.5	0.25	0.5	['D2', 'G2', 'D3', 'G3', 'B3', 'F4', 'G4', 'B4']
33.0	12	1.0	1.0	0.5	['G2', 'G3', 'B3', 'F4', 'G4', 'D5']
33.5	12	1.5	0.25	0.5	['G2', 'D3', 'G3', 'B3', 'F4', 'G4', 'D5']
34.0	12	2.0	0.5	0.5	['G2', 'D3', 'G3', 'B3', 'F4', 'G4', 'D5']
34.5	12	2.5	0.25	0.5	['G2', 'G3', 'B3', 'F4', 'G4', 'D5']
35.0	12	3.0	0.5	0.5	['G2', 'G3', 'B3', 'F4', 'G4', 'D5']
35.5	12	3.5	0.25	0.5	['G2', 'G3', 'A3', 'B3', 'F4', 'G4', 'C5']
36.0	13	1.0	1.0	0.5	['G2', 'A3', 'B3', 'D4', 'F4', 'G4', 'C5']
36.5	13	1.5	0.25	0.5	['G2', 'G3', 'B3', 'D4', 'F4', 'G4', 'C5']
37.0	13	2.0	0.5	0.5	['G2', 'G3', 'B3', 'D4', 'F4', 'G4', 'B4']
37.5	13	2.5	0.25	0.5	['G2', 'B3', 'D4', 'F4', 'G4', 'B4']
38.0	13	3.0	0.5	0.5	['G2', 'F3', 'G3', 'B3', 'A4']
38.5	13	3.5	0.25	0.5	['F3', 'G3', 'B3', 'A4']
39.0	14	1.0	1.0	0.5	['G2', 'F3', 'G3', 'B3', 'A4']
39.5	14	1.5	0.25	0.5	['G2', 'E3', 'F3', 'G3', 'B3', 'A4']
40.0	14	2.0	0.5	0.5	['G2', 'E3', 'G3', 'C4', 'G4']
40.5	14	2.5	0.25	0.5	['G2', 'E3', 'G3', 'C4', 'G4']
41.0	14	3.0	0.5	0.5	['G2', 'F3', 'G3', 'B3', 'D4', 'F4']
41.5	14	3.5	0.25	0.5	['G2', 'D3', 'F3', 'G3', 'B3', 'D4', 'F4']
42.0	15	1.0	1.0	0.5	['C3', 'D3', 'F3', 'G3', 'B3', 'D4', 'F4']
42.5	15	1.5	0.25	0.5	['G2', 'C3', 'F3', 'G3', 'B3', 'D4', 'F4']
43.0	15	2.0	0.5	0.5	['G2', 'C3', 'F3', 'G3', 'B3', 'D4', 'F4']
43.5	15	2.5	0.25	0.5	['C2', 'C3', 'F3', 'G3', 'B3', 'D4', 'F4']
44.0	15	3.0	0.5	0.5	['C2', 'C3', 'E3', 'G3', 'C4', 'E4']
44.5	15	3.5	0.25	0.5	['G2', 'C3', 'E3', 'G3', 'C4', 'E4']
45.0	16	1.0	1.0	0.5	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']
45.5	16	1.5	0.25	0.5	['C2', 'A2', 'G3', 'C4', 'E4', 'G4']
46.0	16	2.0	0.5	0.5	['G2', 'G3', 'C4', 'E4', 'G4']
46.5	16	2.5	0.25	0.5	['G2', 'C3', 'G3', 'C4', 'E4', 'G4']
47.0	16	3.0	0.5	0.5	['C3', 'E3', 'G3', 'C4', 'E4', 'G4', 'C5']
47.5	16	3.5	0.25	0.5	['E3', 'G3', 'C4', 'E4', 'G4', 'C5']
48.0	17	1.0	1.0	0.5	['E2', 'B3', 'D4', 'E4', 'G#4', 'B4']
48.5	17	1.5	0.25	0.5	['E2', 'B2', 'B3', 'D4', 'E4', 'G#4', 'B4']
49.0	17	2.0	0.5	0.5	['B2', 'B3', 'D4', 'E4', 'G#4', 'B4']
49.5	17	2.5	0.25	0.5	['B2', 'E3', 'B3', 'D4', 'E4', 'G#4', 'B4']
50.0	17	3.0	0.5	0.5	['E3', 'B3', 'D4', 'E4', 'G#4']
50.5	17	3.5	0.25	0.5	['E3', 'G#3', 'B3', 'D4', 'E4', 'G#4']
51.0	18	1.0	1.0	0.5	['G#2', 'D4', 'E4', 'B4', 'E5']
51.5	18	1.5	0.25	0.5	['G#2', 'B2', 'D4', 'E4', 'B4', 'E5']
52.0	18	2.0	0.5	0.5	['B2', 'E3', 'D4', 'E4', 'B4', 'E5']
52.5	18	2.5	0.25	0.5	['E3', 'D4', 'E4', 'B4', 'E5']
53.0	18	3.0	0.5	0.5	['E3', 'B3', 'D4', 'E4', 'B4']
53.5	18	3.5	0.25	0.5	['B3', 'D4', 'E4', 'B4']
