Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	3.0	0.5	0.5	['D4', 'B4', 'D5']
0.5	0	3.33	0.25	0.5	['C4', 'A4', 'F#5']
1.0	0	3.67	0.25	0.5	['B3', 'G4', 'G5']
1.5	1	1.0	1.0	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
2.0	1	1.33	0.25	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
2.5	1	1.67	0.25	0.5	['D3', 'C4', 'F#4', 'A4', 'E5']
3.0	1	2.0	0.5	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
3.5	1	2.33	0.25	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
4.0	1	2.67	0.25	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
4.5	1	3.0	0.5	0.5	['D3', 'B3', 'G4', 'D5']
5.0	1	3.33	0.25	0.5	['D3', 'C4', 'A4', 'F#5']
5.5	1	3.67	0.25	0.5	['D3', 'B3', 'G4', 'G5']
6.0	2	1.0	1.0	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
6.5	2	1.33	0.25	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
7.0	2	1.67	0.25	0.5	['D3', 'C4', 'F#4', 'A4', 'E5']
7.5	2	2.0	0.5	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
8.0	2	2.33	0.25	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
8.5	2	2.67	0.25	0.5	['D3', 'C4', 'F#4', 'A4', 'D5']
9.0	2	3.0	0.5	0.5	['D3', 'F#4', 'A4', 'C5', 'D5', 'A5']
9.5	2	3.33	0.25	0.5	['D3', 'D4', 'F#4', 'F#5']
10.0	2	3.67	0.25	0.5	['D3', 'E4', 'G4', 'G5']
10.5	3	1.0	1.0	0.5	['D3', 'F#4', 'A4', 'C5', 'D5', 'A5']
11.0	3	1.33	0.25	0.5	['D3', 'D4', 'F#4', 'F#5']
11.5	3	1.67	0.25	0.5	['D3', 'E4', 'G4', 'G5']
12.0	3	2.0	0.5	0.5	['D3', 'F#4', 'A4', 'C5', 'D5', 'A5']
12.5	3	2.33	0.25	0.5	['D3', 'F#4', 'A4', 'A5']
13.0	3	2.67	0.25	0.5	['D3', 'G4', 'B4', 'B5']
13.5	3	3.0	0.5	0.5	['D4', 'A4', 'C5', 'D5', 'C6']
14.0	3	3.33	0.25	0.5	['D4', 'G4', 'B4', 'B5']
14.5	3	3.67	0.25	0.5	['D4', 'F#4', 'A#4', 'A#5']
15.0	4	1.0	1.0	0.5	['D4', 'G4', 'B4', 'D5', 'B5']
15.5	4	1.33	0.25	0.5	['D4', 'G4', 'B4', 'D5', 'B5']
16.0	4	1.67	0.25	0.12	['D4', 'G4', 'B4', 'D5', 'B5']
16.12	4	1.75	0.0625	0.38	['D4', 'G4', 'B4', 'D5', 'G5']
16.5	4	2.0	0.5	0.5	['D4', 'G4', 'B4', 'D5']
17.0	4	2.33	0.25	0.5	['D4', 'G4', 'B4', 'D5']
17.5	4	2.67	0.25	0.5	['D4', 'G4', 'B4', 'D5']
18.0	4	3.0	0.5	0.5	['D3', 'B3', 'D4']
18.5	4	3.33	0.25	0.5	['F#3', 'B3', 'D4']
19.0	4	3.67	0.25	0.5	['G3', 'B3', 'D4']
19.5	5	1.0	1.0	0.5	['D3', 'F#3', 'A3', 'C4', 'D4']
20.0	5	1.33	0.25	0.5	['D3', 'F#3', 'A3', 'C4', 'D4']
20.5	5	1.67	0.25	0.5	['D3', 'F#3', 'B3', 'C4', 'D4']
21.0	5	2.0	0.5	0.5	['D3', 'F#3', 'A3', 'C4', 'D4']
21.5	5	2.33	0.25	0.5	['D3', 'F#3', 'A3', 'C4', 'D4']
22.0	5	2.67	0.25	0.5	['D3', 'F#3', 'A3', 'C4', 'D4']
22.5	5	3.0	0.5	0.5	['D3', 'A3', 'C4', 'D4']
23.0	5	3.33	0.25	0.5	['D3', 'F#3', 'A3', 'C4', 'D4']
23.5	5	3.67	0.25	0.5	['D3', 'G3', 'A3', 'C4', 'D4']
24.0	6	1.0	1.0	0.5	['D3', 'F#3', 'A3', 'C4', 'D4']
24.5	6	1.33	0.25	0.5	['D3', 'F#3', 'A3', 'C4', 'D4']
25.0	6	1.67	0.25	0.5	['D3', 'F#3', 'B3', 'C4', 'D4']
