Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.75	['F#2', 'C#3', 'G#3', 'B3', 'C#4', 'E#4', 'B4']
0.75	1	1.5	0.125	0.25	['F#2', 'C#3', 'G#3', 'B3', 'C#4', 'E#4', 'A#4']
1.0	1	1.67	0.25	0.5	['F#2', 'C#3', 'G#3', 'B3', 'C#4', 'E#4', 'G#4']
1.5	1	2.0	0.5	0.5	['F#2', 'C#3', 'G#3', 'B3', 'C#4', 'E#4', 'G#4']
2.0	1	2.33	0.25	0.5	['F#2', 'C#3', 'G#3', 'B3', 'C#4', 'E#4', 'A#4']
2.5	1	2.67	0.25	0.5	['F#2', 'C#3', 'G#3', 'B3', 'C#4', 'E#4', 'B4']
3.0	2	1.0	1.0	0.75	['F#2', 'C#3', 'A#3', 'C#4', 'F#4', 'C#5']
3.75	2	1.5	0.125	0.25	['C#3', 'A#3', 'C#4', 'F#4', 'C#5']
4.0	2	1.67	0.25	0.5	['C#3', 'A#3', 'C#4', 'F#4', 'C#5']
4.5	2	2.0	0.5	0.5	['C#3', 'A#3', 'F#4', 'C#5', 'F#5']
5.0	2	2.33	0.25	0.5	['C#3', 'A#3', 'F#4', 'C#5']
5.5	2	2.67	0.25	0.5	['C#3', 'A#3', 'F#4', 'C#5']
6.0	3	1.0	1.0	0.75	['C#3', 'A#3', 'C#4', 'A#4']
6.75	3	1.5	0.125	0.25	['C#3', 'A#3', 'C#4', 'G#4']
7.0	3	1.67	0.25	0.5	['C#3', 'A#3', 'C#4', 'F#4']
7.5	3	2.0	0.5	0.5	['C#3', 'G#3', 'B3', 'E#4']
8.0	3	2.33	0.25	0.5	['C#3', 'F#3', 'B3', 'D#4']
8.5	3	2.67	0.25	0.5	['C#3', 'G#3', 'B3', 'E#4']
9.0	4	1.0	1.0	0.75	['F#2', 'C#3', 'F#3', 'A#3', 'F#4']
9.75	4	1.5	0.125	0.25	['F#2', 'C#3', 'F#3', 'A#3', 'F#4']
10.0	4	1.67	0.25	0.5	['F#2', 'C#3', 'F#3', 'A#3', 'F#4']
10.5	4	2.0	0.5	0.5	['F#2', 'C#3', 'F#3', 'A#3', 'F#4']
11.0	4	2.33	0.25	0.5	['F#2', 'C#3', 'F#3', 'A#3', 'F#4']
11.5	4	2.67	0.25	0.5	['F#2', 'C#3', 'F#3', 'A#3', 'F#4', 'C#5']
12.0	5	1.0	1.0	0.75	['F#2', 'C#3', 'F#3', 'A#3', 'C#4', 'F#4', 'A#4', 'C#5']
12.75	5	1.5	0.125	0.25	['F#2', 'C#3', 'F#3', 'A#3', 'C#4', 'F#4', 'A#4']
13.0	5	1.67	0.25	0.5	['F#2', 'C#3', 'F#3', 'A#3', 'C#4', 'F#4', 'G#4', 'A#4']
13.5	5	2.0	0.5	0.5	['F#2', 'C#3', 'F#3', 'A#3', 'C#4', 'F#4', 'A#4']
14.0	5	2.33	0.25	0.5	['F#2', 'C#3', 'F#3', 'A#3', 'C#4', 'E#4', 'F#4', 'A#4']
14.5	5	2.67	0.25	0.5	['F#2', 'C#3', 'F#3', 'A#3', 'C#4', 'D#4', 'F#4', 'A#4']
15.0	6	1.0	1.0	0.5	['F#2', 'D#3', 'G#3', 'B3', 'C#4', 'D#4', 'G#4', 'B4']
15.5	6	1.33	0.25	0.25	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
15.75	6	1.5	0.125	0.25	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
16.0	6	1.67	0.25	0.5	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
16.5	6	2.0	0.5	0.5	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
17.0	6	2.33	0.25	0.5	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
17.5	6	2.67	0.25	0.5	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
18.0	7	1.0	1.0	0.75	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
18.75	7	1.5	0.125	0.25	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
19.0	7	1.67	0.25	0.5	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
19.5	7	2.0	0.5	0.5	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
20.0	7	2.33	0.25	0.5	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'A#4', 'B4']
20.5	7	2.67	0.25	0.5	['F#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4']
