Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['B1', 'F#2', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
1.0	1	1.33	0.25	1.0	['B1', 'F#2', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
2.0	1	1.67	0.25	1.0	['B1', 'F#2', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
3.0	1	2.0	0.5	1.0	['B1', 'F#2', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
4.0	1	2.33	0.25	1.0	['B1', 'F#2', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
5.0	1	2.67	0.25	1.0	['B1', 'F#2', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
6.0	2	1.0	1.0	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'G#4']
7.0	2	1.33	0.25	0.5	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'G#4']
7.5	2	1.5	0.125	0.5	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'F##4']
8.0	2	1.67	0.25	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'G#4']
9.0	2	2.0	0.5	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'B4']
10.0	2	2.33	0.25	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'G#4']
11.0	2	2.67	0.25	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'A#4']
12.0	3	1.0	1.0	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'B4']
13.0	3	1.33	0.25	0.5	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'B4']
13.5	3	1.5	0.125	0.5	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'A#4']
14.0	3	1.67	0.25	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'G#4']
15.0	3	2.0	0.5	1.0	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
16.0	3	2.33	0.25	1.0	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
17.0	3	2.67	0.25	1.0	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
18.0	4	1.0	1.0	1.0	['F#3', 'B3', 'C#4', 'E4']
19.0	4	1.33	0.25	0.5	['F#3', 'B3', 'C#4', 'E4']
19.5	4	1.5	0.125	0.5	['F#3', 'B3', 'C#4', 'D#4', 'E4']
20.0	4	1.67	0.25	1.0	['F#3', 'B3', 'C#4', 'E4']
21.0	4	2.0	0.5	1.0	['F#3', 'B3', 'C#4', 'E4', 'G#4']
22.0	4	2.33	0.25	1.0	['F#3', 'B3', 'C#4', 'E4', 'G#4']
23.0	4	2.67	0.25	1.0	['F#3', 'B3', 'C#4', 'E4', 'F#4']
24.0	5	1.0	1.0	1.0	['F#3', 'B3', 'C#4', 'E4']
25.0	5	1.33	0.25	1.0	['F#3', 'A#3', 'C#4', 'E4']
26.0	5	1.67	0.25	1.0	['F#3', 'G#3', 'C#4', 'E4']
27.0	5	2.0	0.5	1.0	['F#3', 'A#3', 'C#4', 'E4']
28.0	5	2.33	0.25	1.0	['B2', 'B3', 'D#4']
29.0	5	2.67	0.25	1.0	['B2', 'D#3', 'B3', 'F#4']
30.0	6	1.0	1.0	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'G#4']
31.0	6	1.33	0.25	0.5	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'G#4']
31.5	6	1.5	0.125	0.5	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'F##4']
32.0	6	1.67	0.25	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'G#4']
33.0	6	2.0	0.5	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'B4']
34.0	6	2.33	0.25	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'G#4']
35.0	6	2.67	0.25	1.0	['B1', 'B2', 'G#3', 'B3', 'C##4', 'E#4', 'A#4']
36.0	7	1.0	1.0	1.0	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4', 'B4']
37.0	7	1.33	0.25	1.0	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
38.0	7	1.67	0.25	1.0	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
39.0	7	2.0	0.5	1.0	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
40.0	7	2.33	0.25	1.0	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
41.0	7	2.67	0.25	0.5	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
41.5	7	2.83	0.125	0.5	['B1', 'B2', 'F#3', 'B3', 'D#4', 'F#4']
42.0	8	1.0	1.0	1.0	['C#2', 'C#3', 'F#3', 'A#3', 'C#4', 'F#4']
43.0	8	1.33	0.25	1.0	['C#3', 'A#3', 'C#4', 'F#4']
44.0	8	1.67	0.25	0.5	['C#3', 'A#3', 'C#4', 'F#4']
44.5	8	1.83	0.125	0.5	['C#3', 'A#3', 'C#4', 'F#4']
45.0	8	2.0	0.5	1.0	['C#3', 'A#3', 'C#4', 'F#4']
46.0	8	2.33	0.25	1.0	['C#3', 'A#3', 'C#4', 'F#4']
47.0	8	2.67	0.25	1.0	['C#3', 'A#3', 'C#4', 'F#4', 'A#4']
48.0	9	1.0	1.0	1.0	['C#3', 'A#3', 'B3', 'C#4', 'F#4', 'C#5']
49.0	9	1.33	0.25	1.0	['C#3', 'A#3', 'B3', 'C#4', 'F#4', 'C#5']
50.0	9	1.67	0.25	1.0	['C#3', 'A#3', 'B3', 'C#4', 'F#4', 'C#5']
51.0	9	2.0	0.5	1.0	['C#3', 'A#3', 'B3', 'C#4', 'E#4']
52.0	9	2.33	0.25	1.0	['C#3', 'A#3', 'B3', 'C#4', 'E#4']
53.0	9	2.67	0.25	0.5	['C#3', 'A#3', 'B3', 'C#4', 'E#4', 'C#5']
53.5	9	2.83	0.125	0.5	['C#3', 'A#3', 'B3', 'C#4', 'E#4', 'D#5']
54.0	10	1.0	1.0	1.0	['F#3', 'B3', 'C#4', 'E4', 'D#5']
55.0	10	1.33	0.25	1.0	['F#3', 'B3', 'C#4', 'E4', 'C#5']
56.0	10	1.67	0.25	1.0	['F#3', 'B3', 'C#4', 'E4', 'B4']
57.0	10	2.0	0.5	1.0	['F#2', 'F#3', 'A#3', 'C#4', 'E4', 'A#4']
58.0	10	2.33	0.25	1.0	['F#2', 'F#3', 'G#3', 'C#4', 'E4', 'G#4']
59.0	10	2.67	0.25	1.0	['F#2', 'F#3', 'A#3', 'C#4', 'E4', 'A#4']
60.0	11	1.0	1.0	1.0	['B2', 'F#3', 'B3', 'D#4', 'B4']
61.0	11	1.33	0.25	1.0	['B2', 'F#3', 'B3', 'D#4', 'B4']
62.0	11	1.67	0.25	1.0	['B2', 'F#3', 'B3', 'D#4', 'B4']
63.0	11	2.0	0.5	1.0	['B2', 'F#3', 'B3', 'D#4']
64.0	11	2.33	0.25	1.0	['B2', 'F#3', 'B3', 'D#4']
65.0	11	2.67	0.25	0.5	['B2', 'F#3', 'B3', 'D#4']
65.5	11	2.83	0.125	0.5	['B2', 'F#3', 'B3', 'B4']
66.0	12	1.0	1.0	1.0	['E2', 'E3', 'B3', 'B4']
67.0	12	1.33	0.25	1.0	['B2', 'E3', 'G#3', 'B3', 'E4', 'G#4', 'B4']
