Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['B-2', 'B-3', 'D4', 'F4']
1.0	1	2.0	0.5	0.75	['B-3', 'C4', 'E-4', 'F4', 'C5']
1.75	1	2.75	0.125	0.25	['A3', 'C4', 'E-4', 'F4', 'C5']
2.0	1	3.0	0.5	0.5	['G3', 'C4', 'E-4', 'F4', 'C5']
2.5	1	3.5	0.25	0.5	['A3', 'C4', 'E-4', 'F4', 'C5']
3.0	2	1.0	1.0	1.0	['B-3', 'D4', 'F4', 'B-4']
4.0	2	2.0	0.5	0.75	['B-2', 'C3', 'E-3', 'F3', 'C4']
4.75	2	2.75	0.125	0.25	['A2', 'C3', 'E-3', 'F3', 'C4']
5.0	2	3.0	0.5	0.5	['G2', 'C3', 'E-3', 'F3', 'C4']
5.5	2	3.5	0.25	0.5	['A2', 'C3', 'E-3', 'F3', 'C4']
6.0	3	1.0	1.0	1.0	['B-2', 'D3', 'F3', 'B-3']
7.0	3	2.0	0.5	2.0	['F2', 'E-3', 'F3', 'A3', 'E-4']
9.0	4	1.0	1.0	1.0	['B-1', 'D3', 'F3', 'B-3', 'D4']
10.0	4	2.0	0.5	1.0	['B-1', 'D3', 'F3', 'B-3', 'D4']
11.0	4	3.0	0.5	0.5	['B-1', 'D3', 'F3', 'B-3', 'D4']
11.5	4	3.5	0.25	0.5	['B-1', 'D3', 'F3', 'B-3', 'D4', 'F4']
12.0	5	1.0	1.0	0.75	['B-2', 'F3', 'B-3', 'D4', 'F4']
12.75	5	1.75	0.125	0.25	['B-2', 'F3', 'B-3', 'D4', 'F4']
13.0	5	2.0	0.5	0.5	['B-2', 'F3', 'B-3', 'D4', 'F4']
13.5	5	2.5	0.25	0.5	['B-2', 'F3', 'B-3', 'D4', 'F4']
14.0	5	3.0	0.5	0.5	['B-2', 'F3', 'B-3', 'D4', 'F4']
14.5	5	3.5	0.25	0.5	['B-2', 'F3', 'B-3', 'D4', 'F4', 'G4']
15.0	6	1.0	1.0	1.0	['B-2', 'F3', 'C4', 'E-4', 'F4']
16.0	6	2.0	0.5	1.0	['A2', 'F3', 'C4', 'E-4', 'F4']
17.0	6	3.0	0.5	1.0	['G2', 'F3', 'C4', 'E-4', 'F4']
18.0	7	1.0	1.0	0.5	['F2', 'C3', 'F3', 'A3', 'C4', 'E-4', 'F4']
18.5	7	1.5	0.25	0.5	['F2', 'C3', 'F3', 'A3', 'C4', 'E-4', 'F4']
19.0	7	2.0	0.5	0.5	['F2', 'C3', 'F3', 'A3', 'C4', 'E-4', 'F4', 'C5']
19.5	7	2.5	0.25	0.5	['F2', 'C3', 'F3', 'A3', 'C4', 'E-4', 'F4', 'A4']
20.0	7	3.0	0.5	0.5	['F2', 'C3', 'F3', 'A3', 'C4', 'E-4', 'F4']
20.5	7	3.5	0.25	0.5	['F2', 'C3', 'F3', 'A3', 'C4', 'E-4', 'F4']
21.0	8	1.0	1.0	1.0	['F2', 'D3', 'F3', 'A-3', 'B3', 'E-4', 'F4']
22.0	8	2.0	0.5	0.5	['F2', 'D3', 'F3', 'A-3', 'B3', 'D4', 'F4']
22.5	8	2.5	0.25	0.5	['F2', 'D3', 'F3', 'A-3', 'B3', 'C4', 'F4']
23.0	8	3.0	0.5	1.0	['F2', 'D3', 'F3', 'A-3', 'B3', 'F4']
24.0	9	1.0	1.0	0.5	['F2', 'F3', 'A-3', 'B3', 'D4', 'A-4']
24.5	9	1.5	0.25	0.5	['F2', 'F3', 'A-3', 'B3', 'D4', 'A-4']
25.0	9	2.0	0.5	0.5	['F2', 'F3', 'A-3', 'B3', 'D4', 'A-4']
25.5	9	2.5	0.25	0.5	['F2', 'F3', 'A-3', 'B3', 'C4', 'D4', 'A-4']
26.0	9	3.0	0.5	0.5	['F2', 'F3', 'A-3', 'B3', 'D4', 'A-4']
26.5	9	3.5	0.25	0.5	['F2', 'F3', 'A-3', 'B3', 'D4', 'A-4']
27.0	10	1.0	1.0	0.5	['F2', 'F3', 'G3', 'B3', 'D4', 'G4']
27.5	10	1.5	0.25	0.5	['F2', 'F3', 'G3', 'B3', 'D4', 'G4', 'A-4']
28.0	10	2.0	0.5	1.0	['F2', 'F3', 'G3', 'B3', 'D4', 'G4']
29.0	10	3.0	0.5	1.0	['F2', 'F3', 'G3', 'B3', 'D4', 'G4']
30.0	11	1.0	1.0	0.5	['E-2', 'E-3', 'G3', 'C4', 'G4']
30.5	11	1.5	0.25	0.5	['E-2', 'E-3', 'G3', 'C4', 'G4']
31.0	11	2.0	0.5	0.5	['E-2', 'E-3', 'G3', 'C4', 'G4']
31.5	11	2.5	0.25	0.5	['E-2', 'E-3', 'G3', 'C4', 'F4', 'G4']
32.0	11	3.0	0.5	0.5	['E-2', 'E-3', 'G3', 'C4', 'E-4', 'G4']
32.5	11	3.5	0.25	0.5	['E-2', 'E-3', 'G3', 'C4', 'G4']
33.0	12	1.0	1.0	0.75	['C3', 'A3', 'E-4', 'G4', 'A4']
33.75	12	1.75	0.125	0.25	['C3', 'A3', 'E-4', 'G4', 'B-4']
34.0	12	2.0	0.5	1.0	['C3', 'A3', 'D4', 'F#4', 'A4']
35.0	12	3.0	0.5	1.0	['F#2', 'A3', 'C4', 'D4', 'A4']
36.0	13	1.0	1.0	0.5	['G2', 'G3', 'B-3', 'D4']
36.5	13	1.5	0.25	0.5	['G2', 'G3', 'B-3', 'D4', 'B-4']
37.0	13	2.0	0.5	0.5	['G2', 'E-3', 'B-3', 'E-4', 'B-4']
37.5	13	2.5	0.25	0.5	['G2', 'E-3', 'B-3', 'E-4', 'B-4']
38.0	13	3.0	0.5	0.75	['G2', 'E-3', 'B-3', 'E-4', 'A4']
38.75	13	3.75	0.125	0.25	['G2', 'E-3', 'B-3', 'E-4', 'G4']
39.0	14	1.0	1.0	0.75	['C5']
39.75	14	1.75	0.125	0.25	['D5']
40.0	14	2.0	0.5	1.0	['A1', 'A2', 'F3', 'C4', 'E-4', 'F4', 'C5']
41.0	14	3.0	0.5	0.5	['A2', 'F3', 'C4', 'E-4', 'F4', 'C5']
41.5	14	3.5	0.25	0.5	['A2', 'F3', 'C4', 'E-4', 'F4', 'C5']
42.0	15	1.0	1.0	1.0	['F5']
43.0	15	2.0	0.5	1.0	['B-1', 'B-2', 'D4', 'F4', 'B-4', 'D5', 'F5']
44.0	15	3.0	0.5	1.0	['C2', 'C3', 'A3', 'E-4', 'F4', 'A4', 'F5']
45.0	16	1.0	1.0	0.5	['D2', 'D3', 'B-3', 'D4', 'F4', 'B-4', 'F5']
45.5	16	1.5	0.25	0.5	['D2', 'D3', 'B-3', 'D4', 'F4', 'B-4', 'D5']
46.0	16	2.0	0.5	1.0	['E2', 'E3', 'B-3', 'C4', 'G4', 'B-4', 'C5']
47.0	16	3.0	0.5	0.5	['G2', 'G3', 'B-3', 'C4', 'E4', 'B-4', 'C5']
47.5	16	3.5	0.25	0.5	['G2', 'G3', 'B-3', 'C4', 'E4', 'B-4']
48.0	17	1.0	1.0	1.0	['A4']
49.0	17	2.0	0.5	1.0	['F2', 'F3', 'A3', 'C4', 'E-4', 'A4', 'E-5']
50.0	17	3.0	0.5	0.5	['F3', 'C4', 'E-4', 'F4', 'A4', 'E-5']
50.5	17	3.5	0.25	0.5	['F3', 'C4', 'E-4', 'F4', 'A4', 'E-5']
51.0	18	1.0	1.0	3.0	['A2', 'F3', 'C4', 'E-4', 'F4', 'A4', 'E-5']
54.0	19	1.0	1.0	1.0	['B-2', 'F3', 'C4', 'E-4', 'F4']
55.0	19	2.0	0.5	1.0	['A2', 'F3', 'C4', 'E-4', 'F4']
56.0	19	3.0	0.5	1.0	['F2', 'F3', 'A3', 'C4', 'E-4', 'F4']
57.0	20	1.0	1.0	0.75	['B-2', 'F3', 'B-3', 'D4', 'F4']
57.75	20	1.75	0.125	0.25	['B-2', 'F3', 'D4']
58.0	20	2.0	0.5	0.5	['B-2', 'F3', 'B-3', 'D4']
58.5	20	2.5	0.25	0.5	['B-2', 'F3', 'D4']
59.0	20	3.0	0.5	0.5	['B-2', 'F3', 'D4', 'F4']
59.5	20	3.5	0.25	0.5	['B-2', 'F3', 'D4', 'G4']
60.0	21	1.0	1.0	1.0	['B-2', 'F3', 'C4', 'E-4', 'F4']
61.0	21	2.0	0.5	1.0	['A2', 'F3', 'C4', 'E-4', 'F4']
62.0	21	3.0	0.5	1.0	['F2', 'F3', 'C4', 'E-4', 'F4']
63.0	22	1.0	1.0	0.75	['B-2', 'B-3', 'D4', 'E-4', 'F4']
63.75	22	1.75	0.125	0.25	['B-2', 'D4', 'E-4']
64.0	22	2.0	0.5	0.5	['B-2', 'B-3', 'D4']
64.5	22	2.5	0.25	0.5	['B-2', 'D4']
65.0	22	3.0	0.5	0.5	['A2', 'D3', 'D4', 'F4']
65.5	22	3.5	0.25	0.5	['A2', 'D3', 'C4', 'D4', 'F#4']
66.0	23	1.0	1.0	1.0	['G2', 'D3', 'B-3', 'D4', 'G4']
67.0	23	2.0	0.5	1.0	['G2', 'D3', 'B-3', 'D4', 'G4']
68.0	23	3.0	0.5	1.0	['F#2', 'D3', 'A3', 'D4', 'A4']
