Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.25	['E-2', 'E-3', 'G3', 'B-3']
0.25	1	1.25	0.125	0.25	['A2', 'E-3', 'G3', 'B-3']
0.5	1	1.5	0.25	0.25	['B-2', 'E-3', 'G3', 'B-3']
0.75	1	1.75	0.125	0.25	['A2', 'E-3', 'G3', 'B-3']
1.0	1	2.0	0.5	0.25	['B-2', 'E-3', 'G3', 'B-3']
1.25	1	2.25	0.125	0.25	['A2', 'E-3', 'G3', 'B-3']
1.5	1	2.5	0.25	0.25	['B-2', 'E-3', 'G3', 'B-3']
1.75	1	2.75	0.125	0.25	['A2', 'E-3', 'G3', 'B-3']
2.0	2	1.0	1.0	0.25	['B-2', 'E-3', 'G3', 'B-3']
2.25	2	1.25	0.125	0.25	['A2', 'E-3', 'G3', 'B-3']
2.5	2	1.5	0.25	0.25	['B-2', 'E-3', 'G3', 'B-3']
2.75	2	1.75	0.125	0.25	['A2', 'E-3', 'G3', 'B-3']
3.0	2	2.0	0.5	0.25	['B-2', 'E-3', 'G3', 'B-3']
3.25	2	2.25	0.125	0.25	['A2', 'E-3', 'G3', 'B-3']
3.5	2	2.5	0.25	0.25	['B-2', 'E-3', 'G3', 'B-3', 'G4', 'B-4']
3.75	2	2.75	0.125	0.25	['A2', 'E-3', 'G3', 'B-3', 'G4', 'B-4']
4.0	3	1.0	1.0	0.25	['B-1', 'B-2', 'A-4', 'C5']
4.25	3	1.25	0.125	0.25	['B-1', 'A2', 'A-4', 'C5']
4.5	3	1.5	0.25	0.25	['B-1', 'B-2', 'A-4', 'C5']
4.75	3	1.75	0.125	0.25	['B-1', 'A2', 'A-4', 'C5']
5.0	3	2.0	0.5	0.25	['B-1', 'B-2', 'A-4', 'F5']
5.25	3	2.25	0.125	0.25	['B-1', 'A2', 'A-4', 'F5']
5.5	3	2.5	0.25	0.25	['B-1', 'B-2', 'G4', 'B-4']
5.75	3	2.75	0.125	0.25	['B-1', 'A2', 'G4', 'B-4']
6.0	4	1.0	1.0	0.25	['B-1', 'B-2', 'C4', 'E-4', 'A-4']
6.25	4	1.25	0.125	0.25	['B-1', 'A2', 'C4', 'E-4', 'A-4']
6.5	4	1.5	0.25	0.25	['B-1', 'B-2', 'C4', 'E-4', 'A-4']
6.75	4	1.75	0.125	0.25	['B-1', 'A2', 'C4', 'E-4', 'A-4']
7.0	4	2.0	0.5	0.25	['B-1', 'B-2', 'C4', 'E-4', 'E-5']
7.25	4	2.25	0.125	0.25	['B-1', 'A2', 'C4', 'E-4', 'E-5']
7.5	4	2.5	0.25	0.25	['B-1', 'B-2', 'B-3', 'E-4', 'G4']
7.75	4	2.75	0.125	0.25	['B-1', 'A2', 'B-3', 'E-4', 'G4']
8.0	5	1.0	1.0	0.25	['B-1', 'A-3', 'D4', 'F4']
8.25	5	1.25	0.125	0.25	['A2', 'A-3', 'D4', 'F4']
8.5	5	1.5	0.25	0.25	['B-2', 'A-3', 'D4', 'F4']
8.75	5	1.75	0.125	0.25	['A2', 'A-3', 'D4', 'F4']
9.0	5	2.0	0.5	0.25	['B-2', 'A-3', 'D4', 'F4', 'B-4']
9.25	5	2.25	0.125	0.25	['A2', 'A-3', 'D4', 'F4', 'B-4']
9.5	5	2.5	0.25	0.25	['B-2', 'G3', 'B-3', 'E-4']
