Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.33	['B1', 'B2', 'D#4']
0.33	1	1.33	0.0625	0.33	['B1', 'B2', 'F#4']
0.67	1	1.67	0.0625	0.33	['B1', 'B2', 'B4']
1.0	1	2.0	0.25	0.33	['B1', 'B2', 'G#4']
1.33	1	2.33	0.0625	0.33	['B1', 'B2', 'E4']
1.67	1	2.67	0.0625	0.33	['B1', 'B2', 'B3']
2.0	1	3.0	0.5	0.33	['B1', 'B2', 'A#3']
2.33	1	3.33	0.0625	0.33	['B1', 'B2', 'C#4']
2.67	1	3.67	0.0625	0.33	['B1', 'B2', 'F#4']
3.0	1	4.0	0.25	0.33	['B1', 'B2', 'D#4']
3.33	1	4.33	0.0625	0.33	['B1', 'B2', 'B3']
3.67	1	4.67	0.0625	0.33	['B1', 'B2', 'F#3']
4.0	2	1.0	1.0	0.33	['F#1', 'F#2', 'A#3']
4.33	2	1.33	0.0625	0.33	['F#1', 'F#2', 'C#4']
4.67	2	1.67	0.0625	0.33	['F#1', 'F#2', 'F#3']
5.0	2	2.0	0.25	0.33	['F#1', 'F#2', 'B3']
5.33	2	2.33	0.0625	0.33	['F#1', 'F#2', 'D#4']
5.67	2	2.67	0.0625	0.33	['F#1', 'F#2', 'F#3']
6.0	2	3.0	0.5	0.33	['F#1', 'F#2', 'C#4']
6.33	2	3.33	0.0625	0.33	['F#1', 'F#2', 'E4']
6.67	2	3.67	0.0625	0.33	['F#1', 'F#2', 'F#3']
7.0	2	4.0	0.25	0.33	['F#1', 'F#2', 'D#4']
7.33	2	4.33	0.0625	0.33	['F#1', 'F#2', 'F#4']
7.67	2	4.67	0.0625	0.33	['F#1', 'F#2', 'F#3']
8.0	3	1.0	1.0	0.33	['F#2', 'E4']
8.33	3	1.33	0.0625	0.33	['F#2', 'G#4']
8.67	3	1.67	0.0625	0.33	['F#2', 'F#3']
9.0	3	2.0	0.25	0.33	['F#2', 'E4']
9.33	3	2.33	0.0625	0.33	['F#2', 'G#4']
9.67	3	2.67	0.0625	0.33	['F#2', 'F#3']
10.0	3	3.0	0.5	0.33	['F#3', 'E4']
10.33	3	3.33	0.0625	0.33	['F#3', 'A#4']
10.67	3	3.67	0.0625	0.33	['F#3', 'A#3']
11.0	3	4.0	0.25	0.33	['F#3', 'E4']
11.33	3	4.33	0.0625	0.33	['F#3', 'A#4']
11.67	3	4.67	0.0625	0.33	['F#3', 'A#3']
12.0	4	1.0	1.0	0.33	['B2', 'D#4']
12.33	4	1.33	0.0625	0.33	['B2', 'F#4']
12.67	4	1.67	0.0625	0.33	['B2', 'B4']
13.0	4	2.0	0.25	0.33	['B2', 'D#4']
13.33	4	2.33	0.0625	0.33	['B2', 'B3']
13.67	4	2.67	0.0625	0.33	['B2', 'F#3']
14.0	4	3.0	0.5	0.33	['B1', 'D#3']
14.33	4	3.33	0.0625	0.33	['B1', 'F#3']
14.67	4	3.67	0.0625	0.33	['B1', 'A#3']
15.0	4	4.0	0.25	0.33	['B1', 'B3', 'F#4']
15.33	4	4.33	0.0625	0.33	['B1', 'D#4', 'F#4']
15.67	4	4.67	0.0625	0.33	['B1', 'F#4']
16.0	5	1.0	1.0	0.33	['B1', 'B2', 'D#4', 'B4']
16.33	5	1.33	0.0625	0.33	['B1', 'B2', 'F#4', 'B4']
16.67	5	1.67	0.0625	0.33	['B1', 'B2', 'B4']
17.0	5	2.0	0.25	0.33	['B1', 'B2', 'G#4']
17.33	5	2.33	0.0625	0.33	['B1', 'B2', 'E4', 'G#4']
17.67	5	2.67	0.0625	0.33	['B1', 'B2', 'B3', 'G#4']
18.0	5	3.0	0.5	0.33	['B1', 'B2', 'A#3', 'F#4']
18.33	5	3.33	0.0625	0.33	['B1', 'B2', 'C#4', 'F#4']
18.67	5	3.67	0.0625	0.33	['B1', 'B2', 'F#4']
19.0	5	4.0	0.25	0.33	['B1', 'B2', 'D#4']
19.33	5	4.33	0.0625	0.33	['B1', 'B2', 'B3', 'D#4']
19.67	5	4.67	0.0625	0.33	['B1', 'B2', 'F#3', 'D#4']
20.0	6	1.0	1.0	0.33	['F#2', 'A#3', 'C#4']
20.33	6	1.33	0.0625	0.33	['F#2', 'F#3', 'C#4']
20.67	6	1.67	0.0625	0.33	['F#2', 'C#4', 'F#4']
21.0	6	2.0	0.25	0.33	['F#2', 'G#2', 'B3', 'C#4']
21.33	6	2.33	0.0625	0.17	['F#2', 'G#2', 'F#3', 'C#4']
21.5	6	2.5	0.125	0.17	['F#2', 'G#2', 'F#3', 'D#4']
21.67	6	2.67	0.0625	0.33	['F#2', 'G#2', 'D#4', 'F#4']
22.0	6	3.0	0.5	0.33	['F#2', 'A#2', 'C#4', 'E4']
22.33	6	3.33	0.0625	0.33	['F#2', 'A#2', 'F#3', 'E4']
22.67	6	3.67	0.0625	0.33	['F#2', 'A#2', 'E4', 'F#4']
23.0	6	4.0	0.25	0.33	['F#2', 'C##4', 'E#4']
23.33	6	4.33	0.0625	0.33	['F#2', 'F#3', 'E#4']
23.67	6	4.67	0.0625	0.33	['F#2', 'E#4', 'F#4']
24.0	7	1.0	1.0	0.33	['F#2', 'B2', 'D#4', 'F#4']
24.33	7	1.33	0.0625	0.33	['F#2', 'B2', 'F#3', 'F#4']
24.67	7	1.67	0.0625	0.33	['F#2', 'B2', 'F#4']
25.0	7	2.0	0.25	0.33	['F#2', 'B#2', 'D#4', 'F#4']
25.33	7	2.33	0.0625	0.17	['F#2', 'B#2', 'F#3', 'F#4']
25.5	7	2.5	0.125	0.17	['F#2', 'B#2', 'F#3', 'F#4']
25.67	7	2.67	0.0625	0.33	['F#2', 'B#2', 'F#4']
26.0	7	3.0	0.5	0.33	['F#2', 'C#3', 'E4', 'A#4']
26.33	7	3.33	0.0625	0.33	['F#2', 'C#3', 'A#3', 'A#4']
26.67	7	3.67	0.0625	0.33	['F#2', 'C#3', 'A#4']
27.0	7	4.0	0.25	0.33	['F#2', 'B2', 'D#4', 'B4']
27.33	7	4.33	0.0625	0.33	['F#2', 'B2', 'B3', 'B4']
27.67	7	4.67	0.0625	0.33	['F#2', 'B2', 'B4']
28.0	8	1.0	1.0	0.33	['F#2', 'C#3', 'F#3', 'A#3', 'C#5']
