0.0	1	1	1.0	1.0	[]
1.0	1	2	0.25	1.0	['B-3']
2.0	1	3	0.5	1.0	['C4']
3.0	1	4	0.25	1.0	['D4']
4.0	2	1	1.0	2.0	['G2', 'C#3', 'B-3', 'D4']
6.0	2	3	0.5	2.0	['G2', 'C#3', 'B-3', 'E-4']
8.0	3	1	1.0	0.5	['G2', 'C#3', 'B-3', 'E-4']
8.5	3	1.5	0.125	0.5	['F#4']
9.0	3	2	0.25	0.5	['G4']
9.5	3	2.5	0.125	0.5	['A4']
10.0	3	3	0.5	2.0	['G2', 'D3', 'B-3', 'D4', 'A4']
12.0	4	1	1.0	2.0	['G2', 'D3', 'B-3', 'D4', 'A4']
14.0	4	3	0.5	2.0	['G2', 'D3', 'B-3', 'D4', 'B-4']
16.0	5	1	1.0	1.0	['G2', 'D3', 'B-3', 'D4', 'B-4']
17.0	5	2	0.25	1.0	['G4', 'B-4']
18.0	5	3	0.5	1.0	['A4', 'C5']
19.0	5	4	0.25	1.0	['B-4', 'D5']
20.0	6	1	1.0	0.5	['G1', 'G2', 'E-4', 'A-4', 'C5', 'E-5']
20.5	6	1.5	0.125	0.5	['E-3', 'E-4', 'A-4', 'C5', 'E-5']
21.0	6	2	0.25	0.5	['A-3', 'E-4', 'A-4', 'C5', 'E-5']
21.5	6	2.5	0.125	0.5	['C4', 'E-4', 'A-4', 'C5', 'E-5']
22.0	6	3	0.5	1.0	['E-4', 'A-4', 'C5', 'E-5']
23.0	6	4	0.25	1.0	['E-4', 'A-4', 'C5', 'D5']
24.0	7	1	1.0	0.5	['E-4', 'A-4', 'C5']
24.5	7	1.5	0.125	0.5	['E-3', 'E-4', 'A-4', 'C5']
25.0	7	2	0.25	0.5	['A-3', 'E-4', 'A-4', 'B4', 'C5']
25.5	7	2.5	0.125	0.5	['C4', 'E-4', 'A-4', 'B4', 'C5']
26.0	7	3	0.5	1.0	['E-4', 'F#4', 'C5']
27.0	7	4	0.25	1.0	['E-4', 'F#4', 'D5']
28.0	8	1	1.0	0.5	['G1', 'G2', 'D4', 'F4', 'A-4', 'C5']
28.5	8	1.5	0.125	0.5	['D3', 'D4', 'F4', 'A-4', 'C5']
29.0	8	2	0.25	0.5	['F3', 'D4', 'F4', 'A-4', 'B-4']
29.5	8	2.5	0.125	0.5	['A-3', 'D4', 'F4', 'A-4', 'B-4']
30.0	8	3	0.5	1.0	['D4', 'F4', 'A-4']
31.0	8	4	0.25	1.0	['D4', 'F4', 'A-4', 'B-4']
32.0	9	1	1.0	0.5	['G2', 'C4', 'E-4', 'B-4']
32.5	9	1.5	0.125	0.5	['G2', 'C4', 'E-4', 'A-4']
33.0	9	2	0.25	0.5	['G2', 'C4', 'E-4', 'G4']
33.5	9	2.5	0.125	0.5	['G2', 'C4', 'E-4', 'A-4']
34.0	9	3	0.5	0.5	['B3', 'E-4', 'A-4', 'D5']
34.5	9	3.5	0.125	0.5	['B3', 'E-4', 'C5']
35.0	9	4	0.25	0.5	['C3', 'C4', 'E-4', 'B-4']
35.5	9	4.5	0.125	0.5	['C3', 'C4', 'E-4', 'A-4']
36.0	10	1	1.0	0.5	['D2', 'A-3', 'B-3', 'G4']
36.5	10	1.5	0.125	0.5	['D3', 'A-3', 'B-3', 'G4']
37.0	10	2	0.25	0.5	['F3', 'A-3', 'B-3', 'F4']
37.5	10	2.5	0.125	0.5	['A-3', 'B-3', 'F4']
38.0	10	3	0.5	0.5	['B-3']
38.5	10	3.5	0.125	0.5	['B-3', 'C#4']
39.0	10	4	0.25	0.5	['E3', 'A-3', 'B-3', 'D4']
39.5	10	4.5	0.125	0.5	['E3', 'A-3', 'B-3', 'E4']
40.0	11	1	1.0	2.0	['F3', 'A-3', 'B-3', 'D4', 'E4']
42.0	11	3	0.5	2.0	['F3', 'A-3', 'B-3', 'D4', 'F4']
44.0	12	1	1.0	1.0	['F3', 'A-3', 'B-3', 'D4']
45.0	12	2	0.25	1.0	['F3', 'A-3', 'B-3', 'D4', 'E4']
46.0	12	3	0.5	1.0	['E-3', 'A-3', 'B-3', 'C4', 'F4']
47.0	12	4	0.25	1.0	['E-3', 'A-3', 'B-3', 'C4', 'G4']
48.0	13	1	1.0	2.0	['D-3', 'F3', 'C4', 'G4']
50.0	13	3	0.5	2.0	['D-3', 'F3', 'C4', 'A-4']
52.0	14	1	1.0	1.0	['D-3', 'F3']
53.0	14	2	0.25	1.0	['D-3', 'F3', 'G4']
54.0	14	3	0.5	1.0	['D-3', 'F3', 'A-4']
55.0	14	4	0.25	1.0	['D-3', 'F3', 'A4']
56.0	15	1	1.0	0.5	['C1', 'G3', 'E4', 'G4', 'A4']
