Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['D-4', 'F4', 'D-5', 'F5']
0.5	1	1.5	0.25	0.5	['D-4', 'F4', 'A-4', 'F5']
1.0	1	2.0	0.5	0.5	['A-3', 'E-4', 'C5', 'E-5']
1.5	1	2.5	0.25	0.5	['A-3', 'E-4', 'A-4', 'E-5']
2.0	1	3.0	0.5	0.5	['F3', 'D-4', 'D-5']
2.5	1	3.5	0.25	0.5	['F3', 'D-4', 'A-4', 'D-5']
3.0	2	1.0	1.0	0.5	['A-3', 'E-4', 'C5', 'E-5']
3.5	2	1.5	0.25	0.5	['A-3', 'E-4', 'A-4', 'E-5']
4.0	2	2.0	0.5	0.5	['C5', 'E-5']
4.5	2	2.5	0.25	0.5	['A-4', 'E-5']
5.0	2	3.0	0.5	0.5	['C5', 'E-5']
5.5	2	3.5	0.25	0.5	['A-4', 'E-5']
6.0	3	1.0	1.0	0.5	['E-4', 'G-4', 'C5', 'G-5']
6.5	3	1.5	0.25	0.5	['E-4', 'G-4', 'A-4', 'G-5']
7.0	3	2.0	0.5	0.5	['D-4', 'F4', 'D-5', 'F5']
7.5	3	2.5	0.25	0.5	['D-4', 'F4', 'A-4', 'F5']
8.0	3	3.0	0.5	0.5	['A-3', 'E-4', 'C5', 'E-5']
8.5	3	3.5	0.25	0.5	['A-3', 'E-4', 'A-4', 'E-5']
9.0	4	1.0	1.0	0.5	['D-4', 'F4', 'D-5', 'F5']
9.5	4	1.5	0.25	0.5	['D-4', 'F4', 'A-4', 'F5']
10.0	4	2.0	0.5	0.5	['D-5', 'F5']
10.5	4	2.5	0.25	0.5	['A-4', 'F5']
11.0	4	3.0	0.5	0.5	['D-5', 'F5']
11.5	4	3.5	0.25	0.5	['A-4', 'F5']
12.0	5	1.0	1.0	0.5	['F2', 'F3', 'A-4', 'A-5']
12.5	5	1.5	0.25	0.5	['F2', 'F3', 'D-5', 'A-5']
13.0	5	2.0	0.5	0.5	['F3', 'A-3', 'D-4', 'A-4', 'G-5']
13.5	5	2.5	0.25	0.5	['F3', 'A-3', 'D-4', 'D-5', 'G-5']
14.0	5	3.0	0.5	0.5	['F3', 'A-3', 'D-4', 'F5']
14.5	5	3.5	0.25	0.5	['F3', 'A-3', 'D-4', 'D-5', 'F5']
15.0	6	1.0	1.0	0.5	['G-2', 'G-3', 'B-4', 'B-5']
15.5	6	1.5	0.25	0.5	['G-2', 'G-3', 'D-5', 'B-5']
16.0	6	2.0	0.5	0.5	['G-3', 'B-3', 'D-4', 'B-4', 'A-5']
16.5	6	2.5	0.25	0.5	['G-3', 'B-3', 'D-4', 'D-5', 'A-5']
17.0	6	3.0	0.5	0.5	['G-3', 'B-3', 'D-4', 'B-4', 'G-5']
17.5	6	3.5	0.25	0.5	['G-3', 'B-3', 'D-4', 'D-5', 'G-5']
18.0	7	1.0	1.0	0.5	['A-2', 'A-3', 'A-4', 'F5']
18.5	7	1.5	0.25	0.5	['A-2', 'A-3', 'D-5', 'F5']
19.0	7	2.0	0.5	0.5	['D-4', 'F4', 'A-4', 'F5']
19.5	7	2.5	0.25	0.5	['D-4', 'F4', 'D-5', 'F5']
20.0	7	3.0	0.5	0.75	['A-2', 'G-4', 'F5']
20.75	7	3.75	0.125	0.25	['A-2', 'G-4', 'E-5']
21.0	8	1.0	1.0	0.5	['D-2', 'D-3', 'F4', 'D-5']
21.5	8	1.5	0.25	0.5	['D-2', 'A-2', 'F4', 'D-5']
22.0	8	2.0	0.5	0.5	['D-2', 'D-3']
22.5	8	2.5	0.25	0.5	['D-2', 'A-2']
23.0	8	3.0	0.5	0.5	['D-2', 'D-3']
23.5	8	3.5	0.25	0.5	['D-2', 'A-2']
24.0	9	1.0	1.0	0.5	['D-2', 'D-3', 'C4', 'E-4']
24.5	9	1.5	0.25	0.5	['D-2', 'A-2', 'C4', 'E-4']
25.0	9	2.0	0.5	0.5	['D-2', 'D-3', 'D-4', 'F4']
25.5	9	2.5	0.25	0.5	['D-2', 'A-2', 'D-4', 'F4']
26.0	9	3.0	0.5	0.5	['D-2', 'D-3', 'E-4', 'G-4']
26.5	9	3.5	0.25	0.5	['D-2', 'A-2', 'E-4', 'G-4']
27.0	10	1.0	1.0	0.5	['D-2', 'D-3', 'D-4', 'F4']
27.5	10	1.5	0.25	0.5	['D-2', 'A-2', 'D-4', 'F4']
28.0	10	2.0	0.5	0.5	['D-2', 'D-3']
28.5	10	2.5	0.25	0.5	['D-2', 'A-2']
29.0	10	3.0	0.5	0.5	['D-2', 'D-3']
29.5	10	3.5	0.25	0.5	['D-2', 'A-2']
30.0	11	1.0	1.0	0.5	['D-2', 'D-3', 'E-3', 'C4']
30.5	11	1.5	0.25	0.5	['D-2', 'A-2', 'E-3', 'C4']
31.0	11	2.0	0.5	0.5	['D-2', 'D-3', 'F3', 'D-4']
31.5	11	2.5	0.25	0.5	['D-2', 'A-2', 'F3', 'D-4']
32.0	11	3.0	0.5	0.5	['D-2', 'D-3', 'G-3', 'E-4']
32.5	11	3.5	0.25	0.5	['D-2', 'A-2', 'G-3', 'E-4']
33.0	12	1.0	1.0	0.5	['D-2', 'D-3', 'F3', 'D-4']
33.5	12	1.5	0.25	0.5	['D-2', 'A-2', 'F3', 'D-4']
34.0	12	2.0	0.5	0.5	['D-2', 'D-3']
34.5	12	2.5	0.25	0.5	['D-2', 'A-2']
35.0	12	3.0	0.5	0.5	['D-2', 'D-3']
35.5	12	3.5	0.25	0.5	['D-2', 'A-2']
36.0	13	1.0	1.0	1.0	['D-2', 'D-3']
37.0	13	2.0	0.5	1.0	
38.0	13	3.0	0.5	0.75	['B-4']
38.75	13	3.75	0.125	0.25	['A-4']
39.0	14	1.0	1.0	0.33	['D-3', 'F4', 'F5']
39.33	14	1.33	0.0625	0.33	['D-3', 'A-3', 'F4', 'A-4', 'F5']
39.67	14	1.67	0.0625	0.33	['D-3', 'D-4', 'F4', 'F5']
40.0	14	2.0	0.5	0.33	['D-3', 'F4', 'F5']
40.33	14	2.33	0.0625	0.17	['D-3', 'A-3', 'F4', 'A-4', 'F5']
40.5	14	2.5	0.25	0.17	['D-3', 'A-3', 'A-4', 'D-5', 'F5']
40.67	14	2.67	0.0625	0.33	['D-3', 'D-4', 'F4', 'D-5', 'F5']
41.0	14	3.0	0.5	0.33	['D-3', 'D-5', 'E-5']
41.33	14	3.33	0.0625	0.17	['D-3', 'A-3', 'A-4', 'D-5', 'E-5']
41.5	14	3.5	0.25	0.17	['D-3', 'A-3', 'A-4', 'D-5']
41.67	14	3.67	0.0625	0.33	['D-3', 'D-4', 'F4', 'D-5']
42.0	15	1.0	1.0	0.33	['A-2', 'D-5']
42.33	15	1.33	0.0625	0.33	['A-2', 'A-3', 'G-4', 'D-5']
42.67	15	1.67	0.0625	0.33	['A-2', 'C4', 'E-4', 'D-5']
43.0	15	2.0	0.5	0.33	['A-2', 'C5']
43.33	15	2.33	0.0625	0.33	['A-2', 'A-3', 'G-4', 'C5']
43.67	15	2.67	0.0625	0.33	['A-2', 'C4', 'E-4', 'C5']
44.0	15	3.0	0.5	0.33	['A-2', 'B-4', 'C5']
44.33	15	3.33	0.0625	0.17	['A-2', 'A-3', 'G-4', 'B-4', 'C5']
44.5	15	3.5	0.25	0.17	['A-2', 'A-3', 'G-4', 'A-4', 'C5']
44.67	15	3.67	0.0625	0.33	['A-2', 'C4', 'E-4', 'A-4', 'C5']
45.0	16	1.0	1.0	0.33	['A-2', 'G-4', 'E-5']
45.33	16	1.33	0.0625	0.33	['A-2', 'A-3', 'G-4', 'A-4', 'E-5']
45.67	16	1.67	0.0625	0.08	['A-2', 'C4', 'G-4', 'E-5']
45.75	16	1.75	0.125	0.25	['A-2', 'C4', 'G-4', 'E-5']
46.0	16	2.0	0.5	0.33	['A-2', 'B-4', 'G-5']
46.33	16	2.33	0.0625	0.33	['A-2', 'A-3', 'A-4', 'B-4', 'G-5']
46.67	16	2.67	0.0625	0.33	['A-2', 'C4', 'G-4', 'B-4', 'G-5']
47.0	16	3.0	0.5	0.33	['A-2', 'A-4', 'F5']
47.33	16	3.33	0.0625	0.33	['A-2', 'A-3', 'A-4', 'F5']
47.67	16	3.67	0.0625	0.33	['A-2', 'C4', 'G-4', 'A-4', 'F5']
48.0	17	1.0	1.0	0.33	['F3', 'F4', 'D-5']
48.33	17	1.33	0.0625	0.33	['F3', 'A-3', 'F4', 'A-4', 'D-5']
48.67	17	1.67	0.0625	0.33	['F3', 'D-4', 'F4', 'D-5']
49.0	17	2.0	0.5	0.33	['F3', 'D-5']
49.33	17	2.33	0.0625	0.33	['F3', 'A-3', 'A-4', 'D-5']
49.67	17	2.67	0.0625	0.33	['F3', 'D-4', 'F4', 'D-5']
50.0	17	3.0	0.5	0.33	['F3', 'B-4', 'D-5']
50.33	17	3.33	0.0625	0.33	['F3', 'A-3', 'A-4', 'B-4', 'D-5']
50.67	17	3.67	0.0625	0.08	['F3', 'D-4', 'F4', 'B-4', 'D-5']
50.75	17	3.75	0.125	0.25	['F3', 'D-4', 'F4', 'A-4', 'D-5']
51.0	18	1.0	1.0	0.33	['F2', 'F4', 'A-5']
51.33	18	1.33	0.0625	0.33	['F2', 'A-3', 'F4', 'A-4', 'A-5']
51.67	18	1.67	0.0625	0.33	['F2', 'D-4', 'F4', 'A-5']
52.0	18	2.0	0.5	0.33	['F2', 'F4', 'A-5']
52.33	18	2.33	0.0625	0.17	['F2', 'A-3', 'F4', 'A-4', 'A-5']
52.5	18	2.5	0.25	0.17	['F2', 'A-3', 'A-4', 'A-5']
52.67	18	2.67	0.0625	0.33	['F2', 'D-4', 'F4', 'A-4', 'A-5']
53.0	18	3.0	0.5	0.33	['F2', 'E-5', 'A-5']
53.33	18	3.33	0.0625	0.17	['F2', 'A-3', 'A-4', 'E-5', 'A-5']
53.5	18	3.5	0.25	0.17	['F2', 'A-3', 'A-4', 'D-5', 'A-5']
53.67	18	3.67	0.0625	0.33	['F2', 'D-4', 'F4', 'D-5', 'A-5']
54.0	19	1.0	1.0	0.33	['G-2', 'C5', 'B-5']
54.33	19	1.33	0.0625	0.33	['G-2', 'B-3', 'C5', 'D-5', 'B-5']
54.67	19	1.67	0.0625	0.33	['G-2', 'D-4', 'B-4', 'C5', 'B-5']
55.0	19	2.0	0.5	0.33	['G-2', 'B-4', 'B-5']
55.33	19	2.33	0.0625	0.33	['G-2', 'B-3', 'B-4', 'D-5', 'B-5']
55.67	19	2.67	0.0625	0.33	['G-2', 'D-4', 'B-4', 'B-5']
56.0	19	3.0	0.5	0.33	['G-2', 'D-5', 'G-5']
56.33	19	3.33	0.0625	0.33	['G-2', 'B-3', 'C5', 'D-5', 'G-5']
56.67	19	3.67	0.0625	0.33	['G-2', 'D-4', 'B-4', 'G-5']
57.0	20	1.0	1.0	0.33	['A-2', 'A-4', 'F5']
57.33	20	1.33	0.0625	0.33	['A-2', 'D-4', 'A-4', 'D-5', 'F5']
57.67	20	1.67	0.0625	0.33	['A-2', 'F4', 'A-4', 'F5']
58.0	20	2.0	0.5	0.33	['A-2', 'F5', 'A-5']
58.33	20	2.33	0.0625	0.17	['A-2', 'D-4', 'D-5', 'F5', 'A-5']
58.5	20	2.5	0.25	0.17	['A-2', 'D-4', 'D-5', 'A-5']
58.67	20	2.67	0.0625	0.33	['A-2', 'F4', 'A-4', 'D-5', 'A-5']
59.0	20	3.0	0.5	0.33	['A-2', 'C5', 'E-5']
59.33	20	3.33	0.0625	0.17	['A-2', 'C4', 'A-4', 'C5', 'E-5']
59.5	20	3.5	0.25	0.17	['A-2', 'C4', 'A-4', 'E-5']
59.67	20	3.67	0.0625	0.33	['A-2', 'E-4', 'G-4', 'E-5']
60.0	21	1.0	1.0	0.33	['D-3', 'D-5']
60.33	21	1.33	0.0625	0.33	['D-3', 'A-3', 'A-4', 'D-5']
60.67	21	1.67	0.0625	0.33	['D-3', 'D-4', 'F4', 'D-5']
61.0	21	2.0	0.5	0.33	['D-3', 'D-5']
61.33	21	2.33	0.0625	0.33	['D-3', 'A-3', 'A-4', 'D-5']
61.67	21	2.67	0.0625	0.33	['D-3', 'D-4', 'F4', 'D-5']
62.0	21	3.0	0.5	0.33	['D-3', 'D-5']
62.33	21	3.33	0.0625	0.33	['D-3', 'A-3', 'A-4', 'D-5']
62.67	21	3.67	0.0625	0.08	['D-3', 'D-4', 'F4', 'D-5']
62.75	21	3.75	0.125	0.25	['D-3', 'D-4', 'F4', 'C-5', 'D-5']
63.0	22	1.0	1.0	0.33	['B--2', 'B--4', 'D-5']
63.33	22	1.33	0.0625	0.33	['F-3', 'F-4', 'B--4', 'D-5']
63.67	22	1.67	0.0625	0.33	['B--3', 'D-4', 'B--4', 'D-5']
64.0	22	2.0	0.5	0.33	['B--2', 'B--4', 'D-5']
64.33	22	2.33	0.0625	0.17	['F-3', 'F-4', 'B--4', 'D-5']
64.5	22	2.5	0.25	0.17	['F-3', 'F-4', 'B--4', 'D-5']
64.67	22	2.67	0.0625	0.33	['B--3', 'D-4', 'B--4', 'D-5']
65.0	22	3.0	0.5	0.33	['B--2', 'C-5', 'D-5']
65.33	22	3.33	0.0625	0.17	['F-3', 'F-4', 'C-5', 'D-5']
65.5	22	3.5	0.25	0.17	['F-3', 'F-4', 'B--4', 'D-5']
65.67	22	3.67	0.0625	0.33	['B--3', 'D-4', 'B--4', 'D-5']
66.0	23	1.0	1.0	0.33	['E--2', 'A-4', 'C-5']
66.33	23	1.33	0.0625	0.33	['E--2', 'G-3', 'G-4', 'A-4', 'C-5']
66.67	23	1.67	0.0625	0.33	['E--2', 'C-4', 'E--4', 'A-4', 'C-5']
67.0	23	2.0	0.5	0.33	['E--2', 'G-4', 'E--5']
67.33	23	2.33	0.0625	0.33	['E--2', 'G-3', 'G-4', 'E--5']
67.67	23	2.67	0.0625	0.33	['E--2', 'C-4', 'E--4', 'G-4', 'E--5']
68.0	23	3.0	0.5	0.33	['E--2', 'C-5', 'D-5']
68.33	23	3.33	0.0625	0.33	['E--2', 'G-3', 'G-4', 'C-5', 'D-5']
68.67	23	3.67	0.0625	0.08	['E--2', 'C-4', 'E--4', 'C-5', 'D-5']
68.75	23	3.75	0.125	0.25	['E--2', 'C-4', 'E--4', 'C-5']
69.0	24	1.0	1.0	0.33	['F-2', 'B--4']
69.33	24	1.33	0.0625	0.33	['F-2', 'F-3', 'F-4', 'B--4']
69.67	24	1.67	0.0625	0.33	['F-2', 'B--3', 'D-4', 'B--4']
70.0	24	2.0	0.5	0.33	['F-2', 'F-4', 'D-5']
70.33	24	2.33	0.0625	0.33	['F-2', 'F-3', 'F-4', 'D-5']
70.67	24	2.67	0.0625	0.33	['F-2', 'B--3', 'D-4', 'F-4', 'D-5']
71.0	24	3.0	0.5	0.33	['F-2', 'C-5', 'D-5']
71.33	24	3.33	0.0625	0.33	['F-2', 'F-3', 'F-4', 'C-5', 'D-5']
71.67	24	3.67	0.0625	0.08	['F-2', 'A-3', 'E--4', 'C-5', 'D-5']
71.75	24	3.75	0.125	0.25	['F-2', 'A-3', 'E--4', 'C-5']
72.0	25	1.0	1.0	0.33	['B--2', 'B--4']
72.33	25	1.33	0.0625	0.33	['B--2', 'F-3', 'F-4', 'B--4']
72.67	25	1.67	0.0625	0.33	['B--2', 'B--3', 'D-4', 'B--4']
73.0	25	2.0	0.5	0.33	['B--2', 'D-5']
73.33	25	2.33	0.0625	0.33	['B--2', 'F-3', 'F-4', 'D-5']
73.67	25	2.67	0.0625	0.33	['B--2', 'B--3', 'D-4', 'D-5']
74.0	25	3.0	0.5	0.33	['B--2', 'D-5']
74.33	25	3.33	0.0625	0.33	['B--2', 'F-3', 'A--4', 'D-5']
74.67	25	3.67	0.0625	0.33	['B--2', 'B--3', 'F-4', 'D-5']
75.0	26	1.0	1.0	0.33	['A-2', 'D-5']
75.33	26	1.33	0.0625	0.33	['A-2', 'A-3', 'A-4', 'D-5']
75.67	26	1.67	0.0625	0.33	['A-2', 'D-4', 'F4', 'D-5']
76.0	26	2.0	0.5	0.33	['A-2', 'F5']
76.33	26	2.33	0.0625	0.33	['A-2', 'A-3', 'A-4', 'F5']
76.67	26	2.67	0.0625	0.33	['A-2', 'D-4', 'F4', 'F5']
77.0	26	3.0	0.5	0.33	['A-2', 'D-5', 'E-5']
77.33	26	3.33	0.0625	0.33	['A-2', 'A-3', 'A-4', 'D-5', 'E-5']
