Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['F2', 'A4', 'C5']
0.5	1	1.5	0.125	0.5	['F3', 'A4', 'C5']
1.0	1	2.0	0.25	0.5	['F2', 'A4', 'C5']
1.5	1	2.5	0.125	0.5	['F3', 'G4', 'B-4']
2.0	1	3.0	0.5	0.5	['F2', 'G4', 'B-4']
2.5	1	3.5	0.125	0.5	['F3', 'F4', 'A4']
3.0	1	4.0	0.25	0.5	['F2', 'F4', 'A4']
3.5	1	4.5	0.125	0.5	['F3', 'A4', 'C5']
4.0	2	1.0	1.0	0.5	['C2', 'A4', 'C5']
4.5	2	1.5	0.125	0.5	['C3', 'G4', 'B-4']
5.0	2	2.0	0.25	0.5	['C2', 'G4', 'B-4']
5.5	2	2.5	0.125	0.5	['C3', 'F4', 'A4']
6.0	2	3.0	0.5	0.5	['C2', 'E4', 'G4']
6.5	2	3.5	0.125	0.5	['C3', 'E4', 'G4']
7.0	2	4.0	0.25	0.5	['C2', 'E4', 'G4']
7.5	2	4.5	0.125	0.5	['C3', 'E4', 'G4']
8.0	3	1.0	1.0	0.5	['F2', 'A4']
8.5	3	1.5	0.125	0.5	['F3', 'A4']
9.0	3	2.0	0.25	0.5	['F2', 'A4']
9.5	3	2.5	0.125	0.5	['F3', 'G4']
10.0	3	3.0	0.5	0.5	['D2', 'G4']
10.5	3	3.5	0.125	0.5	['D3', 'F4']
11.0	3	4.0	0.25	0.5	['D2', 'E4']
11.5	3	4.5	0.125	0.5	['D3', 'F4']
12.0	4	1.0	1.0	0.5	['C2', 'G4', 'B-4']
12.5	4	1.5	0.125	0.5	['C3', 'G4', 'B-4']
13.0	4	2.0	0.25	0.5	['C2', 'G4', 'B-4']
13.5	4	2.5	0.125	0.5	['C3', 'F4', 'A4']
14.0	4	3.0	0.5	0.5	['C2', 'F4', 'A4']
14.5	4	3.5	0.125	0.5	['C3', 'F4', 'A4']
15.0	4	4.0	0.25	0.5	['C2', 'E4', 'G4']
15.5	4	4.5	0.125	0.5	['C3', 'E4', 'G4']
16.0	5	1.0	1.0	0.5	['F2', 'F3', 'A3', 'F4']
16.5	5	1.5	0.125	0.5	['F2', 'F3', 'C4', 'F4']
17.0	5	2.0	0.25	0.5	['A3', 'F4']
17.5	5	2.5	0.125	0.5	['C4', 'F4']
18.0	5	3.0	0.5	0.5	['C2', 'C3', 'B-3', 'E4', 'A4']
18.5	5	3.5	0.125	0.5	['C2', 'C3', 'C4', 'G4']
19.0	5	4.0	0.25	0.5	['B-3', 'E4', 'F#4']
19.5	5	4.5	0.125	0.5	['C4', 'G4']
20.0	6	1.0	1.0	0.5	['C2', 'C3', 'B-3', 'E4', 'C5']
20.5	6	1.5	0.125	0.5	['C2', 'C3', 'C4', 'C5']
21.0	6	2.0	0.25	0.5	['B-3', 'E4', 'C5']
21.5	6	2.5	0.125	0.5	['C4', 'B-4']
22.0	6	3.0	0.5	0.5	['F2', 'F3', 'A3', 'F4', 'A4']
22.5	6	3.5	0.125	0.5	['F2', 'F3', 'C4', 'A4']
23.0	6	4.0	0.25	0.5	['A3', 'F4', 'G4']
23.5	6	4.5	0.125	0.5	['C4', 'F4']
24.0	7	1.0	1.0	0.5	['F2', 'F3', 'A3', 'F4']
24.5	7	1.5	0.125	0.5	['F2', 'F3', 'C4', 'F4']
25.0	7	2.0	0.25	0.5	['A3', 'F4']
25.5	7	2.5	0.125	0.5	['C4', 'F4']
26.0	7	3.0	0.5	0.5	['C2', 'C3', 'B-3', 'E4', 'A4']
26.5	7	3.5	0.125	0.5	['C2', 'C3', 'C4', 'G4']
27.0	7	4.0	0.25	0.5	['B-3', 'E4', 'F#4']
27.5	7	4.5	0.125	0.5	['C4', 'G4']
28.0	8	1.0	1.0	0.5	['C2', 'C3', 'B-3', 'E4', 'C5']
28.5	8	1.5	0.125	0.5	['C2', 'C3', 'C4', 'C5']
29.0	8	2.0	0.25	0.5	['B-3', 'E4', 'C5']
29.5	8	2.5	0.125	0.5	['C4', 'B-4']
30.0	8	3.0	0.5	0.5	['F2', 'F3', 'A3', 'F4', 'A4']
30.5	8	3.5	0.125	0.5	['F2', 'F3', 'C4', 'A4']
31.0	8	4.0	0.25	0.5	['A3', 'G4']
31.5	8	4.5	0.125	0.5	['C4', 'F4']
32.0	9	1.0	1.0	1.0	['D4', 'F4', 'D5', 'F5']
33.0	9	2.0	0.25	0.5	['D4', 'F4', 'D5', 'F5']
33.5	9	2.5	0.125	0.5	['C4', 'E4', 'C5', 'E5']
34.0	9	3.0	0.5	0.5	['C4', 'E4', 'C5', 'E5']
34.5	9	3.5	0.125	0.5	['B-3', 'D4', 'B-4', 'D5']
35.0	9	4.0	0.25	0.5	['B-3', 'D4', 'B-4', 'D5']
35.5	9	4.5	0.125	0.5	['A3', 'C4', 'A4', 'C5']
36.0	10	1.0	1.0	0.5	['A3', 'C4', 'A4', 'C5']
36.5	10	1.5	0.125	0.5	['G3', 'B-3', 'G4', 'B-4']
37.0	10	2.0	0.25	0.5	['G3', 'B-3', 'G4', 'B-4']
37.5	10	2.5	0.125	0.5	['F#3', 'A3', 'F#4', 'A4']
38.0	10	3.0	0.5	2.0	['G3', 'B-3', 'G4', 'B-4']
40.0	11	1.0	1.0	1.5	['B-2', 'B-4', 'D5']
41.5	11	2.5	0.125	0.5	['B-2', 'B-4', 'D5']
42.0	11	3.0	0.5	0.5	['A2', 'C5']
42.5	11	3.5	0.125	0.5	['A2', 'A4']
43.0	11	4.0	0.25	0.5	['B-2', 'B-4']
43.5	11	4.5	0.125	0.5	['B-2', 'G4']
44.0	12	1.0	1.0	1.0	['C3', 'F4']
45.0	12	2.0	0.25	1.0	['C2', 'E4', 'G4']
46.0	12	3.0	0.5	2.0	['F2', 'F4', 'A4']
48.0	13	1.0	1.0	1.0	['D4', 'F4', 'D5', 'F5']
49.0	13	2.0	0.25	0.5	['D4', 'F4', 'D5', 'F5']
49.5	13	2.5	0.125	0.5	['C4', 'E4', 'C5', 'E5']
50.0	13	3.0	0.5	0.5	['C4', 'E4', 'C5', 'E5']
50.5	13	3.5	0.125	0.5	['B-3', 'D4', 'B-4', 'D5']
51.0	13	4.0	0.25	0.5	['B-3', 'D4', 'B-4', 'D5']
51.5	13	4.5	0.125	0.5	['A3', 'C4', 'A4', 'C5']
52.0	14	1.0	1.0	0.5	['A3', 'C4', 'A4', 'C5']
52.5	14	1.5	0.125	0.5	['G3', 'B-3', 'G4', 'B-4']
53.0	14	2.0	0.25	0.5	['G3', 'B-3', 'G4', 'B-4']
53.5	14	2.5	0.125	0.5	['F#3', 'A3', 'F#4', 'A4']
54.0	14	3.0	0.5	2.0	['G3', 'B-3', 'G4', 'B-4']
56.0	15	1.0	1.0	1.0	['B-4', 'D5']
57.0	15	2.0	0.25	0.5	['B-2', 'B-4', 'D5']
57.5	15	2.5	0.125	0.5	['B-2', 'B-4', 'D5']
58.0	15	3.0	0.5	0.5	['A2', 'C5']
58.5	15	3.5	0.125	0.5	['A2', 'A4']
59.0	15	4.0	0.25	0.5	['B-2', 'B-4']
59.5	15	4.5	0.125	0.5	['B-2', 'G4']
60.0	16	1.0	1.0	1.0	['C3', 'F4']
61.0	16	2.0	0.25	1.0	['C2', 'E4']
62.0	16	3.0	0.5	0.5	['F2', 'F4']
62.5	16	3.5	0.125	0.5	['F3', 'F4']
63.0	16	4.0	0.25	0.5	['F2', 'F4']
63.5	16	4.5	0.125	0.5	['F3', 'A4']
64.0	17	1.0	1.0	0.5	['C2', 'C5']
64.5	17	1.5	0.125	0.5	['C3', 'B-4']
65.0	17	2.0	0.25	0.5	['C2', 'B-4']
65.5	17	2.5	0.125	0.5	['C3', 'G4']
66.0	17	3.0	0.5	0.5	['F2', 'B-4']
66.5	17	3.5	0.125	0.5	['F3', 'A4']
67.0	17	4.0	0.25	0.5	['F2', 'A4']
67.5	17	4.5	0.125	0.5	['F3', 'F4']
68.0	18	1.0	1.0	0.5	['C2', 'A4']
68.5	18	1.5	0.125	0.5	['C3', 'G4']
69.0	18	2.0	0.25	0.5	['C2', 'G4']
69.5	18	2.5	0.125	0.5	['C3', 'E4']
70.0	18	3.0	0.5	0.5	['F2', 'F4']
70.5	18	3.5	0.125	0.5	['F3', 'E4']
71.0	18	4.0	0.25	0.5	['F2', 'F4']
71.5	18	4.5	0.125	0.5	['F3', 'A4']
72.0	19	1.0	1.0	0.5	['C2', 'C5']
72.5	19	1.5	0.125	0.5	['C3', 'B-4']
73.0	19	2.0	0.25	0.5	['C2', 'B-4']
73.5	19	2.5	0.125	0.5	['C3', 'G4']
74.0	19	3.0	0.5	0.5	['F2', 'B-4']
74.5	19	3.5	0.125	0.5	['F3', 'A4']
75.0	19	4.0	0.25	0.5	['F2', 'A4']
75.5	19	4.5	0.125	0.5	['F3', 'F4']
76.0	20	1.0	1.0	0.5	['C2', 'A4']
76.5	20	1.5	0.125	0.5	['C3', 'G4']
77.0	20	2.0	0.25	0.5	['C2', 'G4']
77.5	20	2.5	0.125	0.5	['C3', 'E4']
78.0	20	3.0	0.5	1.0	['F2', 'A3', 'C4', 'F4']
79.0	20	4.0	0.25	1.0	
