Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	4.0	0.25	0.25	['G5']
0.25	1	4.25	0.0625	0.25	['F5']
0.5	1	4.5	0.125	0.25	['E-5']
0.75	1	4.75	0.0625	0.25	['D5']
1.0	2	1.0	1.0	0.33	['B-3', 'B-4', 'C5']
1.33	2	1.33	0.0625	0.33	['B-3', 'D4', 'F4', 'C5']
1.67	2	1.67	0.0625	0.33	['B-3', 'D4', 'F4', 'C5']
2.0	2	2.0	0.25	0.33	['B-2', 'B-3', 'B-4']
2.33	2	2.33	0.0625	0.33	['B-2', 'B-3', 'D4', 'F4', 'B-4']
2.67	2	2.67	0.0625	0.08	['B-2', 'B-3', 'D4', 'F4', 'B-4']
2.75	2	2.75	0.0625	0.25	['B-2', 'B-3', 'D4', 'F4', 'B-4']
3.0	2	3.0	0.5	0.33	['B-2', 'B-3', 'B-4']
3.33	2	3.33	0.0625	0.17	['B-2', 'B-3', 'D4', 'F4', 'B-4']
3.5	2	3.5	0.125	0.17	['B-2', 'B-3', 'D4', 'F4', 'B-4']
3.67	2	3.67	0.0625	0.33	['B-2', 'B-3', 'D4', 'F4', 'B-4']
4.0	2	4.0	0.25	0.33	['B-2', 'B-3', 'B-4', 'C5']
4.33	2	4.33	0.0625	0.17	['B-2', 'B-3', 'D4', 'F4', 'C5']
4.5	2	4.5	0.125	0.17	['B-2', 'B-3', 'D4', 'F4', 'D5']
4.67	2	4.67	0.0625	0.33	['B-2', 'B-3', 'D4', 'F4', 'D5']
5.0	3	1.0	1.0	0.33	['F2', 'F3', 'A3', 'A4', 'F5']
5.33	3	1.33	0.0625	0.33	['F2', 'F3', 'C4', 'E-4', 'F5']
5.67	3	1.67	0.0625	0.08	['F2', 'F3', 'C4', 'E-4', 'F5']
5.75	3	1.75	0.0625	0.25	['F2', 'F3', 'C4', 'E-4', 'E-5']
6.0	3	2.0	0.25	0.33	['F2', 'F3', 'A3', 'A4', 'C5']
6.33	3	2.33	0.0625	0.33	['F2', 'F3', 'C4', 'E-4', 'C5']
6.67	3	2.67	0.0625	0.33	['F2', 'F3', 'C4', 'E-4', 'C5']
7.0	3	3.0	0.5	0.33	['F2', 'F3', 'A3', 'A4']
7.33	3	3.33	0.0625	0.17	['F2', 'F3', 'C4', 'E-4']
7.5	3	3.5	0.125	0.17	['F2', 'F3', 'C4', 'E-4', 'C5']
7.67	3	3.67	0.0625	0.33	['F2', 'F3', 'C4', 'E-4', 'C5']
8.0	3	4.0	0.25	0.33	['F2', 'F3', 'A3', 'A4', 'D5']
8.33	3	4.33	0.0625	0.17	['F2', 'F3', 'C4', 'E-4', 'D5']
8.5	3	4.5	0.125	0.17	['F2', 'F3', 'C4', 'E-4', 'E-5']
8.67	3	4.67	0.0625	0.33	['F2', 'F3', 'C4', 'E-4', 'E-5']
9.0	4	1.0	1.0	0.33	['B-2', 'B-3', 'B-4', 'F5']
9.33	4	1.33	0.0625	0.33	['B-2', 'B-3', 'D4', 'F4', 'F5']
9.67	4	1.67	0.0625	0.08	['B-2', 'B-3', 'D4', 'F4', 'F5']
9.75	4	1.75	0.0625	0.25	['B-2', 'B-3', 'D4', 'F4', 'D5']
10.0	4	2.0	0.25	0.25	['E-2', 'E-3', 'C4', 'C5', 'E-5']
10.25	4	2.25	0.0625	0.08	['E-2', 'E-3', 'C4', 'C5', 'D5']
10.33	4	2.33	0.0625	0.17	['E-2', 'E-3', 'E-4', 'G4', 'D5']
10.5	4	2.5	0.125	0.17	['E-2', 'E-3', 'E-4', 'G4', 'E-5']
10.67	4	2.67	0.0625	0.08	['E-2', 'E-3', 'E-4', 'G4', 'E-5']
10.75	4	2.75	0.0625	0.25	['E-2', 'E-3', 'E-4', 'G4', 'C5']
11.0	4	3.0	0.5	0.33	['F3', 'B-3', 'B-4']
11.33	4	3.33	0.0625	0.33	['F3', 'D4', 'F4', 'B-4']
11.67	4	3.67	0.0625	0.33	['F3', 'D4', 'F4', 'B-4']
12.0	4	4.0	0.25	0.33	['F2', 'A3', 'A4', 'C5']
12.33	4	4.33	0.0625	0.33	['F2', 'C4', 'E-4', 'C5']
12.67	4	4.67	0.0625	0.08	['F2', 'C4', 'E-4', 'C5']
12.75	4	4.75	0.0625	0.25	['F2', 'C4', 'E-4', 'B-4']
13.0	5	1.0	1.0	0.33	['B-2', 'B-3', 'B-4']
13.33	5	1.33	0.0625	0.33	['B-2', 'B-3', 'D4', 'F4', 'B-4']
13.67	5	1.67	0.0625	0.33	['B-2', 'B-3', 'D4', 'F4', 'B-4']
14.0	5	2.0	0.25	0.33	['D4', 'D5']
14.33	5	2.33	0.0625	0.33	['F4', 'B-4']
14.67	5	2.67	0.0625	0.33	['F4', 'B-4']
15.0	5	3.0	0.5	0.33	['F4', 'F5']
15.33	5	3.33	0.0625	0.33	['B-4', 'D5']
15.67	5	3.67	0.0625	0.33	['B-4', 'D5']
16.0	5	4.0	0.25	0.25	['B-2', 'B-3', 'E5', 'G5']
16.25	5	4.25	0.0625	0.25	['B-2', 'B-3', 'D5', 'F5']
16.5	5	4.5	0.125	0.25	['B-2', 'B-3', 'C5', 'E5']
16.75	5	4.75	0.0625	0.25	['B-2', 'B-3', 'B-4', 'D5']
17.0	6	1.0	1.0	0.12	['F2', 'F4', 'A4', 'A5']
17.12	6	1.12	0.0625	0.12	['F2', 'F4', 'A4', 'C5', 'A5']
17.25	6	1.25	0.0625	0.12	['F2', 'F4', 'A4', 'A5']
17.38	6	1.38	0.0625	0.12	['F2', 'F4', 'A4', 'C5', 'A5']
17.5	6	1.5	0.125	0.12	['G2', 'F4', 'A4', 'A5']
17.62	6	1.62	0.0625	0.12	['G2', 'F4', 'A4', 'C5', 'A5']
17.75	6	1.75	0.0625	0.12	['A2', 'F4', 'A4', 'A5']
17.88	6	1.88	0.0625	0.12	['A2', 'F4', 'A4', 'C5', 'A5']
18.0	6	2.0	0.25	0.12	['B-2', 'F4', 'A4', 'A5']
18.12	6	2.12	0.0625	0.12	['B-2', 'F4', 'A4', 'C5', 'A5']
18.25	6	2.25	0.0625	0.12	['C3', 'F4', 'A4', 'A5']
18.38	6	2.38	0.0625	0.12	['C3', 'F4', 'A4', 'C5', 'A5']
18.5	6	2.5	0.125	0.12	['D3', 'F4', 'A4', 'A5']
18.62	6	2.62	0.0625	0.12	['D3', 'F4', 'A4', 'C5', 'A5']
18.75	6	2.75	0.0625	0.12	['E3', 'F4', 'A4', 'A5']
18.88	6	2.88	0.0625	0.12	['E3', 'F4', 'A4', 'C5', 'A5']
19.0	6	3.0	0.5	0.12	['F3', 'F4', 'A4', 'C5', 'A5']
19.12	6	3.12	0.0625	0.38	['F3', 'F4', 'A4', 'A5']
19.5	6	3.5	0.125	0.12	['E5', 'G5']
19.62	6	3.62	0.0625	0.38	['G5']
20.0	6	4.0	0.25	0.12	['D5', 'F5']
20.12	6	4.12	0.0625	0.38	['F5']
20.5	6	4.5	0.125	0.12	['C5', 'E5']
20.62	6	4.62	0.0625	0.38	['E5']
21.0	7	1.0	1.0	0.5	['F4', 'C5', 'E5']
21.5	7	1.5	0.125	0.25	['F4', 'B-4', 'D5']
21.75	7	1.75	0.0625	0.25	['E4', 'B-4', 'D5']
22.0	7	2.0	0.25	0.5	['F4', 'A4', 'C5']
22.5	7	2.5	0.125	1.5	
24.0	7	4.0	0.25	0.33	['E3', 'B-3', 'B-4']
24.33	7	4.33	0.0625	0.33	['E3', 'E4', 'G4', 'B-4']
24.67	7	4.67	0.0625	0.08	['E3', 'C4', 'G4', 'B-4']
24.75	7	4.75	0.0625	0.25	['E3', 'C4', 'G4', 'B-4']
25.0	8	1.0	1.0	0.33	['F3', 'A3', 'A4']
25.33	8	1.33	0.0625	0.33	['F3', 'C4', 'F4', 'A4']
25.67	8	1.67	0.0625	0.33	['F3', 'C4', 'F4', 'A4']
26.0	8	2.0	0.25	0.33	['B-2', 'B-3', 'B-4']
26.33	8	2.33	0.0625	0.33	['B-2', 'D4', 'G4', 'C5']
26.67	8	2.67	0.0625	0.33	['B-2', 'D4', 'G4', 'D5']
27.0	8	3.0	0.5	0.33	['C3', 'A3', 'F4', 'A4']
27.33	8	3.33	0.0625	0.33	['C3', 'C4', 'F4']
27.67	8	3.67	0.0625	0.33	['C3', 'C4', 'F4']
28.0	8	4.0	0.25	0.33	['C2', 'G3', 'G4']
28.33	8	4.33	0.0625	0.33	['C2', 'B-3', 'E4', 'G4']
28.67	8	4.67	0.0625	0.08	['C2', 'B-3', 'E4', 'G4']
28.75	8	4.75	0.0625	0.25	['C2', 'B-3', 'E4', 'F4']
29.0	9	1.0	1.0	0.33	['F2', 'F3', 'F4', 'A4']
29.33	9	1.33	0.0625	0.17	['F2', 'F3', 'F4', 'A4', 'C5', 'F5']
29.5	9	1.5	0.125	0.17	['F4', 'A4', 'C5', 'F5']
29.67	9	1.67	0.0625	0.33	['F4', 'A4', 'C5', 'F5']
30.0	9	2.0	0.25	0.33	['F2', 'F3', 'F4', 'A4']
30.33	9	2.33	0.0625	0.17	['F2', 'F3', 'A4', 'C5', 'F5']
30.5	9	2.5	0.125	0.17	['A4', 'C5', 'F5']
30.67	9	2.67	0.0625	0.33	['A4', 'C5', 'F5']
31.0	9	3.0	0.5	0.33	['F2', 'F3', 'F4', 'A4']
31.33	9	3.33	0.0625	0.17	['F2', 'F3', 'A4', 'C5', 'F5']
31.5	9	3.5	0.125	0.17	['A4', 'C5', 'F5']
31.67	9	3.67	0.0625	0.33	['A4', 'C5', 'F5']
32.0	9	4.0	0.25	0.33	['F2', 'F3', 'F4', 'A4', 'F5']
32.33	9	4.33	0.0625	0.17	['F2', 'F3', 'A4', 'C5', 'F5']
32.5	9	4.5	0.125	0.17	['A4', 'C5', 'F5']
32.67	9	4.67	0.0625	0.08	['A4', 'C5', 'F5']
32.75	9	4.75	0.0625	0.25	['A4', 'C5', 'F5']
33.0	10	1.0	1.0	0.33	['G2', 'G3', 'E4', 'G4', 'B-4', 'E5', 'F5']
33.33	10	1.33	0.0625	0.17	['G2', 'G3', 'G4', 'B-4', 'E5', 'F5']
33.5	10	1.5	0.125	0.17	['G4', 'B-4', 'E5', 'F5']
33.67	10	1.67	0.0625	0.08	['G4', 'B-4', 'E5', 'F5']
33.75	10	1.75	0.0625	0.25	['G4', 'B-4', 'E5']
