Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	4.0	0.25	1.0	['D4']
1.0	1	1.0	1.0	0.5	['G3', 'B3', 'G4']
1.5	1	1.5	0.125	0.5	['G3', 'D4', 'G4']
2.0	1	2.0	0.25	0.5	['G3', 'B3', 'G4']
2.5	1	2.5	0.125	0.5	['G3', 'D4', 'G4']
3.0	1	3.0	0.5	0.5	['G3', 'B3', 'G4', 'A4']
3.5	1	3.5	0.125	0.5	['G3', 'D4', 'G4']
4.0	1	4.0	0.25	0.5	['G3', 'B3', 'F#4', 'G4']
4.5	1	4.5	0.125	0.5	['G3', 'D4', 'G4']
5.0	2	1.0	1.0	0.5	['D3', 'C4', 'F#4']
5.5	2	1.5	0.125	0.5	['D3', 'A3', 'G4']
6.0	2	2.0	0.25	0.5	['D3', 'C4', 'F#4', 'A4']
6.5	2	2.5	0.125	0.5	['D3', 'A3', 'B4']
7.0	2	3.0	0.5	0.5	['D3', 'C4', 'F#4', 'C5']
7.5	2	3.5	0.125	0.5	['D3', 'A3', 'C5']
8.0	2	4.0	0.25	0.5	['D3', 'C4', 'F#4']
8.5	2	4.5	0.125	0.5	['D3', 'A3', 'A4']
9.0	3	1.0	1.0	0.5	['G3', 'B3', 'G4', 'B4']
9.5	3	1.5	0.125	0.5	['G3', 'D4', 'B4']
10.0	3	2.0	0.25	0.5	['G3', 'B3', 'G4', 'B4']
10.5	3	2.5	0.125	0.5	['G3', 'D4', 'G4']
11.0	3	3.0	0.5	0.5	['C3', 'E4', 'A4', 'C5']
11.5	3	3.5	0.125	0.5	['C3', 'E4']
12.0	3	4.0	0.25	0.5	['C3', 'E4', 'A4', 'C5']
12.5	3	4.5	0.125	0.5	['C3', 'E4', 'A4']
13.0	4	1.0	1.0	0.5	['D3', 'F#4', 'G4', 'B4']
13.5	4	1.5	0.125	0.5	['D3', 'D4', 'F#4']
14.0	4	2.0	0.25	0.5	['D3', 'F#4', 'G4', 'B4']
14.5	4	2.5	0.125	0.5	['D3', 'D4', 'F#4']
15.0	4	3.0	0.5	0.5	['D3', 'F#4', 'A4']
15.5	4	3.5	0.125	0.5	['D3', 'D4', 'F#4']
16.0	4	4.0	0.25	0.5	['D3', 'D4', 'F#4', 'A4']
16.5	4	4.5	0.125	0.5	['D3', 'D4']
17.0	5	1.0	1.0	0.5	['G3', 'B3', 'G4']
17.5	5	1.5	0.125	0.5	['G3', 'D4', 'G4']
18.0	5	2.0	0.25	0.5	['G3', 'B3', 'G4']
