Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	2.67	0.25	0.5	['D4']
0.5	1	1.0	1.0	1.0	['G3', 'D4', 'G4', 'B4']
1.5	1	1.67	0.25	0.5	['G3', 'D4', 'G4', 'B4']
2.0	1	2.0	0.5	1.0	['G3', 'D4', 'G4', 'B4']
3.0	1	2.67	0.25	0.5	['A3', 'D4', 'F#4', 'C5']
3.5	2	1.0	1.0	1.0	['B3', 'D4', 'G4', 'D5']
4.5	2	1.67	0.25	0.5	['F#3', 'D4', 'A4']
5.0	2	2.0	0.5	1.0	['F#3', 'D4', 'A4']
6.0	2	2.67	0.25	0.5	['G3', 'D4', 'B4']
6.5	3	1.0	1.0	1.0	['A3', 'D4', 'F#4', 'C5']
7.5	3	1.67	0.25	0.5	['C4', 'D4', 'F#4']
8.0	3	2.0	0.5	0.75	['B3', 'D4', 'G4']
8.75	3	2.5	0.125	0.25	['B3', 'F#4']
9.0	3	2.67	0.25	0.5	['G3', 'D4', 'G4']
9.5	4	1.0	1.0	0.75	['D4', 'F#4', 'A4']
10.25	4	1.5	0.125	0.25	['A3', 'F#4', 'A4']
10.5	4	1.67	0.25	0.5	['F#3']
11.0	4	2.0	0.5	0.5	['D3']
11.5	4	2.33	0.25	0.5	['D3']
12.0	4	2.67	0.25	0.5	['C5']
12.5	5	1.0	1.0	1.0	['F#3', 'D4', 'A4']
13.5	5	1.67	0.25	0.5	['F#3', 'D4', 'A4']
14.0	5	2.0	0.5	1.0	['F#3', 'D4', 'A4']
15.0	5	2.67	0.25	0.5	['E3', 'C#4', 'G4']
15.5	6	1.0	1.0	1.0	['D3', 'A3', 'D4', 'F#4']
16.5	6	1.67	0.25	0.5	['E3', 'D4', 'G4']
17.0	6	2.0	0.5	1.0	['F#3', 'D4', 'A4']
18.0	6	2.67	0.25	0.5	['G3', 'D4', 'B4']
18.5	7	1.0	1.0	1.0	['C3', 'E4', 'C5']
19.5	7	1.67	0.25	0.5	['C3', 'D4', 'A4']
20.0	7	2.0	0.5	0.75	['C3', 'C4', 'E4']
20.75	7	2.5	0.125	0.25	['C3', 'C4', 'A4']
21.0	7	2.67	0.25	0.5	['D3', 'C4', 'F#4']
21.5	8	1.0	1.0	0.75	['G3', 'B3', 'D4', 'G4']
22.25	8	1.5	0.125	0.25	['D3', 'B3', 'D4', 'G4']
22.5	8	1.67	0.25	0.5	['B2']
23.0	8	2.0	0.5	0.5	['G2']
23.5	8	2.33	0.25	0.5	['G2']
