Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	3.0	0.5	0.5	['D4']
0.5	1	1.0	1.0	0.5	['B3', 'D5']
1.0	1	2.0	0.5	0.5	['A3', 'C#5']
1.5	1	3.0	0.5	0.5	['G3', 'B4']
2.0	2	1.0	1.0	0.5	['F#3', 'A4']
2.5	2	2.0	0.5	0.5	['E3', 'G4']
3.0	2	3.0	0.5	0.5	['D3', 'F#4']
3.5	3	1.0	1.0	0.5	['C#3', 'A3', 'E4']
4.0	3	2.0	0.5	0.5	['C#3', 'A3', 'E4']
4.5	3	3.0	0.5	0.5	['C#3', 'A3', 'E4']
5.0	4	1.0	1.0	1.0	['C#3', 'A3', 'E4']
6.0	4	3.0	0.5	0.5	['D3', 'F#4']
6.5	5	1.0	1.0	0.75	['E3', 'A3', 'G4']
7.25	5	2.5	0.25	0.25	['E3', 'A3', 'A4']
7.5	5	3.0	0.5	0.5	['E3', 'A3', 'G4']
8.0	6	1.0	1.0	0.75	['D3', 'A3', 'F#4']
8.75	6	2.5	0.25	0.25	['D3', 'A3', 'G4']
9.0	6	3.0	0.5	0.5	['D3', 'A3', 'F#4']
9.5	7	1.0	1.0	0.75	['A2', 'A3', 'C#4', 'E4']
10.25	7	2.5	0.25	0.25	['A2', 'A3', 'F#4']
10.5	7	3.0	0.5	0.5	['A2', 'A3', 'E4']
11.0	8	1.0	1.0	1.0	['F#3', 'A3', 'D4']
12.0	8	3.0	0.5	0.5	['D3', 'D4', 'F#4']
12.5	9	1.0	1.0	0.5	['A2', 'C#4', 'E4']
13.0	9	2.0	0.5	0.5	['A2', 'A3', 'C#4']
13.5	9	3.0	0.5	0.5	['A2', 'B3', 'D4']
14.0	10	1.0	1.0	0.5	['A2', 'C#4', 'E4']
14.5	10	2.0	0.5	0.5	['A2', 'A3', 'C#4']
15.0	10	3.0	0.5	0.5	['A2', 'B3', 'D4']
15.5	11	1.0	1.0	0.5	['A2', 'C#4', 'E4']
16.0	11	2.0	0.5	0.5	['A3', 'D4', 'F#4']
16.5	11	3.0	0.5	0.5	['G3', 'E4', 'G4']
17.0	12	1.0	1.0	1.0	['F#3', 'D4', 'A4']
18.0	12	3.0	0.5	0.5	['F#3', 'C5']
18.5	13	1.0	1.0	0.5	['G3', 'B4']
19.0	13	2.0	0.5	0.5	['G3', 'G4']
19.5	13	3.0	0.5	0.5	['G3', 'A4']
20.0	14	1.0	1.0	0.5	['E3', 'G4', 'B4']
20.5	14	2.0	0.5	0.5	['E3', 'C#5']
21.0	14	3.0	0.5	0.5	['F#3', 'D5']
21.5	15	1.0	1.0	0.5	['C#3', 'A4', 'E5']
22.0	15	2.0	0.5	0.5	['D3', 'A4', 'F#5']
22.5	15	3.0	0.5	0.5	['F#3', 'F#4', 'D5']
23.0	16	1.0	1.0	0.5	['A3', 'F#4', 'D5']
23.5	16	2.0	0.5	0.5	['A3', 'E4', 'C#5']
24.0	16	3.0	0.5	0.5	['A3', 'A4']
24.5	17	1.0	1.0	0.5	['A2', 'A4', 'C#5', 'G5']
25.0	17	2.0	0.5	0.5	['C#3', 'E5']
25.5	17	3.0	0.5	0.5	['E3', 'C#5']
26.0	18	1.0	1.0	0.5	['A3', 'A4']
26.5	18	2.0	0.5	0.5	['E3', 'E4']
27.0	18	3.0	0.5	0.5	['A3', 'A4']
27.5	19	1.0	1.0	0.5	['C#4', 'C#5']
28.0	19	2.0	0.5	0.5	['A3', 'A4']
28.5	19	3.0	0.5	0.5	['C#4', 'C#5']
29.0	20	1.0	1.0	1.0	['E4', 'E5']
30.0	20	3.0	0.5	0.5	['F#4', 'F#5']
30.5	21	1.0	1.0	0.5	['G4', 'G5']
31.0	21	2.0	0.5	0.5	['E4', 'E5']
31.5	21	3.0	0.5	0.5	['C#4', 'C#5']
32.0	22	1.0	1.0	0.5	['D4', 'D5']
32.5	22	2.0	0.5	0.5	['B3', 'B4']
33.0	22	3.0	0.5	0.5	['G#3', 'G#4']
33.5	23	1.0	1.0	0.5	['A3', 'A4']
34.0	23	2.0	0.5	0.5	['A3', 'B4']
34.5	23	3.0	0.5	0.5	['A2', 'G4', 'C#5']
35.0	24	1.0	1.0	1.0	['D3', 'D4', 'F#4', 'D5']
