Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	2.75	0.125	0.5	['D4']
0.5	1	1.0	1.0	1.0	['G3', 'D4', 'G4', 'B4']
1.5	1	1.5	0.25	1.0	['G3', 'D4', 'G4', 'B4']
2.5	1	2.0	0.5	1.0	['A3', 'D4', 'F#4', 'C5']
3.5	1	2.5	0.25	1.0	['G3', 'D4', 'G4', 'B4']
4.5	2	1.0	1.0	0.5	['D3', 'F#4', 'A4']
5.0	2	1.25	0.125	0.5	['D3', 'E4', 'G4']
5.5	2	1.5	0.25	0.5	['D3', 'D4', 'F#4']
6.0	2	1.75	0.125	0.5	['D3', 'E4', 'G4']
6.5	2	2.0	0.5	1.0	['D3', 'F#4', 'A4']
7.5	2	2.5	0.25	0.5	['C3']
8.0	2	2.75	0.125	0.5	['C3', 'D4']
8.5	3	1.0	1.0	1.0	['B2', 'D4', 'G4']
9.5	3	1.5	0.25	1.0	['G2', 'D4', 'G4']
10.5	3	2.0	0.5	1.0	['A2', 'D4', 'F#4', 'C5']
11.5	3	2.5	0.25	0.5	['D2']
12.0	3	2.75	0.125	0.5	['D2', 'A4']
12.5	4	1.0	1.0	1.0	['B2', 'D4', 'G4']
13.5	4	1.5	0.25	1.0	['G2', 'D4', 'G4']
14.5	4	2.0	0.5	1.0	['A2', 'D4', 'F#4', 'C5']
15.5	4	2.5	0.25	1.0	['G2', 'D4', 'G4', 'B4']
16.5	5	1.0	1.0	0.5	['D3', 'C4', 'A4']
17.0	5	1.25	0.125	0.5	['D3', 'C4', 'G4']
17.5	5	1.5	0.25	0.5	['D3', 'C4', 'A4']
18.0	5	1.75	0.125	0.5	['D3', 'C4', 'B4']
18.5	5	2.0	0.5	1.0	['G2', 'B3', 'G4']
19.5	5	2.5	0.25	0.5	['G3']
20.0	5	2.75	0.125	0.5	['D4']
20.5	6	1.0	1.0	1.0	['D3', 'D4', 'F#4', 'A4']
21.5	6	1.5	0.25	1.0	['F#3', 'D4', 'F#4', 'A4']
22.5	6	2.0	0.5	1.0	['A3', 'D4', 'F#4', 'A4']
23.5	6	2.5	0.25	0.5	['F#3', 'D4', 'F#4', 'A4']
24.0	6	2.75	0.125	0.5	['F#3', 'D4', 'F#4', 'B4']
24.5	7	1.0	1.0	1.0	['D3', 'D4', 'F#4', 'A4', 'C5']
25.5	7	1.5	0.25	1.0	['F#3', 'D4', 'F#4', 'A4', 'C5']
26.5	7	2.0	0.5	1.0	['A3', 'D4', 'F#4', 'A4', 'C5']
27.5	7	2.5	0.25	1.0	['F#3']
28.5	8	1.0	1.0	1.0	['G3', 'D4', 'G4', 'B4']
29.5	8	1.5	0.25	0.5	['G3', 'D4', 'G4', 'B4']
30.0	8	1.75	0.125	0.5	['A3', 'D4', 'G4', 'C5']
30.5	8	2.0	0.5	1.0	['B3', 'D4', 'G4', 'D5']
31.5	8	2.5	0.25	0.5	['A3', 'D4', 'F#4', 'C5']
32.0	8	2.75	0.125	0.5	['G3', 'D4', 'G4', 'B4']
32.5	9	1.0	1.0	1.0	['D3', 'D4', 'F#4', 'A4']
33.5	9	1.5	0.25	1.0	['D3', 'D4', 'F#4', 'A4']
34.5	9	2.0	0.5	1.0	['D3', 'D4', 'F#4', 'A4']
35.5	9	2.5	0.25	0.5	
36.0	9	2.75	0.125	0.5	['D4']
36.5	10	1.0	1.0	1.0	['C3', 'E4']
37.5	10	1.5	0.25	1.0	['C3', 'C4']
38.5	10	2.0	0.5	1.0	['C3', 'F#4']
39.5	10	2.5	0.25	1.0	['C3', 'D4']
40.5	11	1.0	1.0	1.0	['B2', 'G4']
41.5	11	1.5	0.25	0.5	['B2', 'F#4']
42.0	11	1.75	0.125	0.5	['B2', 'G4']
42.5	11	2.0	0.5	1.0	['F#2', 'D4', 'A4']
43.5	11	2.5	0.25	0.5	['F#2']
44.0	11	2.75	0.125	0.5	['F#2', 'D4', 'F#4']
44.5	12	1.0	1.0	0.5	['F#2', 'C5']
45.0	12	1.25	0.125	0.5	['G2', 'B4']
45.5	12	1.5	0.25	0.5	['A2', 'A4']
46.0	12	1.75	0.125	0.5	['B2', 'G4']
46.5	12	2.0	0.5	1.0	['C3', 'D4', 'F#4']
47.5	12	2.5	0.25	0.5	['B2', 'D4', 'G4']
48.0	12	2.75	0.125	0.5	['C3', 'E4', 'A4']
48.5	13	1.0	1.0	1.0	['D3', 'D4', 'G4', 'B4']
49.5	13	1.5	0.25	1.0	['D2', 'D4', 'F#4', 'A4']
50.5	13	2.0	0.5	1.0	['G2', 'B3', 'D4', 'G4']
51.5	13	2.5	0.25	1.0	
