Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	2.5	0.25	0.5	['E-4', 'G4']
0.5	1	1.0	1.0	0.5	['B-2', 'B-3', 'E-4', 'G4']
1.0	1	1.5	0.25	0.38	['B-2', 'B-3', 'D4', 'F4']
1.38	1	1.88	0.0625	0.12	['B-2', 'B-3', 'E-4', 'G4']
1.5	1	2.0	0.5	0.5	['D3', 'B-3', 'F4', 'A-4']
2.0	1	2.5	0.25	0.5	['E-3', 'B-3', 'E-4', 'G4']
2.5	2	1.0	1.0	0.38	['B-2', 'B-3', 'D4', 'F4']
2.88	2	1.38	0.0625	0.12	['B-2', 'B-3', 'C4', 'E-4']
3.0	2	1.5	0.25	0.38	['B-2', 'B-3', 'D4', 'F4']
3.38	2	1.88	0.0625	0.12	['B-2', 'B-3', 'E-4', 'G4']
3.5	2	2.0	0.5	0.5	['D4', 'F4']
4.0	2	2.5	0.25	0.38	['B-4']
4.38	2	2.88	0.0625	0.12	['G4']
4.5	3	1.0	1.0	0.5	['E-4']
5.0	3	1.5	0.25	0.5	['E-3', 'G3', 'E-4']
5.5	3	2.0	0.5	0.5	['D3', 'B-3', 'F4']
6.0	3	2.5	0.25	0.5	['E-3', 'B-3', 'E-4', 'G4']
6.5	4	1.0	1.0	0.25	['E-4', 'G4']
6.75	4	1.25	0.125	0.25	['B-2', 'E-4', 'G4']
7.0	4	1.5	0.25	0.25	['B-3', 'D4', 'F4']
7.25	4	1.75	0.125	0.25	['A3', 'D4', 'F4']
7.5	4	2.0	0.5	0.5	['B-3']
8.0	4	2.5	0.25	0.5	['F4']
8.5	5	1.0	1.0	0.5	['C4', 'F4', 'A4', 'E-5']
9.0	5	1.5	0.25	0.38	['E-4', 'F4', 'C5']
9.38	5	1.88	0.0625	0.12	['E-4', 'F4', 'A4']
9.5	5	2.0	0.5	0.5	['D4', 'F4', 'B-4']
10.0	5	2.5	0.25	0.5	['E-4', 'G4', 'C5']
10.5	6	1.0	1.0	0.5	['D4', 'F4', 'B-4']
11.0	6	1.5	0.25	0.5	['C4', 'E-4', 'A-4']
11.5	6	2.0	0.5	0.5	['B-3', 'D4', 'G4']
12.0	6	2.5	0.25	0.5	['A-3', 'C4', 'F4']
12.5	7	1.0	1.0	0.25	['G3', 'B-3', 'E-4']
12.75	7	1.25	0.125	0.25	['G3', 'B-3', 'G4']
13.0	7	1.5	0.25	0.25	['E-3', 'E-4', 'G4']
13.25	7	1.75	0.125	0.25	['E-3', 'E-4', 'B-4']
13.5	7	2.0	0.5	0.25	['D3', 'B-3', 'G4', 'B-4']
13.75	7	2.25	0.125	0.25	['D3', 'B-3', 'F4', 'A-4']
14.0	7	2.5	0.25	0.25	['E-3', 'B-3', 'F4', 'A-4']
14.25	7	2.75	0.125	0.25	['E-3', 'B-3', 'E-4', 'G4']
14.5	8	1.0	1.0	0.25	['E-4', 'G4']
14.75	8	1.25	0.125	0.25	['B-3', 'E-4', 'G4']
15.0	8	1.5	0.25	0.25	['A3', 'D4', 'F4']
15.25	8	1.75	0.125	0.25	['B-3', 'D4', 'F4']
15.5	8	2.0	0.5	0.5	['B-2']
16.0	8	2.5	0.25	0.5	['B-3']
16.5	9	1.0	1.0	0.25	['B-3', 'G4']
16.75	9	1.25	0.125	0.25	['B-3', 'F4']
17.0	9	1.5	0.25	0.5	['D3', 'B-3', 'F4']
17.5	9	2.0	0.5	0.5	['F3', 'B-3', 'D4', 'A-4']
18.0	9	2.5	0.25	0.5	['E-3', 'B-3', 'E-4', 'G4']
18.5	10	1.0	1.0	0.5	['D3', 'B-3', 'F4']
19.0	10	1.5	0.25	0.5	['E-3', 'B-3', 'G4']
19.5	10	2.0	0.5	0.5	['F3', 'B-3', 'D4', 'A-4']
20.0	10	2.5	0.25	0.25	['D3']
20.25	10	2.75	0.125	0.25	['D3', 'A-4', 'C5']
20.5	11	1.0	1.0	0.38	['E-3', 'A-4', 'C5']
20.88	11	1.38	0.0625	0.12	['E-3', 'G4', 'B-4']
21.0	11	1.5	0.25	0.5	['E-3', 'G4', 'B-4']
21.5	11	2.0	0.5	0.25	['E-3', 'D5', 'F5']
21.75	11	2.25	0.125	0.25	['E-3', 'C5', 'E-5']
22.0	11	2.5	0.25	0.25	['A-3', 'B-4', 'D5']
22.25	11	2.75	0.125	0.25	['A-3', 'A-4', 'C5']
22.5	12	1.0	1.0	0.25	['B-3', 'G4', 'B-4']
22.75	12	1.25	0.125	0.25	['B-3', 'F4', 'A-4']
23.0	12	1.5	0.25	0.25	['B-2', 'E-4', 'G4']
23.25	12	1.75	0.125	0.25	['B-2', 'D4', 'F4']
23.5	12	2.0	0.5	0.5	['E-3', 'G3', 'B-3', 'E-4']
