Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['G4']
1.0	1	1.5	0.25	1.0	['B3', 'D4', 'G4']
2.0	1	2.0	0.5	1.0	['A3', 'C4', 'F#4']
3.0	1	2.5	0.25	1.0	['B3', 'D4', 'G4']
4.0	2	1.0	1.0	0.5	['A3', 'D5']
4.5	2	1.25	0.125	0.5	['A3', 'C5']
5.0	2	1.5	0.25	0.5	['D4', 'A4']
5.5	2	1.75	0.125	0.5	['D4', 'F#4']
6.0	2	2.0	0.5	1.0	['B3', 'G4']
7.0	2	2.5	0.25	1.0	['G3']
8.0	3	1.0	1.0	1.0	['C4', 'E4', 'A4']
9.0	3	1.5	0.25	1.0	['B3', 'G#4', 'B4']
10.0	3	2.0	0.5	0.5	['A3', 'E4', 'D5']
10.5	3	2.25	0.125	0.5	['A3', 'E4', 'C5']
11.0	3	2.5	0.25	0.5	['C4', 'E4', 'B4']
11.5	3	2.75	0.125	0.5	['C4', 'E4', 'A4']
12.0	4	1.0	1.0	1.0	['D4', 'G4']
13.0	4	1.5	0.25	0.75	['D3', 'F#4']
13.75	4	1.88	0.0625	0.25	['C#3', 'F#4']
14.0	4	2.0	0.5	1.0	['D3']
15.0	4	2.5	0.25	1.0	
16.0	5	1.0	1.0	1.0	['C5']
17.0	5	1.5	0.25	1.0	['A3', 'C4', 'F#4']
18.0	5	2.0	0.5	1.0	['B3', 'D4', 'G4']
19.0	5	2.5	0.25	1.0	['B3', 'D4', 'G#4']
20.0	6	1.0	1.0	1.0	['C4', 'E4', 'A4']
21.0	6	1.5	0.25	1.0	['B3', 'D4', 'G#4']
22.0	6	2.0	0.5	1.0	['C4', 'E4', 'A4']
23.0	6	2.5	0.25	1.0	['B3', 'D4']
24.0	7	1.0	1.0	1.0	['A3', 'C5', 'E5']
25.0	7	1.5	0.25	0.5	['C4', 'B4', 'D5']
25.5	7	1.75	0.125	0.5	['C4', 'A4', 'C5']
26.0	7	2.0	0.5	1.0	['D4', 'G4', 'B4']
27.0	7	2.5	0.25	1.0	['C4', 'F#4', 'A4']
28.0	8	1.0	1.0	0.5	['B3', 'D4', 'D5']
28.5	8	1.25	0.125	0.5	['B3', 'D5']
29.0	8	1.5	0.25	0.5	['G3', 'B4', 'D5']
29.5	8	1.75	0.125	0.5	['G3', 'G4', 'D5']
30.0	8	2.0	0.5	0.5	['A3', 'D4', 'C5']
30.5	8	2.25	0.125	0.5	['A3', 'C5']
31.0	8	2.5	0.25	0.5	['D3', 'A4']
31.5	8	2.75	0.125	0.5	['D3', 'F#4']
32.0	9	1.0	1.0	1.0	['G3', 'B4']
33.0	9	1.5	0.25	1.0	['B2', 'D4', 'G4']
34.0	9	2.0	0.5	1.0	['C3', 'E4', 'A4']
35.0	9	2.5	0.25	1.0	['D3', 'C4', 'F#4']
36.0	10	1.0	1.0	1.0	['G3', 'B3', 'D4', 'G4']
37.0	10	1.5	0.25	3.0	
