key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Bb	[24.64, 0.0, 55.33, 13.28, 4.0, 85.98, 0.0, 13.48, 0.0, 17.48, 109.45, 0.0]	0.0	76.0	75.95	1	19	18
g	[6.25, 0.0, 26.0, 0.5, 0.0, 0.0, 4.5, 16.25, 0.0, 8.75, 16.75, 0.0]	76.0	92.0	16.0	20	23	3
F	[15.0, 0.0, 6.25, 2.0, 4.0, 10.5, 0.0, 20.0, 0.0, 3.0, 2.5, 3.5]	92.0	104.0	12.0	24	26	2
g	[6.25, 0.0, 21.0, 1.5, 0.0, 0.0, 4.5, 9.75, 0.0, 6.75, 12.25, 0.0]	104.0	116.0	12.0	27	29	2
F	[15.0, 0.0, 4.0, 0.0, 2.5, 19.5, 0.0, 5.5, 0.0, 12.5, 4.0, 1.0]	116.0	130.0	14.0	30	33	3
bb	[1.0, 2.0, 0.0, 2.0, 0.0, 4.0, 0.0, 0.0, 0.0, 3.0, 4.0, 0.0]	130.0	134.0	4.0	33	34	1
Db	[8.0, 24.5, 0.0, 10.0, 0.0, 11.5, 16.5, 0.0, 13.0, 2.0, 8.5, 0.0]	134.0	152.0	18.0	34	38	4
bb	[9.25, 0.0, 0.0, 4.0, 6.0, 14.0, 6.0, 0.0, 0.0, 8.0, 6.75, 0.0]	152.0	164.0	12.0	39	41	2
Bb	[7.15, 0.0, 30.5, 7.63, 0.0, 44.67, 0.0, 7.65, 0.0, 8.49, 64.96, 0.0]	164.0	204.0	39.97	42	51	9
g	[3.83, 0.0, 13.09, 2.58, 0.0, 0.0, 4.0, 4.0, 0.0, 4.0, 3.5, 0.0]	204.0	212.0	8.0	52	53	1
c	[5.0, 0.0, 2.5, 6.0, 0.0, 2.75, 0.0, 6.5, 4.0, 0.0, 0.0, 4.0]	212.0	220.0	8.0	54	55	1
Ab	[28.25, 0.0, 4.0, 43.5, 0.0, 1.0, 0.0, 6.25, 48.25, 0.0, 3.25, 0.0]	220.0	248.0	28.0	56	62	6
ab	[0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.25, 7.75, 0.0, 0.25, 5.75]	248.0	252.0	4.0	63	63	0
Cb	[3.5, 4.25, 0.0, 0.75, 19.0, 0.0, 4.0, 0.0, 12.0, 0.0, 4.0, 14.5]	252.0	262.0	10.0	64	66	2
Bb	[4.0, 2.0, 9.0, 7.0, 2.0, 21.5, 2.0, 0.0, 0.0, 5.0, 19.5, 0.0]	262.0	276.0	14.0	66	69	3
g	[0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.25, 7.75, 0.0, 0.25, 3.75, 0.0]	276.0	280.0	4.0	70	70	0
ab	[0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.25, 7.75, 0.0, 0.25, 5.75]	280.0	284.0	4.0	71	71	0
Cb	[3.5, 4.25, 0.0, 0.75, 19.0, 0.0, 4.0, 0.0, 12.0, 0.0, 4.0, 14.5]	284.0	294.0	10.0	72	74	2
Bb	[8.16, 5.25, 16.24, 10.99, 2.0, 43.47, 2.0, 0.33, 0.0, 9.49, 41.99, 0.0]	294.0	323.0	28.98	74	81	7
