0.0	1	1	1.0	0.5	['E3', 'B3', 'G4']	e	i
0.5	1	1.5	0.25	0.5	['E3', 'B3', 'G4']		
1.0	1	2	0.5	0.5	['E3', 'B3', 'G4']		
1.5	1	2.5	0.25	0.5	['E3', 'B3', 'G4']		
2.0	2	1	1.0	0.5	['E3', 'B3', 'G4']	e	i
2.5	2	1.5	0.25	0.5	['E3', 'B3', 'G4']		
3.0	2	2	0.5	0.5	['E3', 'B3', 'G4']		
3.5	2	2.5	0.25	0.25	['E3', 'B3', 'G4']		
3.75	2	2.75	0.125	0.25	['B4']		
4.0	3	1	1.0	0.5	['E3', 'B3', 'G4', 'B4']	e	i
4.5	3	1.5	0.25	0.25	['B4']		
4.75	3	1.75	0.125	0.25	['B4']		
5.0	3	2	0.5	0.5	['E3', 'B3', 'G4', 'E5']		
5.5	3	2.5	0.25	0.25	['E5']		
5.75	3	2.75	0.125	0.25	['E5']		
6.0	4	1	1.0	0.25	['E3', 'B3', 'G4']	e	i
6.25	4	1.25	0.125	0.25	['E3', 'B3', 'F#4', 'G4']		
6.5	4	1.5	0.25	0.25	['G4']		
6.75	4	1.75	0.125	0.25	['A4']		
7.0	4	2	0.5	0.5	['E3', 'B3', 'G4', 'B4']		
7.5	4	2.5	0.25	0.25	['B4']		
7.75	4	2.75	0.125	0.25	['B4']		
8.0	5	1	1.0	0.5	['D3', 'B3', 'G4', 'B4']	G	Cad64
8.5	5	1.5	0.25	0.25	['B4']		
8.75	5	1.75	0.125	0.25	['B4']		
9.0	5	2	0.5	0.5	['D3', 'B-3', 'G4', 'D5']	G	i64
9.5	5	2.5	0.25	0.25	['D5']		
9.75	5	2.75	0.125	0.25	['D5']		
10.0	6	1	1.0	0.25	['D3', 'A3', 'F#4', 'A4']	G	V7
10.25	6	1.25	0.125	0.25	['D3', 'A3', 'F#4', 'C5']		
10.5	6	1.5	0.25	0.25	['B4']		
10.75	6	1.75	0.125	0.25	['A4']		
11.0	6	2	0.5	0.5	['G3', 'B3', 'G4']	G	I
11.5	6	2.5	0.25	0.25	['G4']		
11.75	6	2.75	0.125	0.25	['B4']		
12.0	7	1	1.0	0.5	['E3', 'B3', 'G4', 'B4']	e	i
12.5	7	1.5	0.25	0.25	['B4']		
12.75	7	1.75	0.125	0.25	['B4']		
13.0	7	2	0.5	0.5	['E3', 'B3', 'G4', 'E5']		
13.5	7	2.5	0.25	0.25	['E5']		
13.75	7	2.75	0.125	0.25	['E5']		
14.0	8	1	1.0	0.25	['E3', 'B3', 'G4']	e	i
14.25	8	1.25	0.125	0.25	['E3', 'B3', 'F#4', 'G4']		
14.5	8	1.5	0.25	0.25	['G4']		
14.75	8	1.75	0.125	0.25	['A4']		
15.0	8	2	0.5	0.5	['E3', 'B3', 'G4', 'B4']		
15.5	8	2.5	0.25	0.25	['B4']		
15.75	8	2.75	0.125	0.25	['B4']		
16.0	9	1	1.0	0.5	['D3', 'B3', 'G4', 'B4']	G	Cad64
16.5	9	1.5	0.25	0.25	['B4']		
16.75	9	1.75	0.125	0.25	['B4']		
17.0	9	2	0.5	0.5	['D3', 'B-3', 'G4', 'E5']	G	i64
17.5	9	2.5	0.25	0.25	['D5']		
17.75	9	2.75	0.125	0.25	['D5']		
18.0	10	1	1.0	0.25	['D3', 'A3', 'F#4', 'A4']	G	V7
18.25	10	1.25	0.125	0.25	['D3', 'A3', 'F#4', 'C5']		
18.5	10	1.5	0.25	0.25	['B4']		
18.75	10	1.75	0.125	0.25	['A4']		
19.0	10	2	0.5	0.5	['G3', 'B3', 'G4', 'B4']	G	I
19.5	10	2.5	0.25	0.25	['B4']		
19.75	10	2.75	0.125	0.25	['B4']		
20.0	11	1	1.0	0.25	['B2', 'B3', 'D#4', 'F#4', 'B4']	e	V
20.25	11	1.25	0.125	0.25	['B2', 'B3', 'D#4', 'F#4']		
20.5	11	1.5	0.25	0.25	['F#4']		
20.75	11	1.75	0.125	0.25	['B2', 'B3', 'D#4', 'F#4', 'B4']		
21.0	11	2	0.5	0.25	['E3', 'B3', 'E4', 'G4', 'B4']	e	i
21.25	11	2.25	0.125	0.25	['E3', 'B3', 'E4', 'G4']		
21.5	11	2.5	0.25	0.25	['G4']		
21.75	11	2.75	0.125	0.25	['E3', 'B3', 'E4', 'G4', 'B4']		
22.0	12	1	1.0	0.5	['D3', 'D4', 'F#4', 'A4', 'D5']	G	V
22.5	12	1.5	0.25	0.25	['E5']		
22.75	12	1.75	0.125	0.25	['D3', 'D4', 'F#4', 'A4', 'C5']		
23.0	12	2	0.5	0.5	['G3', 'D4', 'G4', 'B4']	G	I
23.5	12	2.5	0.25	0.25	['B4']		
23.75	12	2.75	0.125	0.25	['B4']		
24.0	13	1	1.0	0.25	['B2', 'B3', 'D#4', 'F#4', 'B4']	e	V
24.25	13	1.25	0.125	0.25	['B2', 'B3', 'D#4', 'F#4']		
24.5	13	1.5	0.25	0.25	['F#4']		
24.75	13	1.75	0.125	0.25	['B2', 'B3', 'D#4', 'F#4', 'B4']		
25.0	13	2	0.5	0.25	['E3', 'B3', 'E4', 'G4', 'B4']	e	i
25.25	13	2.25	0.125	0.25	['E3', 'B3', 'E4', 'G4']		
25.5	13	2.5	0.25	0.25	['G4']		
25.75	13	2.75	0.125	0.25	['E3', 'B3', 'E4', 'G4', 'B4']		
26.0	14	1	1.0	0.5	['C3', 'E4', 'A#4', 'E5']	e	It6
26.5	14	1.5	0.25	0.25	['E5']		
26.75	14	1.75	0.125	0.25	['D#5']		
27.0	14	2	0.5	0.5	['B2', 'D#4', 'B4', 'F#5']	e	V
27.5	14	2.5	0.25	0.5	['F#5']		
28.0	15	1	1.0	0.75	['C4', 'E4', 'A#4', 'E5', 'F#5']	e	It6
28.75	15	1.75	0.125	0.25	['C4', 'E4', 'A#4', 'D#5', 'F#5']		
29.0	15	2	0.5	1.0	['B3', 'D#4', 'B4', 'F#5']	e	V
30.0	16	1	1.0	1.0	['B3', 'D#4', 'B4', 'F#5']	e	V
31.0	16	2	0.5	0.75	['B3', 'D#4', 'B4', 'F#5']		
