key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
c	[78.25, 0.0, 38.75, 33.75, 0.0, 7.0, 20.0, 64.75, 13.75, 17.0, 2.0, 17.25]	0.0	57.0	57.0	1	19	18
Eb	[10.25, 0.0, 2.75, 20.25, 0.0, 7.0, 10.0, 2.5, 5.5, 12.0, 7.75, 0.25]	57.0	71.0	14.0	20	24	4
c	[8.0, 0.0, 7.5, 4.0, 0.0, 0.0, 1.0, 33.0, 2.0, 0.0, 0.0, 7.5]	71.0	84.0	13.0	24	28	4
Ab	[6.95, 2.15, 0.66, 13.94, 0.0, 1.83, 0.0, 1.65, 20.83, 0.0, 4.79, 0.0]	84.0	103.0	18.88	29	33	4
bb	[2.31, 3.48, 0.0, 1.66, 0.0, 5.61, 0.33, 0.0, 0.0, 3.96, 5.97, 0.0]	103.0	111.0	7.94	33	35	2
Ab	[5.96, 2.15, 0.66, 12.93, 0.0, 1.83, 0.0, 1.65, 17.37, 0.0, 4.79, 0.0]	111.0	127.0	15.9	35	39	4
Gb	[0.0, 14.04, 0.0, 0.33, 0.0, 2.31, 8.91, 0.0, 4.29, 0.0, 3.81, 0.99]	127.0	140.0	12.88	39	42	3
f#	[0.0, 53.41, 0.0, 0.0, 0.0, 0.0, 13.63, 0.0, 5.97, 50.02, 0.0, 6.83]	140.0	166.0	25.89	43	49	6
a	[19.5, 1.0, 0.0, 0.0, 12.0, 2.0, 0.0, 0.0, 0.0, 46.0, 0.0, 0.5]	166.0	180.0	14.0	49	52	3
f	[10.49, 0.0, 0.0, 1.0, 0.0, 12.98, 0.0, 0.0, 18.81, 2.0, 0.0, 0.0]	180.0	188.0	7.99	53	54	1
Gb	[0.0, 7.5, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 1.0, 0.0, 8.0, 2.0]	188.0	192.0	4.0	55	55	0
f	[29.0, 1.98, 2.0, 2.0, 2.0, 29.99, 1.0, 3.33, 21.0, 2.0, 5.98, 0.0]	192.0	212.0	19.99	56	60	4
c	[0.0, 0.0, 14.0, 0.0, 0.0, 10.75, 0.0, 16.75, 13.5, 0.0, 0.0, 9.5]	212.0	231.5	19.5	61	67	6
a	[4.0, 0.0, 3.0, 0.0, 22.25, 2.0, 0.0, 0.0, 6.75, 6.0, 0.0, 6.5]	231.5	248.0	16.5	67	72	5
F	[7.0, 1.0, 4.5, 0.0, 6.0, 5.0, 0.0, 5.5, 1.0, 6.0, 0.0, 2.0]	248.0	263.0	15.0	73	77	4
c	[6.5, 0.0, 5.5, 2.0, 2.0, 5.5, 0.0, 2.5, 1.0, 0.0, 0.0, 8.0]	263.0	273.5	10.5	78	81	3
Ab	[5.0, 3.0, 0.0, 4.5, 0.0, 3.5, 0.0, 0.5, 8.0, 0.0, 0.5, 0.0]	273.5	281.0	7.5	81	83	2
F	[9.5, 0.0, 0.5, 0.0, 2.5, 17.5, 0.0, 7.5, 2.5, 5.0, 3.5, 0.0]	281.0	296.0	15.0	84	88	4
c	[0.5, 0.0, 5.0, 0.0, 1.0, 3.75, 0.0, 10.5, 5.5, 0.0, 3.25, 2.5]	296.0	305.0	9.0	89	91	2
d	[0.5, 3.5, 3.5, 0.0, 6.0, 3.5, 0.0, 4.5, 0.0, 10.75, 8.25, 0.0]	305.0	317.0	12.0	92	95	3
a	[2.0, 0.0, 1.5, 0.0, 16.0, 0.0, 0.0, 0.0, 6.0, 4.0, 0.0, 5.0]	317.0	329.0	12.0	96	99	3
F	[7.0, 1.0, 6.5, 0.0, 12.0, 7.0, 0.0, 5.5, 1.0, 5.5, 0.0, 2.0]	329.0	344.0	15.0	100	104	4
c	[6.5, 0.0, 5.5, 2.0, 2.0, 5.5, 0.0, 2.5, 1.0, 0.0, 0.0, 8.0]	344.0	354.5	10.5	105	108	3
Ab	[6.0, 3.0, 0.0, 5.5, 0.0, 3.5, 0.0, 1.0, 10.0, 0.0, 0.5, 0.0]	354.5	363.5	9.0	108	111	3
c	[47.75, 0.0, 10.5, 23.5, 0.0, 6.0, 13.0, 59.75, 8.0, 6.5, 3.0, 2.0]	363.5	395.0	31.5	111	122	11
