0.0	1	1	1.0	1.75	['C2', 'C3', 'G3', 'C4', 'E-4']	c	i
1.75	1	2.75	0.125	0.25	['C2', 'C3', 'G3', 'C4', 'E-4']		
2.0	1	3	0.5	0.5	['C2', 'C3', 'G3', 'C4', 'E-4']		
2.5	1	3.5	0.25	0.5	['C2', 'C3', 'G3', 'C4', 'E-4']		
3.0	2	1	1.0	1.75	['C2', 'C3', 'G3', 'C4', 'E-4']	c	i
4.75	2	2.75	0.125	0.25	['C2', 'C3', 'G3', 'C4', 'E-4']		
5.0	2	3	0.5	0.5	['C2', 'C3', 'G3', 'C4', 'E-4']		
5.5	2	3.5	0.25	0.5	['C2', 'C3', 'G3', 'C4', 'E-4']		
6.0	3	1	1.0	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	c	i
7.0	3	2	0.5	1.0	['E-2', 'E-3', 'G3', 'C4', 'E-4']	c	i6
8.0	3	3	0.5	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	c	i
9.0	4	1	1.0	1.75	['F2', 'F3', 'A-3', 'B3', 'D4']	c	viio43
10.75	4	2.75	0.125	0.25	['F2', 'F3', 'A-3', 'B3', 'D4']		
11.0	4	3	0.5	1.0	['F2', 'F3', 'A-3', 'B3', 'D4']		
12.0	5	1	1.0	1.75	['F#1', 'F#2', 'A3', 'C4', 'D4']	c	V6/V
13.75	5	2.75	0.125	0.25	['F#1', 'F#2', 'A3', 'C4', 'D4']		
14.0	5	3	0.5	0.5	['F#1', 'F#2', 'A3', 'C4', 'D4']		
14.5	5	3.5	0.25	0.5	['F#1', 'F#2', 'A3', 'C4', 'D4']		
15.0	6	1	1.0	1.75	['F#1', 'F#2', 'A3', 'C4', 'D4']	c	V6/V
16.75	6	2.75	0.125	0.25	['F#1', 'F#2', 'A3', 'C4', 'D4']		
17.0	6	3	0.5	0.5	['F#1', 'F#2', 'A3', 'C4', 'D4']		
17.5	6	3.5	0.25	0.5	['F#1', 'F#2', 'A3', 'C4', 'D4']		
18.0	7	1	1.0	1.0	['G1', 'G2', 'G3', 'C4', 'E-4']	c	i64
19.0	7	2	0.5	1.0	['G1', 'G2', 'G3', 'C4', 'D4']	c	i54
20.0	7	3	0.5	1.0	['G1', 'G2', 'G3', 'B3', 'E-4']	c	III+6
21.0	8	1	1.0	1.75	['C2', 'C3', 'E-3', 'G3', 'C4']	c	i
22.75	8	2.75	0.125	0.25	['C2', 'C3', 'E-3', 'G3', 'C4']		
23.0	8	3	0.5	0.5	['C2', 'C3', 'E-3', 'G3', 'C4']		
23.5	8	3.5	0.25	0.5	['C2', 'C3', 'E-3', 'G3', 'C4']		
24.0	9	1	1.0	1.0	['C2', 'C3', 'E-3', 'G3', 'C4']	c	i
25.0	9	2	0.5	0.75	['C2', 'C3', 'E-3', 'G3', 'C4']		
25.75	9	2.75	0.125	0.25	['C2', 'C3', 'E-3', 'G3', 'C4']		
