0.0	1	1	1.0	3.0	['B-2', 'B-3']	bb	i
3.0	1	2.5	0.25	1.0	['B-2', 'B-3']		
4.0	2	1	1.0	2.0	['B-2', 'B-3']	bb	i
6.0	2	2	0.5	1.0	['B-2', 'B-3']		
7.0	2	2.5	0.25	1.0	['B-4']		
8.0	3	1	1.0	1.5	['B-2', 'B-3', 'B-4']	bb	i
9.5	3	1.75	0.125	0.5	['D-3', 'D-4', 'D-5']		
10.0	3	2	0.5	1.0	['C3', 'C4', 'C5']	bb	viio6
11.0	3	2.5	0.25	1.0	['B-2', 'B-3', 'B-4']	bb	i
12.0	4	1	1.0	2.0	['A2', 'A3', 'A4']	bb	viio
14.0	4	2	0.5	1.0	['B-2', 'B-3', 'B-4']	bb	i
15.0	4	2.5	0.25	1.0	['C3', 'C4', 'C5']	bb	viio6
16.0	5	1	1.0	1.75	['G-2', 'G-3', 'G-4']	bb	VI
17.75	5	1.88	0.0625	0.25	['F2', 'F3', 'F4']		
18.0	5	2	0.5	1.75	['G-2', 'G-3', 'G-4']		
19.75	5	2.88	0.0625	0.25	['A-2', 'A-3', 'A-4']		
20.0	6	1	1.0	3.0	['F2', 'F3', 'F4']	bb	V
23.0	6	2.5	0.25	1.0	['F1', 'F2', 'C4', 'A4', 'C5']		
24.0	7	1	1.0	1.75	['G-1', 'G-2', 'C4', 'B-4', 'C5']	bb	iiø43
25.75	7	1.88	0.0625	0.25	['F1', 'F2', 'C4', 'B-4', 'C5']		
26.0	7	2	0.5	1.75	['G-1', 'G-2', 'C4', 'B-4', 'C5']		
27.75	7	2.88	0.0625	0.25	['A-1', 'A-2', 'C4', 'B-4', 'C5']		
28.0	8	1	1.0	2.0	['F1', 'F2', 'C4', 'A4', 'C5']	bb	V
30.0	8	2	0.5	1.0	['F1', 'F2', 'C4', 'A4', 'C5']		
31.0	8	2.5	0.25	1.0	['F3', 'F4']		
32.0	9	1	1.0	1.5	['D3', 'B-3', 'F4', 'B-4']	Bb	I6
33.5	9	1.75	0.125	0.5	['D3', 'B-3', 'F4', 'B-4']		
34.0	9	2	0.5	1.0	['E-3', 'B-3', 'G4', 'C5']	Bb	ii6
35.0	9	2.5	0.25	1.0	['D3', 'B-3', 'F4', 'B-4']	Bb	I6
36.0	10	1	1.0	2.0	['F3', 'B-3', 'F4', 'D5']	Bb	I64
38.0	10	2	0.5	1.0	['F3', 'A3', 'F4', 'C5']	Bb	V
39.0	10	2.5	0.25	1.0	['F3', 'A-3', 'F4', 'C5']	Bb	v
40.0	11	1	1.0	1.0	['C3', 'G3', 'C4', 'E-4', 'G4', 'E-5']	Bb	ii
41.0	11	1.5	0.25	0.5	['D3', 'G3', 'C4', 'E-4', 'G4', 'D5']		
41.5	11	1.75	0.125	0.5	['E-3', 'G3', 'C4', 'E-4', 'G4', 'C5']	Bb	ii6
42.0	11	2	0.5	1.0	['F3', 'B-3', 'D4', 'F4', 'B-4', 'D5']	Bb	I64
43.0	11	2.5	0.25	0.5	['F3', 'A3', 'C4', 'E-4', 'F4', 'A4', 'C5']	Bb	V7
43.5	11	2.75	0.125	0.5	['F3', 'A3', 'C4', 'E-4', 'F4', 'A4', 'C5']		
44.0	12	1	1.0	1.5	['B-2', 'F3', 'B-3', 'D4', 'F4', 'B-4']	Bb	I
45.5	12	1.75	0.125	0.5	['B-2', 'D4', 'F4', 'B-4']		
46.0	12	2	0.5	1.0	['A2', 'B-2', 'D4', 'F4', 'B-4']	Bb	I42
47.0	12	2.5	0.25	1.0	['A-2', 'B-2', 'B-3']	Bb	V42/IV
48.0	13	1	1.0	1.0	['G2', 'B-2', 'B-3', 'E-4']	Bb	IV6
49.0	13	1.5	0.25	0.5	['F2', 'D3', 'B-3', 'F4']	Bb	I64
49.5	13	1.75	0.125	0.5	['E-2', 'E-3', 'B-3', 'G4']		
50.0	13	2	0.5	1.0	['F2', 'D3', 'B-3', 'F4']		
51.0	13	2.5	0.25	1.0	['F2', 'E-3', 'A3', 'F4']	Bb	V7
52.0	14	1	1.0	2.0	['B-2', 'D3', 'B-3', 'F4']	Bb	I
54.0	14	2	0.5	1.0	['B-2', 'D3', 'B-3', 'F4']		
55.0	14	2.5	0.25	1.0	['B-3', 'B-4']		
56.0	15	1	1.0	1.5	['B-3', 'B-4']	Gb	I
57.5	15	1.75	0.125	0.5	['B-3', 'B-4']		
58.0	15	2	0.5	1.0	['B-3', 'B-4']		
59.0	15	2.5	0.25	0.5	['A-3', 'B-3', 'A-4', 'B-4']		
59.5	15	2.75	0.125	0.5	['A-3', 'B-3', 'A-4', 'B-4']		
60.0	16	1	1.0	1.0	['A-3', 'B-3', 'A-4', 'B-4']	Gb	I
61.0	16	1.5	0.25	2.0	['G-3', 'B-3', 'G-4', 'B-4']		
63.0	16	2.5	0.25	1.0	['G-3', 'B-3', 'G-4', 'B-4']		
64.0	17	1	1.0	1.0	['D-3', 'A-3', 'C-4', 'G-4', 'C-5']	Gb	V7
65.0	17	1.5	0.25	0.5	['D-3', 'A-3', 'C-4', 'F4', 'C-5']		
65.5	17	1.75	0.125	0.5	['D-3', 'A-3', 'C-4', 'E-4', 'C-5']		
66.0	17	2	0.5	1.5	['D-3', 'A-3', 'C-4', 'F4', 'C-5']		
67.5	17	2.75	0.125	0.5	['D-3', 'A-3', 'C-4', 'A-4', 'C-5', 'D-5']		
68.0	18	1	1.0	1.5	['G-3', 'B-3', 'G-4', 'B-4']	Gb	I
69.5	18	1.75	0.125	0.25	['B-4']		
69.75	18	1.88	0.0625	0.25	['B-3', 'D-4', 'B-4', 'D-5']		
70.0	18	2	0.5	1.0	['G-3', 'B-3', 'G-4', 'B-4']		
71.0	18	2.5	0.25	1.0	['B-4']		
72.0	19	1	1.0	1.5	['B-3', 'B-4']	Gb	I
73.5	19	1.75	0.125	0.5	['B-3', 'B-4']		
74.0	19	2	0.5	0.5	['B-3', 'B-4']		
74.5	19	2.25	0.125	0.5	['A-3', 'B-3', 'A-4', 'B-4']		
75.0	19	2.5	0.25	0.5	['G-3', 'B-3', 'G-4', 'B-4']		
75.5	19	2.75	0.125	0.5	['F3', 'B-3', 'F4', 'B-4']		
76.0	20	1	1.0	1.0	['F3', 'C-4', 'F4', 'C-5']	Gb	IV6
