0.0	1	1	1.0	0.5	['D3', 'A3', 'F4']
0.5	1	1.5	0.25	0.5	['D3', 'A3', 'F4']
1.0	1	2	0.5	0.5	['D3', 'A3', 'F4']
1.5	1	2.5	0.25	0.5	['D3', 'A3', 'F4', 'F5']
2.0	2	1	1.0	0.5	['D3', 'A3', 'F4', 'E5']
2.5	2	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
3.0	2	2	0.5	0.5	['D3', 'A3', 'F4', 'A4']
3.5	2	2.5	0.25	0.38	['D3', 'G3', 'B-3', 'C#4', 'F4']
3.88	2	2.88	0.0625	0.12	['D3', 'G3', 'B-3', 'C#4', 'E4']
4.0	3	1	1.0	0.5	['D3', 'F3', 'A3', 'D4']
4.5	3	1.5	0.25	0.5	['D3', 'F3', 'A3', 'D4']
5.0	3	2	0.5	0.5	['D3', 'F3', 'A3']
5.5	3	2.5	0.25	0.5	['D3', 'G3', 'B-3', 'C#4', 'E4']
6.0	4	1	1.0	0.5	['D3', 'F3', 'A3', 'D4']
6.5	4	1.5	0.25	0.5	['D3', 'F3', 'A3', 'D4']
7.0	4	2	0.5	0.5	['D3', 'F3', 'A3']
7.5	4	2.5	0.25	0.5	['G2', 'D3', 'G3', 'D4', 'B-4', 'D5']
8.0	5	1	1.0	0.5	['A2', 'D3', 'F3', 'A3', 'D4', 'F4', 'A4']
8.5	5	1.5	0.25	0.5	['A2', 'D3', 'F3', 'A3', 'D4', 'F4', 'A4']
9.0	5	2	0.5	0.25	['B-2', 'D3', 'G3', 'D4', 'G4']
9.25	5	2.25	0.125	0.25	['B-2', 'D3', 'G3', 'D4', 'F4']
9.5	5	2.5	0.25	0.25	['B-2', 'D3', 'G3', 'D4', 'E4']
9.75	5	2.75	0.125	0.25	['B-2', 'D3', 'G3', 'D4']
10.0	6	1	1.0	0.5	['A2', 'F3', 'A3', 'D4']
10.5	6	1.5	0.25	0.5	['A2', 'F3', 'A3', 'D4']
11.0	6	2	0.5	0.5	['A2', 'E3', 'A3', 'C#4']
11.5	6	2.5	0.25	0.5	['A2', 'E3', 'A3', 'C#4']
12.0	7	1	1.0	0.5	['D2', 'D3', 'F3', 'A3', 'D4']
12.5	7	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
13.0	7	2	0.5	0.5	['D3', 'A3', 'F4', 'D5']
13.5	7	2.5	0.25	0.5	['D3', 'A3', 'F4', 'D5', 'F5']
14.0	8	1	1.0	0.5	['D3', 'A3', 'F4', 'D5', 'E5']
14.5	8	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
15.0	8	2	0.5	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
15.5	8	2.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
16.0	9	1	1.0	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
16.5	9	1.5	0.25	0.25	['D3', 'B-3', 'E4', 'G4', 'D5']
16.75	9	1.75	0.125	0.25	['D3', 'B-3', 'E4', 'F4', 'G4', 'D5']
17.0	9	2	0.5	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
17.5	9	2.5	0.25	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
18.0	10	1	1.0	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
18.5	10	1.5	0.25	0.25	['D3', 'A3', 'A4', 'F5']
18.75	10	1.75	0.125	0.25	['D3', 'A3', 'F4', 'A4', 'F5']
19.0	10	2	0.5	0.25	['A2', 'A3', 'F4', 'A4', 'D5']
19.25	10	2.25	0.125	0.25	['A2', 'A3', 'F4', 'A4', 'D5']
19.5	10	2.5	0.25	0.25	['A2', 'A3', 'E4', 'G4', 'A4', 'C#5']
19.75	10	2.75	0.125	0.25	['A2', 'A3', 'F4', 'G4', 'A4', 'C#5']
20.0	11	1	1.0	0.5	['D3', 'A3', 'D4', 'F4', 'A4', 'D5']
20.5	11	1.5	0.25	0.5	['D3', 'A3', 'D4', 'F4', 'D5']
21.0	11	2	0.5	0.5	['D3', 'A3', 'F4', 'D5']
21.5	11	2.5	0.25	0.5	['D3', 'A3', 'F4', 'D5', 'F5']
22.0	12	1	1.0	0.5	['D3', 'A3', 'F4', 'D5', 'E5']
22.5	12	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
23.0	12	2	0.5	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
23.5	12	2.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
24.0	13	1	1.0	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
24.5	13	1.5	0.25	0.25	['D3', 'B-3', 'E4', 'G4', 'D5']
24.75	13	1.75	0.125	0.25	['D3', 'B-3', 'E4', 'F4', 'G4', 'D5']
25.0	13	2	0.5	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
25.5	13	2.5	0.25	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
26.0	14	1	1.0	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
26.5	14	1.5	0.25	0.25	['D3', 'A3', 'A4', 'F5']
26.75	14	1.75	0.125	0.25	['D3', 'A3', 'F4', 'A4', 'F5']
27.0	14	2	0.5	0.25	['A2', 'A3', 'F4', 'A4', 'D5']
27.25	14	2.25	0.125	0.25	['A2', 'A3', 'F4', 'A4', 'D5']
27.5	14	2.5	0.25	0.25	['A2', 'A3', 'E4', 'G4', 'A4', 'C#5']
27.75	14	2.75	0.125	0.25	['A2', 'A3', 'F4', 'G4', 'A4', 'C#5']
28.0	15	1	1.0	0.5	['D3', 'A3', 'D4', 'F4', 'A4', 'D5']
28.5	15	1.5	0.25	0.5	['D3', 'A3', 'D4', 'F4', 'D5']
29.0	15	2	0.5	0.5	['E3', 'G3', 'G4', 'C5']
29.5	15	2.5	0.25	0.5	['C3', 'C4', 'E4', 'B-4']
30.0	16	1	1.0	0.5	['F3', 'C4', 'F4', 'A4']
30.5	16	1.5	0.25	0.25	['F3', 'A3', 'F4']
30.75	16	1.75	0.125	0.25	['F3', 'A3', 'F4', 'G4']
31.0	16	2	0.5	0.5	['D3', 'A3', 'F4', 'A4']
31.5	16	2.5	0.25	0.5	['D3', 'G3', 'F4', 'B4']
32.0	17	1	1.0	0.5	['C3', 'G3', 'F4', 'G4', 'C5']
32.5	17	1.5	0.25	0.25	['C3', 'G3', 'F4', 'G4', 'C5']
32.75	17	1.75	0.125	0.25	['C3', 'G3', 'F4', 'A4', 'C5']
33.0	17	2	0.5	0.5	['C3', 'G3', 'E4', 'G4', 'C5']
33.5	17	2.5	0.25	0.5	['A2', 'F4', 'A4', 'C5']
34.0	18	1	1.0	0.25	['G2', 'E4', 'C5']
34.25	18	1.25	0.125	0.25	['G2', 'E4', 'B-4', 'C5']
34.5	18	1.5	0.25	0.25	['A2', 'F4', 'A4', 'C5']
34.75	18	1.75	0.125	0.25	['B-2', 'F4', 'A4', 'C5']
35.0	18	2	0.5	0.5	['C3', 'F4', 'G4', 'C5']
35.5	18	2.5	0.25	0.25	['C3', 'E4', 'G4', 'A4', 'C5']
35.75	18	2.75	0.125	0.25	['C3', 'E4', 'G4', 'B-4', 'C5']
36.0	19	1	1.0	0.5	['F2', 'F4', 'A4', 'C5']
36.5	19	1.5	0.25	0.5	['F3', 'F4', 'A4']
37.0	19	2	0.5	0.5	['F3', 'G3', 'E4', 'B-4']
37.5	19	2.5	0.25	0.5	['F3', 'A3', 'E-4', 'F4', 'C5']
38.0	20	1	1.0	0.5	['B-2', 'F3', 'B-3', 'D4', 'F4', 'B-4', 'D5']
38.5	20	1.5	0.25	0.25	['B-3', 'D4', 'B-4']
38.75	20	1.75	0.125	0.25	['B-3', 'D4', 'B-4', 'C5']
39.0	20	2	0.5	0.5	['G3', 'D4', 'B-4', 'D5']
39.5	20	2.5	0.25	0.5	['G3', 'C4', 'B-4', 'E5']
40.0	21	1	1.0	0.5	['F3', 'C4', 'B-4', 'C5', 'F5']
40.5	21	1.5	0.25	0.25	['F3', 'C4', 'B-4', 'C5', 'F5']
40.75	21	1.75	0.125	0.25	['F3', 'C4', 'B-4', 'D5', 'F5']
41.0	21	2	0.5	0.5	['F3', 'C4', 'A4', 'C5', 'F5']
41.5	21	2.5	0.25	0.5	['D3', 'B-4', 'D5', 'F5']
42.0	22	1	1.0	0.25	['C3', 'A4', 'F5']
42.25	22	1.25	0.125	0.25	['C3', 'A4', 'E-5', 'F5']
42.5	22	1.5	0.25	0.25	['D3', 'B-4', 'D5', 'F5']
42.75	22	1.75	0.125	0.25	['E-3', 'B-4', 'D5', 'F5']
43.0	22	2	0.5	0.5	['F3', 'B-4', 'C5', 'F5']
43.5	22	2.5	0.25	0.25	['F2', 'F3', 'A4', 'C5', 'F5']
43.75	22	2.75	0.125	0.25	['F2', 'F3', 'A4', 'C5', 'D5', 'F5']
44.0	23	1	1.0	0.5	['B-2', 'F3', 'B-4', 'D5', 'F5']
44.5	23	1.5	0.25	0.5	['D3', 'B-3', 'D4', 'B-4', 'D5']
45.0	23	2	0.5	0.5	['F3', 'B-3', 'D4', 'B-4', 'D5']
45.5	23	2.5	0.25	0.5	['B-3', 'D4', 'B-4', 'D5']
46.0	24	1	1.0	0.5	['G3', 'B-3', 'D4', 'E4', 'E5']
46.5	24	1.5	0.25	0.25	['G3', 'B-3', 'D4', 'E4', 'E5']
46.75	24	1.75	0.125	0.25	['G3', 'B-3', 'D4', 'F4', 'F5']
47.0	24	2	0.5	0.5	['G3', 'B-3', 'D4', 'E4', 'E5']
47.5	24	2.5	0.25	0.5	['G3', 'B-3', 'D4']
48.0	25	1	1.0	0.5	['F3', 'A3', 'D4', 'A4', 'A5']
48.5	25	1.5	0.25	0.25	['F3', 'A3', 'D4', 'A4', 'A5']
48.75	25	1.75	0.125	0.25	['F3', 'A3', 'D4', 'B-4', 'B-5']
49.0	25	2	0.5	0.5	['F3', 'A3', 'D4', 'A4', 'A5']
49.5	25	2.5	0.25	0.5	['F3', 'A3', 'D4', 'D5']
50.0	26	1	1.0	0.5	['G3', 'B-3', 'D4', 'E4', 'B-4', 'E5']
50.5	26	1.5	0.25	0.25	['G3', 'B-3', 'D4', 'E4', 'B-4', 'E5']
50.75	26	1.75	0.125	0.25	['G3', 'B-3', 'D4', 'F4', 'G4', 'F5']
51.0	26	2	0.5	0.5	['G3', 'B-3', 'D4', 'E4', 'E5']
51.5	26	2.5	0.25	0.5	['G3', 'B-3', 'D4', 'D5']
52.0	27	1	1.0	0.5	['F3', 'A3', 'D4', 'A4', 'A5']
52.5	27	1.5	0.25	0.25	['F3', 'A3', 'D4', 'A4', 'A5']
52.75	27	1.75	0.125	0.25	['F3', 'A3', 'D4', 'F4', 'B-4', 'B-5']
53.0	27	2	0.5	0.5	['F3', 'A3', 'D4', 'A4', 'A5']
53.5	27	2.5	0.25	0.25	['A2', 'A3', 'F4', 'A4']
53.75	27	2.75	0.125	0.25	['A2', 'A3', 'F4', 'G4', 'A4']
54.0	28	1	1.0	0.5	['A2', 'A3', 'F4', 'A4']
54.5	28	1.5	0.25	0.5	['A2', 'A3', 'F4', 'A4', 'F5']
55.0	28	2	0.5	0.5	['A2', 'A3', 'G4', 'A4', 'E5']
55.5	28	2.5	0.25	0.25	['E3', 'A3', 'G4', 'A4', 'B4']
55.75	28	2.75	0.125	0.12	['E3', 'A3', 'G4', 'A4', 'C#5']
55.88	28	2.88	0.0625	0.12	['F3', 'A3', 'G4', 'A4', 'C#5']
56.0	29	1	1.0	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
56.5	29	1.5	0.25	0.5	['D3', 'A3', 'D4', 'F4', 'A4', 'D5']
57.0	29	2	0.5	0.5	['D3', 'A3', 'D4', 'F4', 'A4', 'D5']
57.5	29	2.5	0.25	0.5	['D3', 'A3', 'D4', 'F4', 'A4', 'D5', 'F5']
58.0	30	1	1.0	0.5	['G3', 'B-3', 'D4', 'E4', 'B-4', 'E5']
58.5	30	1.5	0.25	0.25	['G3', 'B-3', 'D4', 'E4', 'B-4', 'E5']
58.75	30	1.75	0.125	0.25	['G3', 'B-3', 'D4', 'F4', 'G4', 'F5']
59.0	30	2	0.5	0.5	['G3', 'B-3', 'D4', 'E4', 'E5']
59.5	30	2.5	0.25	0.5	['G3', 'B-3', 'D4', 'D5']
60.0	31	1	1.0	0.5	['F3', 'A3', 'D4', 'A4', 'A5']
60.5	31	1.5	0.25	0.25	['F3', 'A3', 'D4', 'A4', 'A5']
60.75	31	1.75	0.125	0.25	['F3', 'A3', 'D4', 'F4', 'B-4', 'B-5']
61.0	31	2	0.5	0.5	['F3', 'A3', 'D4', 'A4', 'A5']
61.5	31	2.5	0.25	0.25	['A2', 'A3', 'F4', 'A4']
61.75	31	2.75	0.125	0.25	['A2', 'A3', 'F4', 'G4', 'A4']
62.0	32	1	1.0	0.5	['A2', 'A3', 'F4', 'A4']
62.5	32	1.5	0.25	0.5	['A2', 'A3', 'F4', 'A4', 'F5']
63.0	32	2	0.5	0.5	['A2', 'A3', 'G4', 'A4', 'E5']
63.5	32	2.5	0.25	0.38	['E3', 'A3', 'G4', 'A4', 'C#5']
63.88	32	2.88	0.0625	0.12	['F3', 'A3', 'G4', 'A4', 'C#5']
64.0	33	1	1.0	0.5	['D3', 'A3', 'D4', 'F4', 'A4', 'D5']
64.5	33	1.5	0.25	0.5	['D3', 'A3', 'D4', 'F4', 'A4', 'D5']
65.0	33	2	0.5	0.5	['D3', 'A3', 'F4']
65.5	33	2.5	0.25	0.5	['D3', 'A3', 'F4', 'F5']
66.0	34	1	1.0	0.5	['D3', 'A3', 'F4', 'E5']
66.5	34	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
67.0	34	2	0.5	0.5	['D3', 'A3', 'F4', 'A4']
67.5	34	2.5	0.25	0.38	['D3', 'G3', 'B-3', 'C#4', 'F4']
67.88	34	2.88	0.0625	0.12	['D3', 'G3', 'B-3', 'C#4', 'E4']
68.0	35	1	1.0	0.5	['D3', 'F3', 'A3', 'D4']
68.5	35	1.5	0.25	0.5	['D3', 'F3', 'A3', 'D4']
69.0	35	2	0.5	0.5	['D3', 'F3', 'A3']
69.5	35	2.5	0.25	0.5	['D3', 'G3', 'B-3', 'C#4', 'E4']
70.0	36	1	1.0	0.5	['D3', 'F3', 'A3', 'D4']
70.5	36	1.5	0.25	0.5	['D3', 'F3', 'A3', 'D4']
71.0	36	2	0.5	0.5	['D3', 'F3', 'A3']
71.5	36	2.5	0.25	0.5	['G2', 'D3', 'G3', 'D4', 'B-4', 'D5']
72.0	37	1	1.0	0.5	['A2', 'D3', 'F3', 'A3', 'D4', 'F4', 'A4']
72.5	37	1.5	0.25	0.5	['A2', 'D3', 'F3', 'A3', 'D4', 'F4', 'A4']
73.0	37	2	0.5	0.25	['B-2', 'D3', 'G3', 'D4', 'G4']
73.25	37	2.25	0.125	0.25	['B-2', 'D3', 'G3', 'D4', 'F4']
73.5	37	2.5	0.25	0.25	['B-2', 'D3', 'G3', 'D4', 'E4']
73.75	37	2.75	0.125	0.25	['B-2', 'D3', 'G3', 'D4']
74.0	38	1	1.0	0.5	['A2', 'F3', 'A3', 'D4']
74.5	38	1.5	0.25	0.5	['A2', 'F3', 'A3', 'D4']
75.0	38	2	0.5	0.5	['A2', 'E3', 'G3', 'C#4']
75.5	38	2.5	0.25	0.5	['A2', 'E3', 'G3', 'C#4']
76.0	39	1	1.0	0.5	['D2', 'D3', 'F3', 'A3', 'D4']
76.5	39	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
77.0	39	2	0.5	0.5	['D3', 'A3', 'F4', 'D5']
77.5	39	2.5	0.25	0.5	['D3', 'A3', 'F4', 'D5', 'F5']
78.0	40	1	1.0	0.5	['D3', 'A3', 'F4', 'D5', 'E5']
78.5	40	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
79.0	40	2	0.5	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
79.5	40	2.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
80.0	41	1	1.0	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
80.5	41	1.5	0.25	0.25	['D3', 'B-3', 'E4', 'G4', 'D5']
80.75	41	1.75	0.125	0.25	['D3', 'B-3', 'E4', 'G4', 'D5']
81.0	41	2	0.5	0.5	['D3', 'B-3', 'E4', 'G4', 'B-4', 'D5']
81.5	41	2.5	0.25	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
82.0	42	1	1.0	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
82.5	42	1.5	0.25	0.25	['A2', 'A3', 'F4', 'A4', 'F5']
82.75	42	1.75	0.125	0.25	['A2', 'A3', 'G4', 'A4', 'F5']
83.0	42	2	0.5	0.5	['A2', 'A3', 'F4', 'A4', 'D5']
83.5	42	2.5	0.25	0.25	['E3', 'A3', 'G4', 'A4', 'B4']
83.75	42	2.75	0.125	0.25	['E3', 'A3', 'G4', 'A4', 'C#5']
84.0	43	1	1.0	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
84.5	43	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
85.0	43	2	0.5	0.5	['D3', 'A3', 'F4', 'D5']
85.5	43	2.5	0.25	0.5	['D3', 'A3', 'F4', 'D5', 'F5']
86.0	44	1	1.0	0.5	['D3', 'A3', 'F4', 'D5', 'E5']
86.5	44	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
87.0	44	2	0.5	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
87.5	44	2.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
88.0	45	1	1.0	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
88.5	45	1.5	0.25	0.25	['D3', 'B-3', 'E4', 'G4', 'D5']
88.75	45	1.75	0.125	0.25	['D3', 'B-3', 'E4', 'G4', 'D5']
89.0	45	2	0.5	0.5	['D3', 'B-3', 'E4', 'G4', 'B-4', 'D5']
89.5	45	2.5	0.25	0.5	['D3', 'B-3', 'E4', 'G4', 'D5']
90.0	46	1	1.0	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
90.5	46	1.5	0.25	0.25	['A2', 'A3', 'F4', 'A4', 'F5']
90.75	46	1.75	0.125	0.25	['A2', 'A3', 'G4', 'A4', 'F5']
91.0	46	2	0.5	0.5	['A2', 'A3', 'F4', 'A4', 'D5']
91.5	46	2.5	0.25	0.25	['E3', 'A3', 'G4', 'A4', 'B4']
91.75	46	2.75	0.125	0.25	['E3', 'A3', 'G4', 'A4', 'C#5']
92.0	47	1	1.0	0.5	['D3', 'A3', 'F4', 'A4', 'D5']
92.5	47	1.5	0.25	0.5	['D3', 'A3', 'F4', 'D5']
93.0	47	2	0.5	0.5	['E3', 'G3', 'G4', 'C5']
93.5	47	2.5	0.25	0.5	['C3', 'C4', 'E4', 'B-4']
94.0	48	1	1.0	0.5	['F3', 'C4', 'F4', 'A4']
94.5	48	1.5	0.25	0.25	['F3', 'A3', 'F4']
94.75	48	1.75	0.125	0.25	['F3', 'A3', 'F4', 'G4']
95.0	48	2	0.5	0.5	['D3', 'A3', 'F4', 'A4']
95.5	48	2.5	0.25	0.5	['D3', 'G3', 'F4', 'B4']
96.0	49	1	1.0	0.5	['C3', 'G3', 'F4', 'G4', 'C5']
96.5	49	1.5	0.25	0.25	['C3', 'G3', 'F4', 'G4', 'C5']
96.75	49	1.75	0.125	0.25	['C3', 'G3', 'F4', 'A4', 'C5']
97.0	49	2	0.5	0.5	['C3', 'G3', 'E4', 'G4', 'C5']
97.5	49	2.5	0.25	0.5	['A2', 'F4', 'A4', 'C5']
98.0	50	1	1.0	0.25	['G2', 'E4', 'C5']
98.25	50	1.25	0.125	0.25	['G2', 'E4', 'B-4', 'C5']
98.5	50	1.5	0.25	0.25	['A2', 'F4', 'A4', 'C5']
98.75	50	1.75	0.125	0.25	['B-2', 'F4', 'A4', 'C5']
99.0	50	2	0.5	0.5	['C3', 'F4', 'G4', 'C5']
99.5	50	2.5	0.25	0.25	['C3', 'E4', 'G4', 'A4', 'C5']
99.75	50	2.75	0.125	0.25	['C3', 'E4', 'G4', 'B-4', 'C5']
100.0	51	1	1.0	0.5	['F2', 'F4', 'A4', 'C5']
100.5	51	1.5	0.25	0.5	['F3', 'F4', 'A4']
101.0	51	2	0.5	0.5	['F3', 'G3', 'E4', 'B-4']
101.5	51	2.5	0.25	0.5	['F3', 'A3', 'E-4', 'F4', 'C5']
102.0	52	1	1.0	0.5	['B-2', 'F3', 'B-3', 'D4', 'F4', 'B-4', 'D5']
102.5	52	1.5	0.25	0.25	['B-3', 'D4', 'B-4']
102.75	52	1.75	0.125	0.25	['B-3', 'D4', 'B-4', 'C5']
103.0	52	2	0.5	0.5	['G3', 'D4', 'B-4', 'D5']
103.5	52	2.5	0.25	0.5	['G3', 'C4', 'B-4', 'E5']
104.0	53	1	1.0	0.5	['F3', 'C4', 'B-4', 'C5', 'F5']
104.5	53	1.5	0.25	0.25	['F3', 'C4', 'B-4', 'C5', 'F5']
104.75	53	1.75	0.125	0.25	['F3', 'C4', 'B-4', 'D5', 'F5']
105.0	53	2	0.5	0.5	['F3', 'C4', 'A4', 'C5', 'F5']
105.5	53	2.5	0.25	0.5	['D3', 'B-4', 'D5', 'F5']
106.0	54	1	1.0	0.25	['C3', 'A4', 'F5']
106.25	54	1.25	0.125	0.25	['C3', 'A4', 'E-5', 'F5']
106.5	54	1.5	0.25	0.25	['D3', 'B-4', 'D5', 'F5']
106.75	54	1.75	0.125	0.25	['E-3', 'B-4', 'D5', 'F5']
107.0	54	2	0.5	0.5	['F3', 'B-4', 'C5', 'F5']
107.5	54	2.5	0.25	0.25	['F2', 'F3', 'A4', 'C5', 'F5']
107.75	54	2.75	0.125	0.25	['F2', 'F3', 'A4', 'C5', 'D5', 'F5']
108.0	55	1	1.0	0.5	['B-2', 'F3', 'B-4', 'D5', 'F5']
108.5	55	1.5	0.25	0.5	['D3', 'B-3', 'D4', 'B-4', 'D5']
109.0	55	2	0.5	0.5	['F3', 'B-3', 'D4', 'B-4', 'D5']
109.5	55	2.5	0.25	0.5	['B-3', 'D4', 'B-4', 'D5']
110.0	56	1	1.0	0.5	['G3', 'B-3', 'D4', 'E4', 'E5']
110.5	56	1.5	0.25	0.25	['G3', 'B-3', 'D4', 'E4', 'E5']
110.75	56	1.75	0.125	0.25	['G3', 'B-3', 'D4', 'F4', 'F5']
