key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
a	[8.5, 0.0, 5.0, 2.0, 17.75, 3.0, 0.0, 1.0, 3.0, 9.5, 0.0, 13.5]	0.0	30.75	30.75	1	11	10
C	[6.75, 0.0, 1.0, 0.0, 8.0, 1.0, 0.0, 6.5, 1.0, 1.0, 0.0, 1.25]	30.75	38.25	7.5	12	14	2
e	[1.0, 0.0, 0.5, 0.5, 6.5, 0.0, 1.0, 2.25, 0.0, 0.5, 0.0, 4.25]	38.25	42.75	4.5	14	15	1
G	[3.0, 0.0, 2.25, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 2.5, 0.0, 2.25]	42.75	48.75	6.0	16	17	1
a	[2.25, 0.0, 2.75, 0.0, 2.75, 0.25, 0.0, 0.0, 3.25, 4.0, 0.0, 2.25]	48.75	54.75	6.0	18	19	1
d	[2.25, 2.0, 15.0, 0.24, 1.5, 7.75, 1.5, 5.0, 0.0, 8.75, 2.49, 0.0]	54.75	66.0	11.25	20	23	3
a	[7.5, 0.0, 7.25, 2.5, 17.0, 4.0, 0.0, 0.0, 5.5, 3.0, 0.0, 9.0]	66.0	87.75	21.75	23	30	7
F	[6.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 1.0, 0.0, 2.5, 1.0, 0.0]	87.75	92.25	4.5	31	32	1
A	[1.0, 3.75, 2.75, 1.0, 6.5, 1.0, 2.25, 0.0, 0.75, 9.0, 0.0, 0.75]	92.25	99.0	6.75	32	34	2
a	[5.0, 0.0, 5.0, 2.5, 11.0, 10.0, 0.0, 0.0, 1.5, 6.25, 0.0, 4.5]	99.0	117.75	18.75	34	40	6
F	[6.0, 2.5, 0.0, 1.0, 1.0, 4.0, 0.0, 2.0, 0.0, 2.5, 2.0, 0.0]	117.75	123.75	6.0	41	42	1
g	[1.0, 0.0, 6.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 1.0, 2.5, 0.0]	123.75	128.25	4.5	43	44	1
A	[1.5, 4.75, 4.75, 1.5, 11.5, 1.0, 2.25, 0.0, 1.75, 11.0, 0.0, 2.75]	128.25	138.75	10.5	44	47	3
a	[3.0, 0.0, 1.0, 0.0, 7.0, 1.5, 0.0, 1.0, 0.0, 8.5, 0.0, 8.0]	138.75	152.75	14.0	48	52	4
