key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
e	[1.5, 0.0, 0.5, 2.0, 9.0, 0.0, 4.0, 7.0, 0.0, 1.0, 0.0, 12.5]	0.0	16.0	16.0	1	8	7
d#	[0.0, 0.0, 0.5, 5.75, 0.0, 0.5, 4.0, 0.0, 1.0, 0.0, 11.25, 1.0]	16.0	24.0	8.0	9	12	3
e	[0.12, 0.0, 0.0, 2.0, 6.0, 0.0, 4.0, 4.75, 0.0, 1.0, 0.0, 11.63]	24.0	34.0	10.0	13	17	4
d#	[0.0, 0.0, 0.5, 6.5, 0.0, 0.5, 4.0, 0.0, 1.0, 0.0, 11.0, 1.0]	34.0	42.0	8.0	18	21	3
E	[0.5, 2.25, 0.0, 2.5, 6.0, 0.5, 4.5, 0.0, 7.25, 3.5, 0.5, 10.0]	42.0	53.0	11.0	22	27	5
A	[0.0, 2.5, 1.75, 0.0, 1.75, 0.5, 2.0, 0.0, 1.0, 1.0, 0.0, 1.0]	53.0	56.0	3.0	27	28	1
E	[0.5, 4.34, 0.0, 2.26, 6.28, 0.51, 5.51, 0.99, 6.46, 3.64, 1.25, 9.05]	56.0	69.0	13.04	29	35	6
A	[0.0, 2.52, 1.77, 0.0, 2.26, 0.51, 2.04, 0.0, 1.01, 1.01, 0.0, 1.01]	69.0	72.0	3.03	35	36	1
E	[0.5, 1.26, 0.0, 3.03, 1.51, 0.0, 2.28, 1.52, 0.25, 3.27, 0.51, 6.84]	72.0	80.0	8.09	37	40	3
e	[0.5, 0.0, 0.0, 2.0, 4.75, 0.0, 2.5, 3.5, 0.0, 0.5, 0.0, 8.75]	80.0	88.0	8.0	41	44	3
d#	[0.0, 0.0, 0.5, 5.45, 0.5, 0.75, 3.1, 0.0, 1.5, 0.0, 5.6, 0.5]	88.0	93.5	5.48	45	47	2
g#	[0.0, 1.44, 0.0, 8.8, 0.96, 0.0, 0.0, 0.98, 2.92, 0.0, 4.4, 4.64]	93.5	102.0	8.34	47	51	4
e	[1.71, 0.0, 0.0, 2.45, 4.35, 0.0, 2.21, 3.09, 0.0, 1.96, 0.0, 8.89]	102.0	110.0	7.92	52	55	3
G	[0.25, 0.0, 5.25, 0.0, 1.0, 0.0, 0.5, 2.25, 0.0, 1.25, 0.0, 1.75]	110.0	114.0	4.0	56	57	1
f#	[0.0, 8.83, 1.0, 0.0, 0.0, 0.5, 4.22, 0.0, 0.5, 3.6, 0.0, 1.5]	114.0	120.0	5.98	58	60	2
e	[0.74, 0.0, 0.24, 2.56, 1.46, 0.0, 1.82, 1.22, 0.0, 1.58, 0.0, 6.26]	120.0	126.0	5.9	61	63	2
g	[0.72, 0.0, 3.92, 0.24, 0.0, 0.0, 0.96, 1.96, 0.0, 0.96, 1.22, 0.0]	126.0	130.0	3.92	64	65	1
e	[4.88, 0.0, 0.0, 4.02, 14.56, 0.0, 4.73, 8.66, 0.0, 3.51, 0.0, 14.44]	130.0	146.0	15.76	66	74	8
