0.0	0	2.67	0.25	0.5	['G2', 'G3', 'E4', 'C5']
0.5	1	1	1.0	1.0	['G2', 'G3', 'F4', 'B4']
1.5	1	1.67	0.25	0.25	['G3', 'D4', 'B4', 'F5']
1.75	1	1.83	0.125	0.25	['G3', 'D4', 'B4', 'F5']
2.0	1	2	0.5	1.0	['G3', 'D4', 'B4', 'F5']
3.0	1	2.67	0.25	0.5	['G2', 'G3', 'F4', 'B4']
3.5	2	1	1.0	1.0	['G2', 'G3', 'E4', 'C5']
4.5	2	1.67	0.25	0.25	['G3', 'C4', 'E4', 'G4']
4.75	2	1.83	0.125	0.25	['G3', 'C4', 'E4', 'G4']
5.0	2	2	0.5	1.0	['G3', 'C4', 'E4', 'G4']
6.0	2	2.67	0.25	0.5	['E4', 'C5']
6.5	3	1	1.0	0.5	['D4', 'B4']
7.0	3	1.33	0.25	0.25	['G2']
7.25	3	1.5	0.125	0.25	['G2']
7.5	3	1.67	0.25	0.5	['G3', 'F4', 'D5']
8.0	3	2	0.5	0.5	['E4', 'C5']
8.5	3	2.33	0.25	0.25	['G2']
8.75	3	2.5	0.125	0.25	['G2']
9.0	3	2.67	0.25	0.5	['G3', 'A4', 'F5']
9.5	4	1	1.0	0.5	['G4', 'E5']
10.0	4	1.33	0.25	0.25	['G3', 'G4', 'E5']
10.25	4	1.5	0.125	0.25	['A3', 'G4', 'E5']
10.5	4	1.67	0.25	0.25	['B-3', 'F4', 'D5']
10.75	4	1.83	0.125	0.25	['B3', 'F4', 'D5']
11.0	4	2	0.5	1.0	['C4', 'E4', 'C5']
12.0	4	2.67	0.25	0.5	['G2', 'G3', 'E4', 'C5']
12.5	5	1	1.0	1.0	['G2', 'G3', 'F4', 'B4']
13.5	5	1.67	0.25	0.25	['G3', 'D4', 'B4', 'F5', 'A5']
13.75	5	1.83	0.125	0.25	['G3', 'D4', 'B4', 'F5', 'A5']
14.0	5	2	0.5	1.0	['G3', 'D4', 'B4', 'F5', 'A5']
15.0	5	2.67	0.25	0.5	['G2', 'G3', 'F4', 'B4']
15.5	6	1	1.0	1.0	['G2', 'G3', 'E4', 'C5']
16.5	6	1.67	0.25	0.25	['G3', 'C4', 'E4', 'G4']
16.75	6	1.83	0.125	0.25	['G3', 'C4', 'E4', 'G4']
17.0	6	2	0.5	1.0	['G3', 'C4', 'E4', 'G4']
18.0	6	2.67	0.25	0.5	['G4', 'E5']
18.5	7	1	1.0	0.5	['F#4', 'D#5']
19.0	7	1.33	0.25	0.25	['G2']
19.25	7	1.5	0.125	0.25	['G2']
19.5	7	1.67	0.25	0.5	['G3', 'G4', 'E5']
20.0	7	2	0.5	0.5	['E4', 'C5']
20.5	7	2.33	0.25	0.25	['G2']
20.75	7	2.5	0.125	0.25	['G2']
21.0	7	2.67	0.25	0.5	['G3', 'F4', 'D5']
21.5	8	1	1.0	1.0	['C3', 'G3', 'E4', 'C5']
22.5	8	1.67	0.25	0.25	['C4', 'G4', 'C5', 'E5', 'C6']
22.75	8	1.83	0.125	0.25	['C4', 'G4', 'C5', 'E5', 'C6']
23.0	8	2	0.5	1.0	['C4', 'G4', 'C5', 'E5', 'C6']
24.5	9	1	1.0	1.0	['G2', 'G3', 'D4', 'B4', 'F5']
25.5	9	1.67	0.25	0.25	['G3', 'D4', 'G4', 'B4', 'F5', 'G5']
25.75	9	1.83	0.125	0.25	['G3', 'D4', 'G4', 'B4', 'F5', 'G5']
26.0	9	2	0.5	1.0	['G3', 'D4', 'G4', 'B4', 'F5', 'G5']
27.0	9	2.67	0.25	0.5	['G2', 'G3', 'F4', 'G4', 'B4']
27.5	10	1	1.0	1.0	['G2', 'G3', 'E4', 'G4', 'D5']
28.5	10	1.67	0.25	0.25	['G3', 'E4', 'G4', 'C5', 'E5', 'G5']
28.75	10	1.83	0.125	0.25	['G3', 'E4', 'G4', 'C5', 'E5', 'G5']
29.0	10	2	0.5	1.0	['G3', 'E4', 'G4', 'C5', 'E5', 'G5']
30.0	10	2.67	0.25	0.5	['C4', 'E4', 'G4']
30.5	11	1	1.0	0.5	['D4', 'F4', 'G4']
31.0	11	1.33	0.25	0.25	['G3', 'D4', 'F4', 'G4']
31.25	11	1.5	0.125	0.25	['G3', 'D4', 'F4', 'G4']
31.5	11	1.67	0.25	0.5	['G3', 'C#4', 'E4', 'G4']
32.0	11	2	0.5	0.5	['D4', 'F4', 'G4']
32.5	11	2.33	0.25	0.25	['G3', 'D4', 'F4', 'G4']
32.75	11	2.5	0.125	0.25	['G3', 'D4', 'F4', 'A4']
33.0	11	2.67	0.25	0.5	['G3', 'B3', 'D4', 'G4']
33.5	12	1	1.0	0.5	['C4', 'E4', 'G4']
34.0	12	1.33	0.25	0.25	['G3', 'C4', 'E4', 'G4']
