key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
d	[0.0, 5.75, 8.5, 0.0, 7.75, 8.25, 0.0, 3.75, 2.0, 13.25, 2.75, 2.0]	0.0	14.0	14.0	0	9	9
F	[5.25, 0.0, 2.75, 0.0, 3.0, 2.25, 0.0, 1.0, 0.0, 1.5, 2.5, 0.0]	14.0	18.5	4.5	10	12	2
g	[0.5, 0.0, 0.75, 0.0, 0.25, 0.5, 0.5, 2.0, 0.0, 0.5, 5.0, 0.0]	18.5	21.5	3.0	13	14	1
F	[3.75, 0.0, 0.25, 0.0, 1.5, 1.0, 0.0, 0.5, 0.0, 0.5, 0.25, 0.0]	21.5	24.5	3.0	15	16	1
g	[1.5, 2.0, 8.75, 0.75, 2.0, 0.0, 4.75, 7.75, 0.0, 7.5, 9.75, 0.0]	24.5	38.0	13.5	17	25	8
Bb	[3.0, 0.0, 1.5, 2.5, 0.0, 3.5, 0.0, 1.75, 0.0, 4.75, 2.75, 0.0]	38.0	42.5	4.5	26	28	2
c	[1.0, 0.0, 0.75, 1.5, 1.0, 0.5, 1.0, 3.0, 0.0, 0.25, 0.25, 0.5]	42.5	45.5	3.0	29	30	1
Bb	[1.5, 0.0, 0.5, 0.25, 0.0, 4.25, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0]	45.5	48.5	3.0	31	32	1
a	[0.0, 0.5, 0.0, 0.0, 2.25, 0.0, 0.0, 0.0, 0.5, 0.75, 0.0, 1.5]	48.5	51.0	2.5	33	34	1
d	[0.0, 5.75, 8.5, 0.0, 8.0, 8.25, 0.0, 3.75, 2.0, 13.25, 3.0, 2.0]	51.0	65.0	14.0	34	43	9
F	[5.75, 0.0, 2.75, 0.0, 3.0, 2.25, 0.0, 1.0, 0.0, 1.5, 2.5, 0.0]	65.0	69.5	4.5	44	46	2
g	[0.5, 0.0, 0.75, 0.0, 0.25, 0.5, 0.5, 2.0, 0.0, 0.5, 5.0, 0.0]	69.5	72.5	3.0	47	48	1
F	[3.75, 0.0, 0.25, 0.0, 1.5, 1.0, 0.0, 0.5, 0.0, 0.5, 0.25, 0.0]	72.5	75.5	3.0	49	50	1
g	[1.5, 2.0, 8.75, 0.75, 2.0, 0.0, 4.75, 7.75, 0.0, 7.5, 9.75, 0.0]	75.5	89.0	13.5	51	59	8
Bb	[1.5, 0.0, 1.5, 2.5, 0.0, 3.5, 0.0, 1.75, 0.0, 5.25, 4.25, 0.0]	89.0	93.5	4.5	60	62	2
c	[1.0, 0.0, 0.75, 1.5, 1.0, 0.5, 1.0, 3.0, 0.0, 0.25, 0.25, 0.5]	93.5	96.5	3.0	63	64	1
Bb	[1.5, 0.0, 0.5, 0.25, 0.0, 4.25, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0]	96.5	99.5	3.0	65	66	1
a	[0.0, 0.5, 0.0, 0.0, 2.25, 0.0, 0.0, 0.0, 0.5, 0.75, 0.0, 1.5]	99.5	102.0	2.5	67	68	1
d	[0.0, 2.25, 2.0, 0.0, 3.0, 2.75, 0.0, 1.75, 1.0, 4.5, 1.75, 1.0]	102.0	108.0	6.0	68	72	4
g	[3.0, 2.75, 14.5, 1.75, 2.75, 0.75, 14.75, 5.75, 0.75, 7.5, 4.5, 0.75]	108.0	125.0	17.0	72	84	12
