Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	2.0	['E2', 'B-2', 'C3', 'G3', 'B-3', 'C4', 'G4']
2.0	1	3.0	0.5	2.0	['E2', 'A2', 'C#3', 'F#3', 'A3', 'C#4', 'F#4']
4.0	2	1.0	1.0	2.0	['E2', 'B-2', 'C3', 'G3', 'B-3', 'C4', 'G4']
6.0	2	3.0	0.5	2.0	['E2', 'A2', 'C#3', 'F#3', 'A3', 'C#4', 'F#4']
8.0	3	1.0	1.0	4.0	['D2', 'A-2', 'C3', 'F3', 'A-3', 'C4', 'F4', 'C5']
12.0	4	1.0	1.0	1.0	['C#2', 'B2', 'E#3', 'G#3', 'C#4']
13.0	4	2.0	0.25	0.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4']
13.5	4	2.5	0.125	0.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'G#4']
14.0	4	3.0	0.5	1.0	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'D#4']
15.0	4	4.0	0.25	1.0	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'E#4']
16.0	5	1.0	1.0	0.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'E#4']
16.5	5	1.5	0.125	0.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'F#4']
17.0	5	2.0	0.25	2.0	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'G#4']
19.0	5	4.0	0.25	1.0	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'G#4']
20.0	6	1.0	1.0	1.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'G#4']
21.5	6	2.5	0.125	0.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'G#4']
22.0	6	3.0	0.5	0.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'G#4']
22.5	6	3.5	0.125	0.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'G#4']
23.0	6	4.0	0.25	0.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'A#4']
23.5	6	4.5	0.125	0.5	['C#2', 'B2', 'E#3', 'G#3', 'C#4', 'B4']
24.0	7	1.0	1.0	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4']
25.0	7	2.0	0.25	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'C#5']
26.0	7	3.0	0.5	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'F#4']
27.0	7	4.0	0.25	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'E5']
28.0	8	1.0	1.0	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4']
29.0	8	2.0	0.25	0.5	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'F#4']
29.5	8	2.5	0.125	0.5	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'G#4']
30.0	8	3.0	0.5	0.5	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'A#4']
30.5	8	3.5	0.125	0.5	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'A#4']
31.0	8	4.0	0.25	0.5	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'B4']
31.5	8	4.5	0.125	0.5	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'B#4']
32.0	9	1.0	1.0	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'C#5']
33.0	9	2.0	0.25	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'F#4', 'E5']
34.0	9	3.0	0.5	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'C#5']
35.0	9	4.0	0.25	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'C#5', 'A#5']
36.0	10	1.0	1.0	1.5	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'C#5']
37.5	10	2.5	0.125	0.5	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'C#5']
38.0	10	3.0	0.5	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'D#5']
39.0	10	4.0	0.25	1.0	['F#2', 'E3', 'F#3', 'A#3', 'C#4', 'E5']
40.0	11	1.0	1.0	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4', 'F#5']
41.0	11	2.0	0.25	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4', 'F#5', 'B5']
42.0	11	3.0	0.5	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4', 'D#5', 'F#5']
43.0	11	4.0	0.25	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4', 'D#5']
44.0	12	1.0	1.0	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4']
45.0	12	2.0	0.25	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4', 'F#6']
46.0	12	3.0	0.5	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4', 'A5']
47.0	12	4.0	0.25	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4', 'B6']
48.0	13	1.0	1.0	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4']
49.0	13	2.0	0.25	1.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4', 'F#6']
50.0	13	3.0	0.5	2.0	['B2', 'A3', 'B3', 'D#4', 'F#4', 'B4', 'D#7']
52.0	14	1.0	1.0	2.0	['E2', 'B-2', 'C3', 'G3', 'B-3', 'C4', 'G4']
54.0	14	3.0	0.5	1.0	['E2', 'B-2', 'C3', 'G3', 'B-3', 'C4', 'G4']
55.0	14	4.0	0.25	1.0	['E2', 'B-2', 'C3', 'G3', 'B-3', 'C4', 'G4']
56.0	15	1.0	1.0	2.0	['E2', 'B-2', 'C3', 'G3', 'B-3', 'C4', 'G4', 'C5']
58.0	15	3.0	0.5	1.0	['E2', 'B-2', 'C3', 'G3', 'B-3', 'C4', 'G4']
59.0	15	4.0	0.25	0.5	['E2', 'B-2', 'C3', 'G3', 'B-3', 'C4', 'G4']
59.5	15	4.5	0.125	0.5	['E2', 'B-2', 'C3', 'G3', 'B-3', 'C4', 'G4', 'A4']
60.0	16	1.0	1.0	2.0	['D2', 'B-2', 'F3', 'G3', 'B-3', 'F4', 'G4', 'B-4']
62.0	16	3.0	0.5	1.0	['D2', 'B-2', 'F3', 'G3', 'B-3', 'F4', 'G4', 'B-4']
63.0	16	4.0	0.25	1.0	['D2', 'B-2', 'F3', 'G3', 'B-3', 'F4', 'G4']
