Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.21	['B-2']
0.21	1	1.14	0.0625	0.21	['F3']
0.43	1	1.29	0.0625	0.21	['B-3']
0.64	1	1.43	0.0625	0.21	['D4']
0.86	1	1.57	0.0625	0.21	['F4']
1.07	1	1.71	0.0625	0.21	['B-4']
1.29	1	1.86	0.0625	0.21	['C5']
1.5	1	2.0	0.5	0.21	['D5']
1.71	1	2.14	0.0625	0.21	['C5']
1.93	1	2.29	0.0625	0.21	['B-4']
2.14	1	2.43	0.0625	0.21	['F4']
2.36	1	2.57	0.0625	0.21	['D4']
2.57	1	2.71	0.0625	0.21	['B-3']
2.79	1	2.86	0.0625	0.21	['F3']
3.0	2	1.0	1.0	0.21	['B-2', 'D5']
3.21	2	1.14	0.0625	0.21	['F3', 'D5']
3.43	2	1.29	0.0625	0.21	['B-3', 'D5']
3.64	2	1.43	0.0625	0.21	['D4', 'D5']
3.86	2	1.57	0.0625	0.14	['F4', 'D5']
4.0	2	1.67	0.25	0.07	['F4']
4.07	2	1.71	0.0625	0.21	['B-4']
4.29	2	1.86	0.0625	0.21	['C5']
4.5	2	2.0	0.5	0.21	['B-4', 'D5']
4.71	2	2.14	0.0625	0.21	['B-4', 'C5']
4.93	2	2.29	0.0625	0.21	['B-4']
5.14	2	2.43	0.0625	0.11	['F4', 'B-4']
5.25	2	2.5	0.125	0.11	['F4', 'C5']
5.36	2	2.57	0.0625	0.14	['D4', 'C5']
5.5	2	2.67	0.25	0.07	['D4', 'D5']
5.57	2	2.71	0.0625	0.21	['B-3', 'D5']
5.79	2	2.86	0.0625	0.21	['F3', 'D5']
6.0	3	1.0	1.0	0.21	['B-2', 'B-4']
6.21	3	1.14	0.0625	0.21	['F3', 'B-4']
6.43	3	1.29	0.0625	0.21	['B-3', 'B-4']
6.64	3	1.43	0.0625	0.11	['D4', 'B-4']
6.75	3	1.5	0.125	0.11	['D4', 'A4']
6.86	3	1.57	0.0625	0.14	['F4', 'A4']
7.0	3	1.67	0.25	0.07	['F4', 'G4']
7.07	3	1.71	0.0625	0.21	['G4', 'B-4']
7.29	3	1.86	0.0625	0.21	['G4', 'C5']
7.5	3	2.0	0.5	0.21	['B-4', 'D5']
7.71	3	2.14	0.0625	0.21	['B-4', 'C5']
7.93	3	2.29	0.0625	0.07	['B-4']
8.0	3	2.33	0.25	0.14	['B-4', 'C5']
8.14	3	2.43	0.0625	0.21	['F4', 'C5']
8.36	3	2.57	0.0625	0.14	['D4', 'C5']
8.5	3	2.67	0.25	0.07	['D4', 'D5']
8.57	3	2.71	0.0625	0.21	['B-3', 'D5']
8.79	3	2.86	0.0625	0.21	['F3', 'D5']
9.0	4	1.0	1.0	0.21	['B-2', 'F5']
9.21	4	1.14	0.0625	0.21	['F3', 'F5']
9.43	4	1.29	0.0625	0.21	['B-3', 'F5']
9.64	4	1.43	0.0625	0.21	['D4', 'F5']
9.86	4	1.57	0.0625	0.14	['F4', 'F5']
10.0	4	1.67	0.25	0.07	['F4', 'D5']
10.07	4	1.71	0.0625	0.21	['B-4', 'D5']
10.29	4	1.86	0.0625	0.21	['C5', 'D5']
10.5	4	2.0	0.5	0.21	['D5', 'F5']
10.71	4	2.14	0.0625	0.21	['C5', 'F5']
10.93	4	2.29	0.0625	0.21	['B-4', 'F5']
11.14	4	2.43	0.0625	0.21	['F4', 'F5']
11.36	4	2.57	0.0625	0.21	['D4', 'F5']
