Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.33	['G2', 'B4']
0.33	1	1.33	0.0625	0.33	['D3', 'B4']
0.67	1	1.67	0.0625	0.33	['G3', 'B4']
1.0	1	2.0	0.25	0.33	['B3', 'B4']
1.33	1	2.33	0.0625	0.33	['D4', 'B4']
1.67	1	2.67	0.0625	0.33	['G4', 'B4']
2.0	1	3.0	0.5	2.0	['D5']
4.0	2	1.0	1.0	0.33	['G2', 'E4', 'B4', 'E5']
4.33	2	1.33	0.0625	0.33	['D3', 'E4', 'B4', 'E5']
4.67	2	1.67	0.0625	0.33	['G3', 'E4', 'B4', 'E5']
5.0	2	2.0	0.25	0.33	['B3', 'E5']
5.33	2	2.33	0.0625	0.33	['D4', 'E5']
5.67	2	2.67	0.0625	0.33	['G4', 'E5']
6.0	2	3.0	0.5	2.0	['G5']
8.0	3	1.0	1.0	0.33	['C3', 'B4', 'E5', 'B5']
8.33	3	1.33	0.0625	0.33	['G#3', 'B4', 'E5', 'B5']
8.67	3	1.67	0.0625	0.33	['B3', 'B4', 'E5', 'B5']
9.0	3	2.0	0.25	1.0	['E4', 'B5']
10.0	3	3.0	0.5	0.33	['C3', 'A4', 'E5', 'A5']
10.33	3	3.33	0.0625	0.33	['A3', 'A4', 'E5', 'A5']
10.67	3	3.67	0.0625	0.33	['C4', 'A4', 'E5', 'A5']
11.0	3	4.0	0.25	0.5	['E4', 'A5']
11.5	3	4.5	0.125	0.5	['E4', 'G5']
12.0	4	1.0	1.0	0.33	['D3', 'G4', 'C5', 'D5', 'G5']
12.33	4	1.33	0.0625	0.33	['A3', 'G4', 'C5', 'D5', 'G5']
12.67	4	1.67	0.0625	0.33	['C4', 'G4', 'C5', 'D5', 'G5']
13.0	4	2.0	0.25	1.0	['D4', 'G5']
14.0	4	3.0	0.5	0.33	['D4', 'F#4', 'F#5']
14.33	4	3.33	0.0625	0.33	['C4', 'F#4', 'F#5']
14.67	4	3.67	0.0625	0.33	['D4', 'F#4', 'F#5']
15.0	4	4.0	0.25	1.0	['A4']
16.0	5	1.0	1.0	0.33	['D#3', 'A4', 'A5']
16.33	5	1.33	0.0625	0.33	['A3', 'A4', 'A5']
16.67	5	1.67	0.0625	0.33	['C4', 'A4', 'A5']
17.0	5	2.0	0.25	0.33	['D#4', 'A5']
17.33	5	2.33	0.0625	0.33	['F#4', 'A5']
17.67	5	2.67	0.0625	0.33	['A4', 'A5']
18.0	5	3.0	0.5	1.5	['C5']
19.5	5	4.5	0.125	0.5	['D5']
20.0	6	1.0	1.0	0.33	['E2', 'G4', 'C5']
20.33	6	1.33	0.0625	0.33	['B2', 'G4', 'C5']
20.67	6	1.67	0.0625	0.33	['E3', 'G4', 'C5']
21.0	6	2.0	0.25	0.33	['B3', 'C5']
21.33	6	2.33	0.0625	0.33	['E4', 'C5']
21.67	6	2.67	0.0625	0.33	['G4', 'C5']
22.0	6	3.0	0.5	1.0	['B4']
23.0	6	4.0	0.25	1.0	['B4']
24.0	7	1.0	1.0	0.33	['C2', 'E4', 'B4', 'D5']
24.33	7	1.33	0.0625	0.33	['C3', 'E4', 'B4', 'D5']
24.67	7	1.67	0.0625	0.33	['G#3', 'E4', 'B4', 'D5']
25.0	7	2.0	0.25	1.0	['B3', 'E4', 'B4', 'D5']
26.0	7	3.0	0.5	0.33	['C2', 'A4', 'C5']
26.33	7	3.33	0.0625	0.33	['C3', 'A4', 'C5']
26.67	7	3.67	0.0625	0.33	['A3', 'A4', 'C5']
27.0	7	4.0	0.25	0.5	['C4', 'A4', 'C5']
27.5	7	4.5	0.125	0.5	['C4', 'G4', 'B4']
28.0	8	1.0	1.0	0.33	['D2', 'F#4', 'A4']
28.33	8	1.33	0.0625	0.33	['A2', 'F#4', 'A4']
28.67	8	1.67	0.0625	0.33	['D3', 'F#4', 'A4']
29.0	8	2.0	0.25	0.33	['F#3', 'A4']
29.33	8	2.33	0.0625	0.33	['A3', 'A4']
29.67	8	2.67	0.0625	0.33	['D4', 'A4']
30.0	8	3.0	0.5	1.0	['F#4', 'A4']
31.0	8	4.0	0.25	1.0	['A4']
32.0	9	1.0	1.0	0.33	['C3', 'D4', 'A4', 'D5']
