0.0	1	1	1.0	0.5	['G3', 'G4']
0.5	1	1.33	0.25	0.5	['G3', 'G4']
1.0	1	1.67	0.25	0.5	['G3', 'G4']
1.5	1	2	0.5	0.5	['E-3', 'G3', 'E-4', 'G4']
2.0	1	2.33	0.25	0.5	['E-3', 'E-4']
2.5	1	2.67	0.25	0.5	['E-3', 'G3', 'E-4', 'G4']
3.0	1	3	0.5	0.75	['D3', 'G3', 'D4', 'G4']
3.75	1	3.5	0.125	0.25	['D3', 'G3', 'D4', 'G4']
4.0	1	3.67	0.25	0.5	['G1', 'G2', 'G3', 'G4']
4.5	2	1	1.0	0.5	['G3', 'G4']
5.0	2	1.33	0.25	0.5	['G3', 'G4']
5.5	2	1.67	0.25	0.5	['G3', 'G4']
6.0	2	2	0.5	0.5	['E-3', 'G3', 'E-4', 'G4']
6.5	2	2.33	0.25	0.5	['E-3', 'E-4']
7.0	2	2.67	0.25	0.5	['E-3', 'G3', 'E-4', 'G4']
7.5	2	3	0.5	0.75	['D3', 'G3', 'D4', 'G4']
8.25	2	3.5	0.125	0.25	['D3', 'G3', 'D4', 'G4']
8.5	2	3.67	0.25	0.5	['G1', 'G2', 'G3', 'G4']
9.0	3	1	1.0	0.5	['G3', 'G4']
9.5	3	1.33	0.25	0.5	['G3', 'G4']
10.0	3	1.67	0.25	0.5	['G3', 'G4']
10.5	3	2	0.5	0.5	['E-3', 'G3', 'E-4', 'G4']
11.0	3	2.33	0.25	0.5	['E-3', 'E-4']
11.5	3	2.67	0.25	0.5	['G3', 'G4']
12.0	3	3	0.5	0.75	['G3', 'A-3', 'G4', 'A-4']
12.75	3	3.5	0.125	0.25	['G3', 'A-3', 'G4', 'A-4']
13.0	3	3.67	0.25	0.5	['G3', 'A-3', 'G4', 'A-4']
13.5	4	1	1.0	0.5	['G3', 'A-3', 'G4', 'A-4']
14.0	4	1.33	0.25	0.5	['A-3', 'A-4']
14.5	4	1.67	0.25	0.5	['G3', 'A-3', 'G4', 'A-4']
15.0	4	2	0.5	0.5	['G3', 'F4', 'G4', 'A-4', 'B4']
15.5	4	2.33	0.25	0.5	['F4', 'A-4', 'B4']
16.0	4	2.67	0.25	0.5	['G3', 'F4', 'G4', 'A-4', 'B4']
16.5	4	3	0.5	0.75	['G3', 'F4', 'G4', 'A-4', 'B4']
17.25	4	3.5	0.125	0.25	['G3', 'F4', 'G4', 'A-4', 'B4']
17.5	4	3.67	0.25	0.5	['G3', 'G4']
