0.0	1	1	1.0	0.5	['G#3', 'D5', 'F5']
0.5	1	1.5	0.125	0.5	['A3']
1.0	1	2	0.25	0.5	['B3', 'D5', 'F5']
1.5	1	2.5	0.125	0.25	['C4']
1.75	1	2.75	0.0625	0.25	['C4', 'D5', 'F5']
2.0	1	3	0.5	0.5	['D4', 'G#4', 'B4']
2.5	1	3.5	0.125	0.5	['F4', 'G#4', 'B4']
3.0	1	4	0.25	0.5	['E4', 'G#4', 'B4']
3.5	1	4.5	0.125	0.5	['D4', 'G#4', 'B4']
4.0	2	1	1.0	0.5	['F3', 'C5', 'E5']
4.5	2	1.5	0.125	0.5	['G3']
5.0	2	2	0.25	0.5	['A3', 'C5', 'E5']
5.5	2	2.5	0.125	0.25	['B3']
5.75	2	2.75	0.0625	0.25	['B3', 'C5', 'E5']
6.0	2	3	0.5	0.5	['C4', 'F4', 'A4']
6.5	2	3.5	0.125	0.5	['E4', 'F4', 'A4']
7.0	2	4	0.25	0.5	['D4', 'F4', 'A4']
7.5	2	4.5	0.125	0.5	['C4', 'F4', 'A4']
8.0	3	1	1.0	0.5	['D4', 'F4', 'A4', 'B-4']
8.5	3	1.5	0.125	0.25	['C4']
8.75	3	1.75	0.0625	0.25	['C4', 'F4', 'A4', 'B-4']
9.0	3	2	0.25	0.5	['B-3', 'F5']
9.5	3	2.5	0.125	0.5	['A3', 'F5']
10.0	3	3	0.5	0.5	['G3', 'F4', 'A4', 'B-4']
10.5	3	3.5	0.125	0.25	['F3']
10.75	3	3.75	0.0625	0.25	['F3', 'F4', 'A4', 'B-4']
11.0	3	4	0.25	0.5	['E3', 'B-5']
11.5	3	4.5	0.125	0.5	['D3', 'B-5']
12.0	4	1	1.0	0.33	['E3', 'G#3', 'G#4']
12.33	4	1.33	0.0625	0.17	['E3', 'G#3', 'A4']
12.5	4	1.5	0.125	0.17	['A4']
12.67	4	1.67	0.0625	0.33	['B4']
13.0	4	2	0.25	0.33	['F3', 'A3', 'C5']
13.33	4	2.33	0.0625	0.17	['F3', 'A3', 'C#5']
13.5	4	2.5	0.125	0.17	['C#5']
13.67	4	2.67	0.0625	0.33	['D5']
14.0	4	3	0.5	0.33	['E3', 'G#3', 'D#5']
14.33	4	3.33	0.0625	0.33	['E3', 'G#3', 'E5']
14.67	4	3.67	0.0625	0.33	['E3', 'G#3', 'F5']
15.0	4	4	0.25	0.33	['E3', 'G#3', 'F#5']
15.33	4	4.33	0.0625	0.33	['E3', 'G#3', 'G5']
15.67	4	4.67	0.0625	0.33	['E3', 'G#3', 'G#5']
16.0	5	1	1.0	0.5	['D3', 'D5', 'F5', 'A5']
16.5	5	1.5	0.125	0.5	['E3', 'D5']
17.0	5	2	0.25	0.5	['F3', 'F5', 'A5']
17.5	5	2.5	0.125	0.25	['G#3', 'F5']
17.75	5	2.75	0.0625	0.25	['G#3', 'F5', 'A5']
18.0	5	3	0.5	0.5	['A3', 'C5', 'E5']
18.5	5	3.5	0.125	0.5	['B3', 'E5']
19.0	5	4	0.25	0.5	['C4', 'C5', 'E5']
19.5	5	4.5	0.125	0.5	['E4', 'C5']
20.0	6	1	1.0	0.5	['F4', 'B4', 'D5']
20.5	6	1.5	0.125	0.25	['G#3', 'B4']
20.75	6	1.75	0.0625	0.25	['G#3', 'D5', 'F5']
21.0	6	2	0.25	0.5	['A3', 'C5', 'E5']
21.5	6	2.5	0.125	0.25	['B3', 'C5']
21.75	6	2.75	0.0625	0.25	['B3', 'B4', 'D5']
22.0	6	3	0.5	0.5	['C4', 'A4', 'C5']
22.5	6	3.5	0.125	0.25	['C3', 'A4']
22.75	6	3.75	0.0625	0.25	['C3', 'A4', 'C5', 'E5']
23.0	6	4	0.25	0.5	['D3', 'E4', 'B4', 'D5']
23.5	6	4.5	0.125	0.25	['E3', 'E4']
23.75	6	4.75	0.0625	0.25	['E3', 'E4', 'A4', 'C5']
24.0	7	1	1.0	0.5	['F3', 'F4', 'A4', 'B-4']
24.5	7	1.5	0.125	0.5	['D3', 'F4']
25.0	7	2	0.25	0.5	['E3', 'A4', 'B-4', 'D5']
25.5	7	2.5	0.125	0.25	['F3', 'D5']
25.75	7	2.75	0.0625	0.25	['F3', 'A4', 'B-4', 'D5']
26.0	7	3	0.5	0.5	['F#3', 'A4', 'B4', 'D#5']
26.5	7	3.5	0.125	0.5	['D#3', 'D#5']
27.0	7	4	0.25	0.5	['E3', 'F#4', 'A4', 'B4']
27.5	7	4.5	0.125	0.25	['F#3', 'F#4']
27.75	7	4.75	0.0625	0.25	['F#3', 'F#4', 'A4', 'B4']
28.0	8	1	1.0	0.5	['G3', 'G4', 'B-4', 'C5']
28.5	8	1.5	0.125	0.5	['E3', 'G4']
29.0	8	2	0.25	0.5	['F3', 'B-4', 'C5', 'F5']
29.5	8	2.5	0.125	0.25	['G3', 'F5']
29.75	8	2.75	0.0625	0.25	['G3', 'B-4', 'C5', 'F5']
30.0	8	3	0.5	0.5	['A3', 'A4', 'C#5', 'E5']
30.5	8	3.5	0.125	0.5	['G3', 'A4', 'C#5', 'E5']
