Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.33	['C3', 'G4']
0.33	1	1.33	0.0625	0.33	['G3', 'G4']
0.67	1	1.67	0.0625	0.33	['C4', 'G4']
1.0	1	2.0	0.25	0.33	['E4', 'G4']
1.33	1	2.33	0.0625	0.17	['C4', 'G4']
1.5	1	2.5	0.125	0.17	['C4', 'A4']
1.67	1	2.67	0.0625	0.33	['G3', 'A4']
2.0	1	3.0	0.5	0.33	['C3', 'B4']
2.33	1	3.33	0.0625	0.17	['G3', 'B4']
2.5	1	3.5	0.125	0.17	['G3', 'C5']
2.67	1	3.67	0.0625	0.33	['C4', 'C5']
3.0	1	4.0	0.25	0.33	['E4', 'G4']
3.33	1	4.33	0.0625	0.17	['C4', 'G4']
3.5	1	4.5	0.125	0.17	['C4', 'E4']
3.67	1	4.67	0.0625	0.33	['G3', 'E4']
4.0	2	1.0	1.0	0.33	['D3', 'F4']
4.33	2	1.33	0.0625	0.33	['G3', 'F4']
4.67	2	1.67	0.0625	0.33	['B3', 'F4']
5.0	2	2.0	0.25	0.33	['F4']
5.33	2	2.33	0.0625	0.33	['B3', 'F4']
5.67	2	2.67	0.0625	0.33	['G3', 'F4']
6.0	2	3.0	0.5	0.33	['D3']
6.33	2	3.33	0.0625	0.33	['G3']
6.67	2	3.67	0.0625	0.33	['B3']
7.0	2	4.0	0.25	0.33	['F4']
7.33	2	4.33	0.0625	0.33	['B3']
7.67	2	4.67	0.0625	0.33	['G3']
8.0	3	1.0	1.0	0.33	['G2', 'D5']
8.33	3	1.33	0.0625	0.33	['G3', 'D5']
8.67	3	1.67	0.0625	0.33	['B3', 'D5']
9.0	3	2.0	0.25	0.33	['F4', 'D5']
9.33	3	2.33	0.0625	0.17	['B3', 'D5']
9.5	3	2.5	0.125	0.17	['B3', 'C5']
9.67	3	2.67	0.0625	0.33	['G3', 'C5']
10.0	3	3.0	0.5	0.33	['G2', 'B4']
10.33	3	3.33	0.0625	0.17	['G3', 'B4']
10.5	3	3.5	0.125	0.17	['G3', 'A4']
10.67	3	3.67	0.0625	0.33	['B3', 'A4']
11.0	3	4.0	0.25	0.33	['F4', 'G4']
11.33	3	4.33	0.0625	0.17	['B3', 'G4']
11.5	3	4.5	0.125	0.17	['B3', 'F4']
11.67	3	4.67	0.0625	0.33	['G3', 'F4']
12.0	4	1.0	1.0	0.33	['C3', 'E4']
12.33	4	1.33	0.0625	0.33	['G3', 'E4']
12.67	4	1.67	0.0625	0.33	['C4', 'E4']
13.0	4	2.0	0.25	0.33	['E4']
13.33	4	2.33	0.0625	0.33	['C4']
13.67	4	2.67	0.0625	0.33	['G3']
14.0	4	3.0	0.5	0.33	['C3']
14.33	4	3.33	0.0625	0.33	['G3']
14.67	4	3.67	0.0625	0.33	['C4']
15.0	4	4.0	0.25	0.33	['E4', 'C5']
15.33	4	4.33	0.0625	0.17	['C4', 'C5']
15.5	4	4.5	0.125	0.17	['C4', 'B4']
15.67	4	4.67	0.0625	0.33	['G3', 'B4']
16.0	5	1.0	1.0	0.33	['D3', 'A4']
16.33	5	1.33	0.0625	0.33	['A3', 'A4']
16.67	5	1.67	0.0625	0.33	['C4', 'A4']
17.0	5	2.0	0.25	0.33	['F4', 'A4']
17.33	5	2.33	0.0625	0.17	['C4', 'A4']
17.5	5	2.5	0.125	0.17	['C4', 'C5']
17.67	5	2.67	0.0625	0.33	['A3', 'C5']
18.0	5	3.0	0.5	0.33	['D3', 'E5']
18.33	5	3.33	0.0625	0.33	['A3', 'E5']
18.67	5	3.67	0.0625	0.33	['C4', 'E5']
19.0	5	4.0	0.25	0.33	['F4', 'D5']
19.33	5	4.33	0.0625	0.17	['C4', 'D5']
19.5	5	4.5	0.125	0.17	['C4', 'C5']
19.67	5	4.67	0.0625	0.33	['A3', 'C5']
20.0	6	1.0	1.0	0.33	['G2', 'B4']
20.33	6	1.33	0.0625	0.33	['G3', 'B4']
20.67	6	1.67	0.0625	0.33	['B3', 'B4']
21.0	6	2.0	0.25	0.33	['G4', 'B4']
21.33	6	2.33	0.0625	0.33	['B3', 'B4']
21.67	6	2.67	0.0625	0.33	['G3', 'B4']
22.0	6	3.0	0.5	0.33	['G2']
22.33	6	3.33	0.0625	0.33	['G3']
22.67	6	3.67	0.0625	0.33	['B3']
23.0	6	4.0	0.25	0.33	['F4', 'G4']
23.33	6	4.33	0.0625	0.33	['B3', 'A4']
23.67	6	4.67	0.0625	0.33	['G3', 'B4']
24.0	7	1.0	1.0	0.33	['C3', 'C5']
24.33	7	1.33	0.0625	0.33	['G3', 'C5']
24.67	7	1.67	0.0625	0.33	['C4', 'C5']
25.0	7	2.0	0.25	0.33	['E4', 'C5']
25.33	7	2.33	0.0625	0.17	['C4', 'C5']
25.5	7	2.5	0.125	0.17	['C4', 'E4']
25.67	7	2.67	0.0625	0.33	['G3', 'E4']
26.0	7	3.0	0.5	0.33	['G2', 'A4']
26.33	7	3.33	0.0625	0.33	['G3', 'A4']
26.67	7	3.67	0.0625	0.33	['B3', 'A4']
27.0	7	4.0	0.25	0.33	['F4', 'A4']
27.33	7	4.33	0.0625	0.17	['B3', 'A4']
27.5	7	4.5	0.125	0.17	['B3', 'G4']
27.67	7	4.67	0.0625	0.33	['G3', 'G4']
28.0	8	1.0	1.0	0.33	['C3', 'C4']
28.33	8	1.33	0.0625	0.33	['G3', 'C4']
28.67	8	1.67	0.0625	0.33	['C4']
29.0	8	2.0	0.25	0.33	['E4']
29.33	8	2.33	0.0625	0.33	['C4']
29.67	8	2.67	0.0625	0.33	['G3']
30.0	8	3.0	0.5	1.0	['C3']
31.0	8	4.0	0.25	1.0	
