Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.75	['D3', 'A3', 'D4', 'F#4']
0.75	1	1.5	0.125	0.25	['D3', 'A3', 'D4', 'E4', 'F#4']
1.0	1	1.67	0.25	0.5	['D3', 'A3', 'D4', 'F#4']
1.5	1	2.0	0.5	0.75	['D3', 'G3', 'C#4', 'E4', 'A4']
2.25	1	2.5	0.125	0.25	['D3', 'G3', 'C#4', 'E4', 'G4']
2.5	1	2.67	0.25	0.5	['D3', 'G3', 'A3', 'C#4', 'E4']
3.0	2	1.0	1.0	1.0	['D3', 'F#3', 'A3', 'D4']
4.0	2	1.67	0.25	0.5	['D3', 'A3', 'D4', 'F#4']
4.5	2	2.0	0.5	1.0	['D3', 'F#3', 'D4', 'A4']
5.5	2	2.67	0.25	0.5	['D3', 'A3', 'F#4', 'D5']
6.0	3	1.0	1.0	0.5	['D3', 'B3', 'D4', 'G4', 'D5']
6.5	3	1.33	0.25	0.5	['D3', 'B3', 'D4', 'G4', 'C#5']
7.0	3	1.67	0.25	0.5	['D3', 'B3', 'D4', 'G4', 'D5']
7.5	3	2.0	0.5	0.75	['D3', 'C#4', 'E4', 'G4', 'E5']
8.25	3	2.5	0.125	0.25	['D3', 'C#4', 'E4', 'G4', 'F#5']
8.5	3	2.67	0.25	0.5	['D3', 'C#4', 'E4', 'G4', 'E5']
9.0	4	1.0	1.0	1.0	['D3', 'D4', 'F#4', 'A4']
10.0	4	1.67	0.25	0.5	['D3', 'C#4', 'E4', 'G4', 'B4']
10.5	4	2.0	0.5	1.0	['D3', 'D4', 'F#4', 'A4']
11.5	4	2.67	0.25	0.5	['D3', 'F#3', 'A3', 'D4']
12.0	5	1.0	1.0	0.75	['A2', 'G3', 'A3', 'C#4', 'E4']
12.75	5	1.5	0.125	0.25	['A2', 'G3', 'A3', 'C#4', 'F#4']
13.0	5	1.67	0.25	0.5	['A2', 'G3', 'A3', 'C#4', 'E4']
13.5	5	2.0	0.5	0.5	['A2', 'F#3', 'A3', 'D4']
14.0	5	2.33	0.25	0.5	['A2', 'F#3', 'A3', 'D4', 'F#4']
14.5	5	2.67	0.25	0.5	['A2', 'F#3', 'A3', 'D4', 'A4']
15.0	6	1.0	1.0	1.0	['A2', 'F3', 'G#3', 'D4', 'B4']
16.0	6	1.67	0.25	0.5	['A2', 'F3', 'G#3', 'D4', 'B4']
16.5	6	2.0	0.5	1.0	['A2', 'E3', 'G#3', 'D4', 'B4']
17.5	6	2.67	0.25	0.5	['A2', 'E3', 'G#3', 'D4', 'B4']
18.0	7	1.0	1.0	0.5	['A2', 'E3', 'A3', 'C#4', 'E4']
18.5	7	1.33	0.25	0.5	['A2', 'E3', 'A3', 'C#4', 'A4']
19.0	7	1.67	0.25	0.5	['A2', 'E3', 'A3', 'C#4', 'C#5']
19.5	7	2.0	0.5	0.75	['A2', 'F#3', 'A3', 'D4', 'D5']
20.25	7	2.5	0.125	0.25	['A2', 'F#3', 'A3', 'D4', 'F#4']
20.5	7	2.67	0.25	0.5	['A2', 'E3', 'B3', 'D4', 'G#4']
21.0	8	1.0	1.0	0.5	['A3', 'C#4', 'A4']
21.5	8	1.33	0.25	0.25	['A2', 'C#4', 'A4']
21.75	8	1.5	0.125	0.25	['A2', 'E4', 'A4']
22.0	8	1.67	0.25	0.25	['C#3', 'A4']
22.25	8	1.83	0.125	0.25	['C#3', 'C#5']
22.5	8	2.0	0.5	0.5	['E3', 'F#5']
23.0	8	2.33	0.25	0.25	['B3', 'F#5']
23.25	8	2.5	0.125	0.25	['B3', 'E5']
23.5	8	2.67	0.25	0.25	['G#3', 'B4']
23.75	8	2.83	0.125	0.25	['G#3', 'C#5']
24.0	9	1.0	1.0	0.5	['A3', 'A4']
24.5	9	1.33	0.25	0.25	['A2']
24.75	9	1.5	0.125	0.25	['A2', 'C#4']
25.0	9	1.67	0.25	0.25	['E3', 'E4']
25.25	9	1.83	0.125	0.25	['E3', 'A4']
25.5	9	2.0	0.5	0.5	['A3', 'A4']
26.0	9	2.33	0.25	0.25	['A2', 'A4']
26.25	9	2.5	0.125	0.25	['A2', 'C4']
26.5	9	2.67	0.25	0.25	['E3', 'E4']
26.75	9	2.83	0.125	0.25	['E3', 'A4']
27.0	10	1.0	1.0	0.5	['A3', 'A4']
27.5	10	1.33	0.25	0.25	['A2', 'A4']
27.75	10	1.5	0.125	0.25	['A2', 'C4', 'A4']
28.0	10	1.67	0.25	0.25	['C3', 'E4', 'A4']
28.25	10	1.83	0.125	0.25	['C3', 'A4']
28.5	10	2.0	0.5	0.5	['F#3', 'A4', 'C5']
29.0	10	2.33	0.25	0.25	['B2', 'C5']
29.25	10	2.5	0.125	0.25	['B2', 'A3', 'B4']
29.5	10	2.67	0.25	0.25	['D#3', 'B3', 'A4']
29.75	10	2.83	0.125	0.25	['D#3', 'F#4', 'A4']
30.0	11	1.0	1.0	0.5	['E3', 'E4', 'G4']
30.5	11	1.33	0.25	0.25	['E2', 'G4']
30.75	11	1.5	0.125	0.25	['E2', 'G3', 'G4']
31.0	11	1.67	0.25	0.25	['A2', 'B3', 'G4']
31.25	11	1.83	0.125	0.25	['A2', 'E4', 'G4']
31.5	11	2.0	0.5	0.5	['B2', 'G4']
32.0	11	2.33	0.25	0.25	['E3']
32.25	11	2.5	0.125	0.25	['E3', 'G3']
32.5	11	2.67	0.25	0.25	['G3', 'B3', 'E5']
32.75	11	2.83	0.125	0.25	['G3', 'E4', 'E5']
33.0	12	1.0	1.0	0.5	['A3', 'F#4', 'E5']
33.5	12	1.33	0.25	0.25	['A2', 'F#4']
33.75	12	1.5	0.125	0.25	['A2', 'A3', 'F#4']
34.0	12	1.67	0.25	0.25	['C3', 'C4', 'C5']
34.25	12	1.83	0.125	0.25	['C3', 'F#4', 'C5']
34.5	12	2.0	0.5	0.5	['D#3', 'F#4', 'C5']
35.0	12	2.33	0.25	0.25	['F#2', 'C5']
35.25	12	2.5	0.125	0.25	['F#2', 'A3', 'C5']
35.5	12	2.67	0.25	0.25	['B2', 'B3', 'B4']
