chord_str,chord_cnt,chord_freq,composite
C,26505,0.07286517811487983,False
F,22639,0.06223711629287925,False
G,19063,0.05240629656306185,False
G7,16401,0.04508816397895281,False
C7,13698,0.03765731785767304,False
B-,12356,0.033968011348328817,False
D7,11700,0.03216459475359721,False
E-,10535,0.028961880831550994,False
D,9452,0.025984593983846227,False
F7,7859,0.021605260698164142,False
B-7,7398,0.02033792068265916,False
Am,7395,0.020329673350671058,False
Dm7,7164,0.019694628787587216,False
Dm,6640,0.018254094800332094,False
A7,6552,0.018012173062014438,False
Gm7,6232,0.01713245764995024,False
A,6008,0.016516656861505302,False
Am7,5647,0.01552422791227038,False
Gm,5207,0.014314619220682109,False
Em,5008,0.013767546198804687,False
Cm,4818,0.01324521517289157,False
Fm7,4700,0.012920820114692897,False
A-,4684,0.012876834344089687,False
E7,4222,0.011606745217922002,False
E,4102,0.011276851938397928,False
Cm7,4091,0.011246611721108222,False
Fm,3512,0.009654876647404565,False
E-7,2977,0.008184102442859735,False
B7,2485,0.0068315399968110315,False
Em7,2436,0.006696833574338702,False
Cmaj7,2182,0.0059985594660127445,False
Fmaj7,2013,0.00553395976401634,False
B,1924,0.005289288915035986,False
E-maj7,1748,0.004805445438400677,False
Bm,1688,0.00464049879863864,False
D-,1544,0.0042446268632097515,False
B-m7,1542,0.00423912864188435,False
F6,1507,0.004142909768689829,False
C6,1457,0.004005454235554798,False
Bm7,1412,0.0038817442557332704,False
A-7,1355,0.003725044947959335,False
B-maj7,1271,0.0034941196522924834,False
C9,1268,0.0034858723203043816,False
Cpedal,1219,0.0033511658978320515,False
E-6,1126,0.003095498606200894,False
G9,1113,0.003059760167585786,False
F9,1098,0.003018523507645277,False
Gmaj7,1089,0.002993781511680971,False
F#m,1083,0.0029772868477047675,False
D-7,1005,0.0027628562160141195,False
Fpedal,985,0.002707874002760107,False
B-m,973,0.0026748846748076995,False
D9,935,0.0025704184696250763,False
A-maj7,932,0.0025621711376369745,False
Gpedal,882,0.0024247156045019438,False
B-6,859,0.0023614860592598296,False
G6,852,0.002342242284620925,False
B-9,736,0.002023345447747654,False
Dpedal,733,0.0020150981157595516,False
E-9,698,0.0019188792425650302,False
C7 add b9,696,0.001913381021239629,False
G/B,685,0.0018831408039499222,False
Bbpedal,653,0.0017951692627435024,False
D7 add b9,644,0.001770427266779197,False
F/A,641,0.001762179934791095,False
Cdim,637,0.0017511834921402926,False
G7+,635,0.0017456852708148914,False
C/E,631,0.0017346888281640888,False
C#m,608,0.0016714592829219748,False
F#,589,0.001619226180330663,False
Fm6,585,0.0016082297376798606,False
C/G,580,0.0015944841843663574,False
Cm6,565,0.0015532475244258482,False
F#m7,561,0.0015422510817750458,False
A-6,554,0.0015230073071361414,False
F#7,547,0.0015037635324972373,False
E-m7,511,0.001404795548640015,False
F/C,504,0.0013855517740011107,False
G7 add b9,478,0.0013140748967708947,False
D/F#,475,0.0013058275647827929,False
E-/G,472,0.0012975802327946909,False
E-m,463,0.0012728382368303855,False
A7 add b9,461,0.001267340015504984,False
G-,448,0.001231601576889876,False
Aø7,441,0.0012123578022509719,False
G/D,438,0.0012041104702628699,False
D-maj7,437,0.0012013613596001693,False
F#dim,431,0.0011848666956239657,False
Gø7,424,0.0011656229209850613,False
A9,420,0.0011546264783342589,False
A-m,412,0.0011326335930326539,False
Gdim,412,0.0011326335930326539,False
Fdim,406,0.0011161389290564503,False
E-dim,404,0.001110640707731049,False
"E4,G4",400,0.0010996442650802465,True
Ebpedal,398,0.0010941460437548453,False
Dø7,394,0.0010831496011040429,False
C#dim,393,0.0010804004904413423,False
Edim,390,0.0010721531584532403,False
Am6,389,0.0010694040477905397,False
B-m6,387,0.0010639058264651385,False
B-/F,385,0.0010584076051397373,False
Eø7,384,0.0010556584944770367,False
C7+,381,0.001047411162488935,False
Bø7,378,0.0010391638305008329,False
Gm6,374,0.0010281673878500305,False
Dmaj7,366,0.0010061745025484255,False
B-dim,363,0.0009979271705603237,False
Bdim,363,0.0009979271705603237,False
C+,359,0.0009869307279095213,False
Adim,353,0.0009704360639333176,False
D-9,347,0.0009539413999571139,False
"A4,C5",345,0.0009484431786317126,True
G+,339,0.0009319485146555089,False
Apedal,338,0.0009291994039928083,False
A-m7,328,0.0009017082973658022,False
E7 add b9,323,0.0008879627440522991,False
Ddim,322,0.0008852136333895985,False
B-7+,316,0.0008687189694133948,False
B-13,310,0.0008522243054371911,False
B-/D,309,0.0008494751947744904,False
E-/B-,309,0.0008494751947744904,False
B-7 add b9,306,0.0008412278627863886,False
G-7,303,0.0008329805307982867,False
"F4,A4",303,0.0008329805307982867,True
Dm6,300,0.0008247331988101849,False
Gm9,298,0.0008192349774847837,False
D7+,296,0.0008137367561593824,False
A-9,295,0.0008109876454966818,False
F+,281,0.0007725000962188732,False
F#o7,268,0.0007367616576037652,False
Epedal,268,0.0007367616576037652,False
A-dim,268,0.0007367616576037652,False
D/A,265,0.0007285143256156633,False
A-m6,261,0.0007175178829648608,False
A/C#,251,0.0006900267763378547,False
G#m,248,0.0006817794443497528,False
C13,245,0.000673532112361651,False
F7 add b9,241,0.0006625356697108485,False
"B4,D5",240,0.0006597865590481479,True
F#ø7,238,0.0006542883377227467,False
Gsus add 7,235,0.0006460410057346448,False
"G4,B4",233,0.0006405427844092436,True
C#o7,232,0.000637793673746543,False
Dsus,221,0.0006075534564568362,False
A-/E-,219,0.0006020552351314349,False
Amaj7,219,0.0006020552351314349,False
C#7,218,0.0005993061244687343,False
C#m7,215,0.0005910587924806325,False
D+,214,0.0005883096818179319,False
E-m6,214,0.0005883096818179319,False
Eo7,214,0.0005883096818179319,False
E-o7,211,0.00058006234982983,False
C#,208,0.0005718150178417282,False
Ao7,206,0.0005663167965163269,False
"D4,F4",199,0.0005470730218774226,True
Bo7,197,0.0005415748005520214,False
G-maj7,194,0.0005333274685639195,False
G#dim,192,0.0005278292472385183,False
Gsus,192,0.0005278292472385183,False
D6,190,0.0005223310259131171,False
F7+,188,0.0005168328045877158,False
A7+,187,0.0005140836939250152,False
Fø7,187,0.0005140836939250152,False
Dm9,183,0.0005030872512742127,False
G13,182,0.0005003381406115121,False
G7/D,181,0.0004975890299488115,False
E9,180,0.000494839919286111,False
G#o7,177,0.0004865925872980091,False
B-o7,177,0.0004865925872980091,False
Gm7/C,175,0.00048109436597260785,False
C7 add #9,175,0.00048109436597260785,False
"C4,E4",173,0.00047559614464720665,True
F/G,172,0.000472847033984506,False
Fm9,169,0.00046459970199640415,False
B-+,168,0.00046185059133370355,False
A-/C,162,0.00044535592735749985,False
E/G#,161,0.00044260681669479926,False
A-o7,161,0.00044260681669479926,False
B-/C,161,0.00044260681669479926,False
D7/F#,159,0.000437108595369398,False
Emaj7,157,0.00043161037404399675,False
Cø7,156,0.00042886126338129616,False
"E4,C5",155,0.00042611215271859556,True
B-7/F,155,0.00042611215271859556,False
Dsus add 7,154,0.0004233630420558949,False
G-dim,153,0.0004206139313931943,False
"F#4,A4",153,0.0004206139313931943,True
E6,150,0.00041236659940509246,False
A6,148,0.0004068683780796912,False
"E4,A4",148,0.0004068683780796912,True
Abpedal,147,0.0004041192674169906,False
Dm7/G,147,0.0004041192674169906,False
Em6,146,0.00040137015675429,False
Cm9,145,0.00039862104609158936,False
Gm/B-,144,0.00039587193542888876,False
C7/G,141,0.0003876246034407869,False
G#,140,0.0003848754927780863,False
"C5,E5",139,0.00038212638211538566,True
Fm7/B-,138,0.00037937727145268506,False
Fsus,138,0.00037937727145268506,False
D-6,138,0.00037937727145268506,False
Am/G,137,0.00037662816078998446,False
CM9,135,0.0003711299394645832,False
FM9,135,0.0003711299394645832,False
Csus add 7,133,0.00036563171813918196,False
Am/C,133,0.00036563171813918196,False
"D4,G4",133,0.00036563171813918196,True
Am9,131,0.00036013349681378076,False
C/D,130,0.0003573843861510801,False
Asus add 7,129,0.0003546352754883795,False
B7 add b9,128,0.0003518861648256789,False
F13,127,0.00034913705416297826,False
Esus,124,0.0003408897221748764,False
Dm/C,123,0.0003381406115121758,False
B-sus add 7,122,0.0003353915008494752,False
"D5,F5",122,0.0003353915008494752,True
A/E,122,0.0003353915008494752,False
E-sus,119,0.00032714416886137337,False
E-/F,119,0.00032714416886137337,False
Dm/F,118,0.0003243950581986727,False
Asus,118,0.0003243950581986727,False
E-+,118,0.0003243950581986727,False
"B-4,D5",118,0.0003243950581986727,True
C7/E,117,0.0003216459475359721,False
Go7,117,0.0003216459475359721,False
Em/G,116,0.0003188968368732715,False
D-o7,116,0.0003188968368732715,False
"F4,B-4",116,0.0003188968368732715,True
Cm/E-,113,0.00031064950488516967,False
B7+,112,0.000307900394222469,False
D7/A,111,0.0003051512835597684,False
"G4,B-4",111,0.0003051512835597684,True
Bmaj7,110,0.0003024021728970678,False
Cm/G,109,0.00029965306223436717,False
"D4,F#4",108,0.00029690395157166657,True
"B4,G5",108,0.00029690395157166657,True
"E4,G#4",108,0.00029690395157166657,True
G/A,107,0.00029415484090896597,False
Csus,105,0.0002886566195835647,False
D/E,104,0.0002859075089208641,False
G-9,102,0.00028040928759546287,False
A+,102,0.00028040928759546287,False
G7/B,101,0.00027766017693276227,False
Dm/A,101,0.00027766017693276227,False
C-,101,0.00027766017693276227,False
Em7 alter b5,100,0.0002749110662700616,False
D-dim,100,0.0002749110662700616,False
F7/C,99,0.000272161955607361,False
"D4,A4",99,0.000272161955607361,True
Co7,98,0.0002694128449446604,False
"E5,G5",98,0.0002694128449446604,True
"F4,D5",97,0.00026666373428195977,True
C6 add 9,97,0.00026666373428195977,False
Fsus add 7,96,0.00026391462361925917,False
E-M9,96,0.00026391462361925917,False
E7+,95,0.0002611655129565586,False
D-/A-,95,0.0002611655129565586,False
A-/B-,95,0.0002611655129565586,False
A7/E,94,0.0002584164022938579,False
Gm/F,93,0.0002556672916311573,False
D13,91,0.00025016907030575607,False
